Âmbito Geográfico,Regions,Total: 2001,Total : 2019,0-4,0-4,5-9,5-9,10-14,10-14,15-19,15-19,20-24,20-24,25-29,25-29,30-34,30-34,35-39,35-39,40-44,40-44,45-49,45-49,50-54,50-54,55-59,55-59,60-64,60-64,65-69,65-69,70-74,70-74,75-79,75-79,80-84,80-84,85 ou mais,85 ou mais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUTS 2013,Portugal,"10,394,669","10,295,909","556,833","436,202","548,114","455,843","574,545","504,940","663,303","545,322","771,492","550,444","823,272","547,680","766,671","566,594","771,661","672,422","737,883","784,224","686,298","789,733","652,405","745,178","579,488","740,141","540,287","676,762","539,287","622,912","456,817","549,591","354,378","432,058","209,569","353,254","162,366","322,609",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUTS I,Continente,"9,904,113","9,798,859","525,390","415,473","515,492","432,930","539,279","477,944","624,086","514,548","731,411","518,764","783,451","514,892","729,759","533,486","733,670","636,213","703,291","743,545","656,819","750,792","627,146","708,497","557,505","703,737","520,051","647,068","518,165","597,684","439,307","530,304","341,074","417,242","201,811","342,218","156,406","313,522",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUTS II,Norte,"3,696,333","3,575,338","211,121","138,522","213,563","145,676","224,421","167,426","256,251","193,356","285,231","202,305","301,701","199,661","287,453","201,137","292,898","233,246","273,461","268,279","246,413","280,939","222,572","274,571","187,293","275,921","170,375","245,514","168,103","218,242","140,778","182,316","106,234","136,239","62,413","112,356","46,052","99,632",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUTS III,Alto Minho,"250,491","230,412","11,676","7,784","12,438","8,234","13,688","9,839","16,729","11,483","18,103","12,018","18,021","12,305","16,536","12,593","17,040","14,657","17,310","16,405","15,697","17,032","14,624","16,453","13,954","17,072","14,137","16,165","15,261","14,333","13,158","12,748","10,505","10,936","6,555","10,251","5,059","10,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Município,Arcos de Valdevez,"24,657","20,926",944,563,996,657,"1,206",774,"1,568",963,"1,517",981,"1,452","1,048","1,212","1,082","1,372","1,258","1,515","1,248","1,390","1,333","1,477","1,262","1,554","1,512","1,761","1,438","1,927","1,329","1,687","1,338","1,427","1,282",931,"1,343",721,"1,515",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Município,Caminha,"17,091","15,877",744,531,818,610,947,602,"1,180",719,"1,211",827,"1,129",858,"1,090",932,"1,186","1,013","1,207","1,059","1,123","1,067","1,054","1,161","1,011","1,192",906,"1,196",980,"1,046",910,944,724,818,463,646,408,656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Município,Melgaço,"9,967","8,093",267,181,342,200,417,265,497,315,569,346,494,423,467,362,517,416,655,425,586,500,577,535,681,567,798,617,927,507,809,567,679,578,388,614,297,675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Município,Monção,"19,947","17,869",641,493,781,555,922,663,"1,268",733,"1,362",802,"1,170",884,"1,083","1,038","1,218","1,218","1,333","1,218","1,279","1,194","1,211","1,153","1,255","1,335","1,416","1,308","1,520","1,161","1,279","1,105","1,052","1,031",664,"1,006",493,972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Município,Paredes de Coura,"9,574","8,535",353,284,355,268,483,401,625,387,598,388,641,442,588,538,612,525,586,613,558,613,565,588,548,566,590,541,739,466,631,528,523,407,316,465,263,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Município,Ponte da Barca,"12,875","11,180",646,341,678,355,767,457,889,580,899,611,875,659,820,639,857,707,824,795,744,871,678,759,680,843,784,791,861,635,693,576,541,517,369,554,270,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
