Regions,aging_index_2001,aging_index_2011,aging_index_2019
Portugal,101.6,125.8,161.3
Continente,103.8,128.6,164.1
Norte,79.4,111.8,162.7
Alto Minho,131.7,170.4,223.0
Arcos de Valdevez,208.1,270.2,337.6
Caminha,138.1,187.0,235.8
Melgaço,297.4,385.3,453.8
Monção,209.7,264.6,308.8
Paredes de Coura,204.6,216.7,246.5
Ponte da Barca,128.2,179.6,236.3
Ponte de Lima,93.1,127.3,179.3
Valença,144.1,168.2,221.7
Viana do Castelo,101.1,135.8,189.4
Vila Nova de Cerveira,150.2,160.5,202.1
Cávado,60.4,85.0,130.6
Amares,75.3,95.8,151.0
Barcelos,53.2,83.4,140.6
Braga,57.2,77.7,118.0
Esposende,59.5,83.5,124.5
Terras de Bouro,128.4,186.1,261.6
Vila Verde,74.7,101.3,142.6
Ave,60.1,91.5,146.1
Cabeceiras de Basto,89.5,114.9,152.0
Fafe,71.0,102.2,165.0
Guimarães,52.0,86.1,140.9
Mondim de Basto,92.9,142.3,227.3
Póvoa de Lanhoso,74.5,103.2,153.9
Vieira do Minho,109.8,161.4,234.4
Vila Nova de Famalicão,55.9,84.8,139.7
Vizela,40.0,68.1,115.9
Área Metropolitana do Porto,75.1,107.2,156.3
Arouca,88.6,116.2,166.0
Espinho,95.3,152.8,231.3
Gondomar,62.7,96.9,154.2
Maia,59.5,79.4,122.4
Matosinhos,76.4,111.3,159.6
Oliveira de Azeméis,76.2,126.2,191.2
Paredes,41.1,62.4,104.5
Porto,145.8,195.9,218.8
Póvoa de Varzim,58.6,85.3,134.2
Santa Maria da Feira,59.9,94.1,148.0
Santo Tirso,77.4,124.2,209.7
São João da Madeira,71.4,107.5,159.7
Trofa,52.0,84.7,141.0
Vale de Cambra,102.5,166.0,238.0
Valongo,54.7,80.0,126.4
Vila do Conde,65.0,90.0,132.8
Vila Nova de Gaia,69.3,97.2,144.1
Alto Tâmega,158.6,240.9,326.2
Boticas,215.1,306.4,372.8
Chaves,138.6,202.8,272.2
Montalegre,210.2,344.0,471.2
Ribeira de Pena,135.0,195.9,258.7
Valpaços,185.7,307.0,412.4
Vila Pouca de Aguiar,137.2,223.0,352.3
Tâmega e Sousa,56.3,81.3,129.5
Amarante,62.9,98.5,155.5
Baião,88.1,126.5,188.0
Castelo de Paiva,67.4,94.9,151.3
Celorico de Basto,92.5,125.1,179.8
Cinfães,104.1,137.8,191.4
