Regions,2001,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Gondomar,62.7,86.2,91.1,96.9,102.5,108.9,116.1,124.1,132.1,139.8,147.4,154.2
Maia,59.5,72.3,75.5,79.4,83.8,89.2,94.9,100.6,106.5,112.1,117.3,122.4
Matosinhos,76.4,99.9,105.2,111.3,116.9,123.4,130.4,137.3,143.8,149.3,154.4,159.6
Porto,145.8,181,188.3,195.9,201.9,207.5,213.7,219.9,222.5,221.9,220.7,218.8
Santa Maria da Feira,59.9,84.4,88.9,94.1,98.6,103.9,110.4,117.9,125.4,132.6,140.2,148
Alcochete,93.6,75.7,76.1,77.3,78.8,81.1,84,87.6,91.5,94.3,97,100.4
Almada,118,122,126.4,130.6,133.8,138,141.9,145.5,148.5,151.1,153.6,155.1
Amadora,93,126.3,130,132.7,135.6,139,142.3,145.3,147.6,149,149.8,149.7
Barreiro,121.5,140.8,146.9,151.6,154.3,158.5,164.5,170.2,175.4,180.8,185.4,189.8
Cascais,98.6,96.3,99.5,103.4,106.5,110.2,114.2,117.8,121,123.9,126.9,129.5
Lisboa,198.7,199.4,200.2,200.8,199,┴  194.5,190.3,188.2,184.5,179.8,175.4,171.5
Loures,77,103.8,108.6,112.2,115,┴  120.3,126.3,129.8,132.4,134.6,136.5,137.9
Mafra,95,76,75.6,76.2,77.6,79.8,82.2,84.8,87.6,90.6,93.6,96.4
Moita,77.4,93.3,98.1,103.1,106.7,111,115.6,120.1,124.6,128.9,132.8,136.4
Montijo,113.6,96.8,96.7,96.5,96,96.3,97.2,98.2,99.1,100,100.9,101.2
Odivelas,80.3,103.4,108.1,111.7,113.5,116.2,119.4,121.9,123.7,124.7,125.7,126.5
Oeiras,105,116.2,120.5,125.6,129.7,134.4,139.3,144,148.3,152,155.8,159.5
Palmela,93,92,94.7,98.3,101.4,104.9,108.9,112.9,116.8,120.6,124.6,127.7
Seixal,60.3,81.9,86.9,91.8,96,101,106.1,110.9,115.7,120.1,124.3,128.6
Sesimbra,88,81.4,82.9,85.1,87.7,91.3,94.4,96.8,99.2,101.1,103.3,105.8
Setúbal,94.8,99.9,102.9,106.9,111.3,116.4,121.8,127.1,132,136.1,140.2,144.5
Sintra,55.7,70.4,74,77.8,81.1,85.1,89.6,93.8,97.8,101.6,104.9,107.9
Vila Franca de Xira,66.4,75.6,77.6,80,82.8,86.4,90.6,95.1,99.9,104.5,109.4,114.5
