Regions,early_dependence_index_1960,early_depedence_index_1981,early_dependence_index_2001,early_dependence_index_2011
Portugal,12.7,18.2,24.2,28.8
Continente,12.8,18.1,24.4,29.2
Norte,11.8,16,20.4,25.2
Alto Minho,16.4,23.7,30.7,36.4
Arcos de Valdevez,17.2,28.4,44.4,53.4
Caminha,18.4,25.9,31.1,36.9
Melgaço,13.9,28.7,51.2,67.3
Monção,17.9,25.7,39.8,46.2
Paredes de Coura,17.3,29.4,40.5,44.2
Ponte da Barca,16.2,25.4,33,40.4
Ponte de Lima,16.2,21.9,26.1,30.6
Valença,18.6,29.1,32.6,35.3
Viana do Castelo,14.6,18.8,23.7,29.4
Vila Nova de Cerveira,19.5,27.5,34.5,37.2
Cávado,12.6,14.9,17.1,20.7
Amares,15.4,20,21.9,24.5
Barcelos,11.9,13.5,15.6,19.7
Braga,11.2,12.8,15.4,18.7
Esposende,13.1,15,17.7,21.4
Terras de Bouro,17.1,25.1,34.1,39.3
Vila Verde,14.2,20,22.6,26.3
Ave,10.8,14.1,┴  16.9,21.3
Cabeceiras de Basto,13.9,21.9,28.2,29.9
Fafe,12.3,17.6,19.6,24.6
Guimarães,8.9,11.8,┴  14.6,19.3
Mondim de Basto,13.6,19.9,28.6,33.8
Póvoa de Lanhoso,13.8,20.4,22.5,26.4
Vieira do Minho,15.4,24,29.6,35.9
Vila Nova de Famalicão,9.5,11.3,15,19.7
Vizela,-,-,12.3,16
Área Metropolitana do Porto,10.6,13.6,18.1,23.7
Arouca,16.5,22,24.6,27.1
Espinho,10.8,13,20.7,30.9
Gondomar,9,11.2,15.3,21.5
Maia,9.1,12,14.6,19.2
Matosinhos,8.7,11.8,17.1,23.2
Oliveira de Azeméis,12.3,14.3,19,25.7
Paredes,10.4,10.5,12.4,16
Porto,11.9,18.1,28.7,35.7
Póvoa de Varzim,11.1,12.4,16.1,21.8
Santa Maria da Feira,10.6,11.8,15.7,21.3
Santo Tirso,9.1,12.8,┴  18.5,25
São João da Madeira,7.3,11.8,17.2,23.8
Trofa,-,-,14.1,18.8
Vale de Cambra,16,19.2,24,31.9
Valongo,8.4,9.4,13.5,19
