Regions,pop_per_doc_2001,pop_per_doc_2019,pop_per_pharm_2001,pop_per_pharm_2019
Portugal,311.8,185.6,1365.3,742.5
Continente,305.2,183.2,1328.7,730.0
Norte,351.2,186.2,1816.8,871.1
Alto Minho,523.2,254.1,2381.7,857.6
Arcos de Valdevez,1234.3,476.1,4114.3,837.9
Caminha,379.0,193.6,1895.0,1058.3
Melgaço,712.2,386.6,3323.5,738.0
Monção,603.8,279.5,3320.8,851.7
Paredes de Coura,1195.6,657.5,2391.3,1424.6
Ponte da Barca,643.3,373.2,3216.4,1017.7
Ponte de Lima,1476.6,383.4,2460.9,920.2
Valença,457.6,553.6,2837.3,1022.0
Viana do Castelo,342.3,171.1,1846.8,741.5
Vila Nova de Cerveira,493.6,317.6,4442.8,1111.7
Cávado,490.4,189.8,2524.4,966.9
Amares,1544.0,348.5,3705.5,1294.4
Barcelos,1151.3,352.6,2346.9,930.9
Braga,268.1,121.1,2389.7,876.4
Esposende,654.5,233.7,2384.3,1003.4
Terras de Bouro,2076.4,638.3,2768.5,1276.6
Vila Verde,3111.0,545.2,3589.6,1465.3
Ave,858.1,290.7,2901.3,1177.9
Cabeceiras de Basto,1186.7,401.6,5933.3,1305.3
Fafe,1225.3,293.7,5268.8,1120.1
Guimarães,613.7,245.7,2346.6,1081.9
Mondim de Basto,1423.4,773.9,4270.3,1741.4
Póvoa de Lanhoso,2838.6,536.8,3784.8,1651.7
Vieira do Minho,1628.6,791.3,4885.7,1695.7
Vila Nova de Famalicão,819.7,282.6,2325.1,1208.3
Vizela,-,372.9,-,1136.6
Área Metropolitana do Porto,223.6,136.6,1341.8,738.6
Arouca,1724.5,716.9,2012.0,1155.0
Espinho,266.9,135.3,1345.2,686.0
Gondomar,441.8,234.2,2785.3,1167.7
Maia,281.5,149.4,2464.1,941.1
Matosinhos,188.8,106.8,1691.2,767.0
Oliveira de Azeméis,1054.6,398.0,2279.3,1321.2
Paredes,1546.8,500.4,2880.2,1304.1
Porto,69.0,43.3,433.8,284.9
Póvoa de Varzim,307.9,180.0,1379.0,803.2
Santa Maria da Feira,901.3,333.9,2430.2,997.0
Santo Tirso,492.6,257.1,1316.6,884.9
São João da Madeira,398.8,242.9,1174.2,642.9
Trofa,-,284.2,18823.0,590.3
Vale de Cambra,1030.5,273.9,2473.2,1017.3
Valongo,401.6,291.3,3083.6,1259.8
Vila do Conde,428.7,222.1,2015.9,1190.1
Vila Nova de Gaia,280.9,170.1,2208.8,920.9
Alto Tâmega,549.2,288.6,2608.5,948.3
Boticas,1278.4,718.4,6392.0,1257.1
Chaves,375.5,186.5,1815.1,1008.8
Montalegre,2111.4,695.7,4222.8,904.4
Ribeira de Pena,1474.8,1003.9,7374.0,1505.9
Valpaços,524.7,425.0,3235.8,826.4
Vila Pouca de Aguiar,710.9,443.9,2985.8,749.1
Tâmega e Sousa,1650.8,518.8,3391.9,1266.3
Amarante,1026.0,383.3,2704.8,968.7
Baião,1713.4,855.4,5568.6,1568.3
Castelo de Paiva,1926.4,705.0,3467.6,1292.5
Celorico de Basto,2919.8,635.3,6812.8,1732.5
Cinfães,3193.2,917.9,2483.6,1019.8
Felgueiras,1695.3,455.6,3390.6,1527.0
Lousada,2637.9,806.4,5605.6,1612.8
Marco de Canaveses,4035.4,644.7,5246.0,1473.7
Paços de Ferreira,1328.4,464.9,3321.1,1289.1
Penafiel,1217.4,415.8,2476.8,1042.5
Resende,2057.3,566.1,2468.8,1132.1
Douro,661.1,300.7,2038.3,964.4
Alijó,1579.9,969.5,3554.8,888.7
Armamar,1859.5,963.4,3719.0,1926.8
Carrazeda de Ansiães,2534.3,945.8,2534.3,1418.6
Freixo de Espada à Cinta,1391.3,826.3,4174.0,1652.5
