Regions,pop_density_2001,pop_density_2011,pop_density_2019
Portugal,112.5,114.5,111.5
Continente,110.9,112.7,109.9
Norte,173.2,173.4,167.9
Alto Minho,112.7,110.3,104.0
Arcos de Valdevez,55.2,51.0,46.8
Caminha,124.1,122.2,116.3
Melgaço,41.9,38.6,34.1
Monção,94.3,91.0,84.6
Paredes de Coura,69.1,66.5,61.9
Ponte da Barca,70.6,66.2,61.5
Ponte de Lima,138.1,135.9,129.3
Valença,120.9,120.4,113.4
Viana do Castelo,278.2,278.0,265.0
Vila Nova de Cerveira,81.8,85.4,82.0
Cávado,316.1,329.7,324.4
Amares,226.1,230.2,221.1
Barcelos,322.1,318.0,307.1
Braga,900.1,991.4,994.0
Esposende,349.8,359.8,357.6
Terras de Bouro,29.9,26.0,23.0
Vila Verde,204.1,209.8,205.0
Ave,293.9,293.3,284.1
Cabeceiras de Basto,73.6,69.1,64.8
Fafe,240.5,231.1,219.9
Guimarães,660.1,656.0,633.0
Mondim de Basto,49.6,43.5,40.5
Póvoa de Lanhoso,171.3,165.1,159.5
Vieira do Minho,67.1,59.4,54.8
Vila Nova de Famalicão,633.7,665.0,653.3
Vizela,956.2,963.8,966.3
Área Metropolitana do Porto,848.9,862.2,845.2
Arouca,73.6,67.8,63.2
Espinho,1593.1,1502.0,1400.8
Gondomar,1250.3,1276.1,1256.9
Maia,1450.8,1634.3,1668.1
Matosinhos,2704.6,2815.4,2801.5
Oliveira de Azeméis,432.2,426.0,410.1
Paredes,534.2,555.0,549.1
Porto,6310.5,5686.9,5213.5
Póvoa de Varzim,773.0,772.4,762.0
Santa Maria da Feira,632.5,647.2,641.9
Santo Tirso,534.0,523.7,499.0
São João da Madeira,2651.1,2736.5,2753.1
Trofa,519.2,541.8,532.7
Vale de Cambra,168.8,155.0,145.0
Valongo,1138.8,1254.4,1291.4
Vila do Conde,500.5,535.0,535.1
Vila Nova de Gaia,1715.4,1798.5,1782.1
Alto Tâmega,35.7,32.2,29.5
Boticas,19.9,17.8,15.6
Chaves,73.7,69.8,66.5
Montalegre,15.7,13.0,11.2
Ribeira de Pena,33.9,30.1,27.7
Valpaços,35.4,30.6,27.1
Vila Pouca de Aguiar,34.2,30.1,27.4
Tâmega e Sousa,236.8,236.5,227.5
Amarante,197.4,186.5,176.8
Baião,127.8,117.3,107.8
Castelo de Paiva,150.8,145.2,134.9
Celorico de Basto,112.9,111.1,105.2
Cinfães,92.6,85.1,76.7
Felgueiras,498.2,502.2,488.2
Lousada,465.5,494.2,486.8
Marco de Canaveses,259.8,265.1,255.5
Paços de Ferreira,742.2,796.7,799.0
Penafiel,338.4,340.5,329.1
Resende,100.8,91.9,82.6
Douro,54.6,50.8,47.4
Alijó,47.8,40.0,35.8
Armamar,63.5,53.7,49.3
Carrazeda de Ansiães,27.2,22.7,20.3
Freixo de Espada à Cinta,17.0,15.4,13.5
Lamego,169.4,161.1,150.7
Mesão Frio,183.6,165.7,149.3
Moimenta da Beira,50.1,46.4,44.2
Murça,35.5,31.4,28.9
Penedono,25.7,22.0,19.4
Peso da Régua,194.5,180.2,166.6
Sabrosa,44.7,40.5,37.7
Santa Marta de Penaguião,122.1,105.7,95.6
São João da Pesqueira,32.4,29.5,26.8
Sernancelhe,27.2,24.8,23.6
Tabuaço,50.5,47.5,45.0
Tarouca,82.9,80.4,77.8
Torre de Moncorvo,18.5,16.1,14.5
Vila Nova de Foz Côa,21.2,18.3,16.4
Vila Real,132.7,136.9,131.8
Terras de Trás-os-Montes,22.9,21.2,19.4
Alfândega da Fé,18.4,15.7,14.2
Bragança,29.6,30.1,28.6
Macedo de Cavaleiros,24.9,22.5,20.8
Miranda do Douro,16.5,15.4,14.1
Mirandela,39.1,36.1,33.1
Mogadouro,14.7,12.5,11.1
Vila Flor,29.6,25.1,22.8
Vimioso,11.0,9.7,8.4
Vinhais,15.2,13.0,11.2
Centro,83.3,82.4,78.6
Oeste,153.0,163.4,161.1
Alcobaça,136.3,138.8,131.3
Alenquer,128.8,142.3,144.1
Arruda dos Vinhos,134.6,173.8,195.6
Bombarral,145.3,144.1,137.4
Cadaval,80.3,81.4,78.0
Caldas da Rainha,191.4,202.6,202.3
Lourinhã,159.3,175.0,175.1
Nazaré,182.6,183.0,171.9
Óbidos,76.8,83.2,83.3
Peniche,351.4,357.1,341.6
Sobral de Monte Agraço,171.6,195.2,202.9
Torres Vedras,178.3,195.3,192.5
Região de Aveiro,215.9,218.6,214.4
Águeda,146.1,142.2,137.3
Albergaria-a-Velha,158.8,158.6,152.0
Anadia,145.1,134.2,125.9
Aveiro,367.9,396.2,396.4
Estarreja,259.6,249.1,240.2
Ílhavo,506.8,524.7,524.7
Murtosa,129.6,144.6,140.4
Oliveira do Bairro,243.0,264.7,276.1
Ovar,374.6,374.7,366.9
Sever do Vouga,101.4,94.9,87.5
Vagos,133.8,138.8,137.7
Região de Coimbra,108.8,105.9,100.1
Arganil,40.8,36.4,33.2
Cantanhede,96.7,93.7,89.6
Coimbra,464.2,446.1,419.4
Condeixa-a-Nova,111.2,123.8,127.4
Figueira da Foz,165.1,163.8,155.1
Góis,18.4,16.1,14.5
Lousã,114.3,127.1,123.9
Mealhada,187.4,184.6,179.9
Mira,103.5,100.4,95.4
Miranda do Corvo,103.5,103.8,100.5
Montemor-o-Velho,111.6,114.3,110.2
Mortágua,41.2,38.2,35.2
Oliveira do Hospital,94.1,88.7,82.3
Pampilhosa da Serra,13.1,11.3,10.2
Penacova,76.9,70.1,63.5
Penela,48.7,44.2,40.2
Soure,78.8,72.3,64.9
Tábua,63.0,60.4,57.0
Vila Nova de Poiares,83.6,86.2,82.1
Região de Leiria,117.8,120.2,116.2
Alvaiázere,52.5,45.3,41.2
Ansião,77.8,74.4,68.6
Batalha,146.2,153.0,153.8
Castanheira de Pêra,55.6,47.4,39.4
Figueiró dos Vinhos,42.1,35.4,32.2
Leiria,211.4,224.5,221.3
Marinha Grande,192.7,206.9,205.4
Pedrógão Grande,34.1,30.2,26.6
Pombal,89.9,88.1,82.4
Porto de Mós,91.8,92.9,88.9
Viseu Dão Lafões,85.1,82.5,77.8
Aguiar da Beira,30.1,26.4,22.7
Carregal do Sal,88.8,83.9,79.4
Castro Daire,44.6,40.3,36.6
Mangualde,95.5,90.5,84.7
Nelas,113.5,111.3,103.4
Oliveira de Frades,72.8,70.6,68.3
Penalva do Castelo,66.8,59.0,53.2
Santa Comba Dão,111.0,103.1,93.6
São Pedro do Sul,54.4,48.1,44.3
Sátão,65.0,61.6,57.4
Tondela,83.7,77.8,71.3
Vila Nova de Paiva,34.8,29.4,26.8
Viseu,184.8,195.6,191.5
Vouzela,61.2,54.3,49.8
Beira Baixa,20.4,19.2,17.4
Castelo Branco,38.8,38.9,36.2
Idanha-a-Nova,8.2,6.8,5.7
Oleiros,14.2,12.1,10.7
Penamacor,11.8,10.0,8.5
Proença-a-Nova,24.2,21.0,18.6
Vila Velha de Ródão,12.4,10.7,9.6
Médio Tejo,76.1,73.8,69.6
Abrantes,58.9,54.8,49.3
Alcanena,114.6,108.5,100.8
Constância,47.8,50.4,50.0
Entroncamento,1327.9,1476.5,1557.6
Ferreira do Zêzere,49.4,45.2,41.9
Mação,21.0,18.3,15.7
Ourém,111.1,110.3,105.7
Sardoal,44.6,42.8,40.6
Sertã,37.4,35.5,32.7
Tomar,121.9,115.3,104.9
Torres Novas,137.1,135.9,129.5
Vila de Rei,17.6,18.1,17.3
Vila Nova da Barquinha,152.6,148.0,150.0
Beiras e Serra da Estrela,40.9,37.3,33.7
Almeida,16.2,13.8,11.3
Belmonte,63.7,57.6,53.9
Celorico da Beira,35.7,31.0,28.1
Covilhã,97.9,92.8,84.5
Figueira de Castelo Rodrigo,14.0,12.3,11.0
Fornos de Algodres,42.6,37.9,34.6
Fundão,44.8,41.6,38.0
Gouveia,53.4,46.6,41.4
Guarda,61.5,59.5,54.8
Manteigas,33.4,28.1,24.8
Mêda,21.7,18.1,16.1
Pinhel,22.5,19.8,17.7
Sabugal,18.0,15.2,13.0
Seia,64.3,56.5,51.2
Trancoso,30.0,27.3,24.6
Área Metropolitana de Lisboa,899.6,941.0,946.8
Área Metropolitana de Lisboa,899.6,941.0,946.8
Alcochete,99.3,138.2,153.1
Almada,2296.6,2477.0,2414.1
Amadora,7375.5,7376.1,7692.0
Barreiro,2466.9,2163.8,2068.8
Cascais,1769.1,2127.1,2187.3
Lisboa,6656.8,6389.6,5081.1
Loures,1177.0,1216.9,1270.8
Mafra,189.5,265.6,289.4
Moita,1233.1,1196.0,1166.6
Montijo,116.5,148.5,164.2
Odivelas,5035.6,5528.2,6054.6
Oeiras,3540.8,3759.1,3853.8
Palmela,115.4,135.8,138.1
Seixal,1571.2,1667.7,1752.7
