Regions,purchasing_power_1993,purchasing_power_2017
Portugal,100,100
Continente,101.8,100.7
Norte,81.7,92.1
Alto Minho,55.3,79.7
Arcos de Valdevez,36.5,67.8
Caminha,78.2,78.9
Melgaço,50.4,62
Monção,43.5,70.2
Paredes de Coura,27.5,66.4
Ponte da Barca,43,64.4
Ponte de Lima,29.5,71
Valença,71.4,82.7
Viana do Castelo,76.9,93.1
Vila Nova de Cerveira,55.3,84.2
Cávado,66.2,89.9
Amares,39.4,70.9
Barcelos,48,78.9
Braga,99.8,107
Esposende,46.1,83.8
Terras de Bouro,28.3,63.2
Vila Verde,31.7,66.8
Ave,x,84.9
Cabeceiras de Basto,28.1,65.4
Fafe,52.4,75.3
Guimarães,67.7,91.4
Mondim de Basto,24.5,59.6
Póvoa de Lanhoso,41.5,69.4
Vieira do Minho,29.4,67.2
Vila Nova de Famalicão,60.3,88.8
Vizela,//,84.1
Área Metropolitana do Porto,x,104.4
Arouca,38.9,70.8
Espinho,112.9,103
Gondomar,84.4,84.1
Maia,109,110.7
Matosinhos,132.2,123
Oliveira de Azeméis,64.8,83.1
Paredes,45.3,79.8
Porto,226.9,157.8
Póvoa de Varzim,90.6,95.5
Santa Maria da Feira,61,84.8
Santo Tirso,68.3,85.8
São João da Madeira,183.7,135.4
Trofa,//,92.7
Vale de Cambra,61.8,86.9
Valongo,78.4,91.7
Vila do Conde,58.9,96.2
Vila Nova de Gaia,103.5,100.1
Alto Tâmega,x,69.5
Boticas,24.6,59
Chaves,69.8,79.2
Montalegre,28.9,62.4
Ribeira de Pena,21.3,63.3
Valpaços,27.6,59.4
Vila Pouca de Aguiar,32.8,63.5
Tâmega e Sousa,x,73
Amarante,39.4,71.8
Baião,21.8,58.2
Castelo de Paiva,36.5,65.7
Celorico de Basto,19.9,56.1
Cinfães,18.9,56.9
Felgueiras,49.5,81.6
Lousada,35.9,71.1
Marco de Canaveses,41.3,74.1
Paços de Ferreira,45.5,79.4
Penafiel,40.4,78.9
Resende,22.1,59.5
Douro,x,76.1
Alijó,37.3,63.6
Armamar,22.7,63.3
Carrazeda de Ansiães,28.8,63
