Regions,road_acc_1987,road_acc_2019
Portugal,x,x
Continente,38656.0,35704.0
Norte,12153.0,12850.0
Alto Minho,862.0,859.0
Arcos de Valdevez,49.0,73.0
Caminha,63.0,46.0
Melgaço,18.0,21.0
Monção,19.0,54.0
Paredes de Coura,15.0,36.0
Ponte da Barca,59.0,30.0
Ponte de Lima,149.0,179.0
Valença,23.0,74.0
Viana do Castelo,439.0,310.0
Vila Nova de Cerveira,28.0,36.0
Cávado,1402.0,1564.0
Amares,73.0,73.0
Barcelos,457.0,441.0
Braga,539.0,669.0
Esposende,177.0,175.0
Terras de Bouro,31.0,34.0
Vila Verde,125.0,172.0
Ave,1505.0,1586.0
Cabeceiras de Basto,48.0,43.0
Fafe,171.0,185.0
Guimarães,640.0,604.0
Mondim de Basto,18.0,20.0
Póvoa de Lanhoso,77.0,93.0
Vieira do Minho,39.0,37.0
Vila Nova de Famalicão,512.0,535.0
Vizela,//,69.0
Área Metropolitana do Porto,5744.0,6007.0
Arouca,81.0,85.0
Espinho,225.0,111.0
Gondomar,225.0,462.0
Maia,254.0,399.0
Matosinhos,439.0,527.0
Oliveira de Azeméis,248.0,263.0
Paredes,304.0,304.0
Porto,1477.0,1090.0
Póvoa de Varzim,331.0,230.0
Santa Maria da Feira,443.0,523.0
Santo Tirso,372.0,237.0
São João da Madeira,89.0,83.0
Trofa,//,164.0
Vale de Cambra,98.0,48.0
Valongo,238.0,274.0
Vila do Conde,312.0,287.0
Vila Nova de Gaia,608.0,920.0
Alto Tâmega,329.0,316.0
Boticas,9.0,20.0
Chaves,143.0,146.0
Montalegre,31.0,45.0
Ribeira de Pena,19.0,19.0
Valpaços,54.0,54.0
Vila Pouca de Aguiar,73.0,32.0
Tâmega e Sousa,1397.0,1520.0
Amarante,244.0,212.0
Baião,42.0,67.0
Castelo de Paiva,27.0,45.0
Celorico de Basto,63.0,50.0
Cinfães,39.0,40.0
Felgueiras,248.0,240.0
Lousada,108.0,173.0
Marco de Canaveses,137.0,183.0
Paços de Ferreira,189.0,192.0
Penafiel,283.0,284.0
Resende,17.0,34.0
Douro,619.0,645.0
Alijó,34.0,36.0
Armamar,18.0,15.0
Carrazeda de Ansiães,11.0,19.0
Freixo de Espada à Cinta,1.0,12.0
Lamego,78.0,96.0
Mesão Frio,20.0,15.0
Moimenta da Beira,46.0,43.0
Murça,26.0,15.0
Penedono,6.0,10.0
Peso da Régua,54.0,41.0
Sabrosa,12.0,13.0
Santa Marta de Penaguião,16.0,14.0
São João da Pesqueira,20.0,36.0
Sernancelhe,16.0,14.0
Tabuaço,19.0,14.0
Tarouca,15.0,21.0
Torre de Moncorvo,9.0,28.0
Vila Nova de Foz Côa,19.0,19.0
Vila Real,199.0,184.0
Terras de Trás-os-Montes,295.0,353.0
Alfândega da Fé,8.0,16.0
Bragança,111.0,120.0
Macedo de Cavaleiros,42.0,51.0
Miranda do Douro,19.0,12.0
Mirandela,69.0,83.0
Mogadouro,17.0,20.0
Vila Flor,10.0,17.0
Vimioso,3.0,4.0
Vinhais,16.0,30.0
Centro,10311.0,8496.0
Oeste,1457.0,1323.0
Alcobaça,328.0,215.0
Alenquer,140.0,157.0
Arruda dos Vinhos,21.0,38.0
Bombarral,48.0,52.0
Cadaval,41.0,38.0
Caldas da Rainha,257.0,190.0
Lourinhã,86.0,75.0
Nazaré,49.0,57.0
Óbidos,72.0,65.0
Peniche,104.0,77.0
Sobral de Monte Agraço,19.0,32.0
Torres Vedras,292.0,327.0
Região de Aveiro,2083.0,1576.0
Águeda,299.0,183.0
Albergaria-a-Velha,148.0,105.0
Anadia,179.0,114.0
Aveiro,482.0,384.0
Estarreja,117.0,107.0
Ílhavo,220.0,130.0
Murtosa,48.0,65.0
Oliveira do Bairro,121.0,115.0
Ovar,307.0,241.0
Sever do Vouga,49.0,36.0
Vagos,113.0,96.0
Região de Coimbra,2088.0,1747.0
Arganil,45.0,34.0
Cantanhede,130.0,151.0
Coimbra,867.0,620.0
Condeixa-a-Nova,63.0,57.0
Figueira da Foz,325.0,222.0
Góis,13.0,26.0
Lousã,45.0,49.0
Mealhada,110.0,81.0
Mira,51.0,50.0
Miranda do Corvo,58.0,38.0
Montemor-o-Velho,55.0,100.0
Mortágua,66.0,42.0
Oliveira do Hospital,61.0,77.0
Pampilhosa da Serra,7.0,11.0
Penacova,33.0,44.0
Penela,21.0,21.0
Soure,59.0,46.0
Tábua,54.0,46.0
Vila Nova de Poiares,25.0,32.0
Região de Leiria,1543.0,1166.0
Alvaiázere,29.0,22.0
Ansião,47.0,47.0
Batalha,82.0,44.0
Castanheira de Pêra,18.0,8.0
Figueiró dos Vinhos,26.0,20.0
Leiria,648.0,559.0
Marinha Grande,221.0,154.0
Pedrógão Grande,13.0,9.0
