Regions,spf_2001,spf_2011,spf_senior_2001,spf_senior_2011
Portugal,"631,762","866,827","321,054","406,942"
Continente,"611,627","834,680","310,860","393,590"
Norte,"159,894","228,923","84,003","109,884"
Alto Minho,"13,098","17,241","8,088","9,983"
Arcos de Valdevez,"1,959","2,285","1,346","1,513"
Caminha,915,"1,368",540,745
Melgaço,771,"1,006",518,679
Monção,"1,399","1,616",963,"1,053"
Paredes de Coura,723,723,510,475
Ponte da Barca,711,900,468,536
Ponte de Lima,"1,543","2,078","1,007","1,256"
Valença,892,"1,065",537,598
Viana do Castelo,"3,634","5,474","1,825","2,713"
Vila Nova de Cerveira,551,726,374,415
Cávado,"12,367","19,797","5,759","8,365"
Amares,550,780,348,417
Barcelos,"2,760","4,099","1,505","2,082"
Braga,"6,248","10,905","2,221","3,610"
Esposende,877,"1,503",451,695
Terras de Bouro,418,468,279,306
Vila Verde,"1,514","2,042",955,"1,255"
Ave,"┴  11,815","18,769","┴  6,636","9,388"
Cabeceiras de Basto,743,919,523,597
Fafe,"1,798","2,622","1,104","1,480"
Guimarães,"┴  3,843","6,791","┴  1,990","3,017"
Mondim de Basto,371,474,242,296
Póvoa de Lanhoso,761,"1,035",504,588
Vieira do Minho,686,772,426,481
Vila Nova de Famalicão,"3,188","5,375","1,613","2,531"
Vizela,425,781,234,398
Área Metropolitana do Porto,"79,733","119,820","36,250","50,667"
Arouca,785,970,535,563
Espinho,"1,577","2,326",857,"1,237"
Gondomar,"5,797","9,466","2,725","4,132"
Maia,"4,595","8,439","1,793","2,939"
Matosinhos,"8,102","14,004","3,350","5,157"
Oliveira de Azeméis,"2,115","3,238","1,199","1,756"
Paredes,"1,750","2,928",948,"1,315"
Porto,"25,480","30,736","11,069","13,329"
Póvoa de Varzim,"2,318","3,491","1,055","1,547"
Santa Maria da Feira,"4,297","6,529","2,252","3,132"
Santo Tirso,"┴  1,969","3,116","┴  1,164","1,676"
São João da Madeira,806,"1,467",394,604
Trofa,998,"1,518",457,671
Vale de Cambra,984,"1,396",629,828
Valongo,"2,704","5,151","1,133","1,916"
Vila do Conde,"2,610","3,803","1,204","1,640"
Vila Nova de Gaia,"12,846","21,242","5,486","8,225"
Alto Tâmega,"7,364","8,425","4,569","5,215"
Boticas,502,558,362,368
Chaves,"2,777","3,476","1,554","1,974"
Montalegre,"1,151","1,137",712,721
Ribeira de Pena,459,529,300,326
Valpaços,"1,471","1,645",996,"1,143"
Vila Pouca de Aguiar,"1,004","1,080",645,683
Tâmega e Sousa,"┴  12,256","17,506","┴  7,798","9,719"
Amarante,"1,802","2,694","1,090","1,469"
Baião,939,"1,099",693,711
Castelo de Paiva,461,642,295,394
Celorico de Basto,859,"1,117",607,678
