stop_name,stop_id,stop_lat,stop_lon,carrier,identifier
25 de Abril,12_2,38.68423,-9.14985,data_metro_transportes_do_sul,2
A Bonecos (Avª 1º Maio 105),11_1125,38.6119054352764,-9.09043338526142,data_tst,1125
A Bonecos (Avª 1º Maio 126),11_1000,38.6119414719583,-9.09038677778343,data_tst,1000
A Bonecos (Avª 1º Maio 31),11_1001,38.6171497457752,-9.08456771483661,data_tst,1001
A Bonecos (Avª 1º Maio 53),11_1002,38.6147834987006,-9.08650245736095,data_tst,1002
A Bonecos (Avª 1º Maio 74),11_1004,38.6149535811179,-9.08632956149493,data_tst,1004
A Bonecos (Avª 1º Maio Fte 31),11_1003,38.6169945031828,-9.08467115340106,data_tst,1003
AEROPORTO,1_7601,38.767825,-9.128712,data_carris,7601
AJUDA,1_12901,38.709134,-9.199986,data_carris,12901
AJUDA - RUA DAS AÇUCENAS,1_12919,38.708802,-9.200021,data_carris,12919
AL. BEATO,1_8308,38.732752,-9.105924,data_carris,8308
ALAMEDA,M23,38.73696,-9.13389,data_metro_de_lisboa,M23
ALAMEDA D. A. HENRIQUES,1_403,38.736552,-9.133523,data_carris,403
ALAMEDA D. AFONSO HENIRIQUES,1_11111,38.736753,-9.136329,data_carris,11111
ALAMEDA DO BEATO,1_8307,38.733098,-9.10554,data_carris,8307
ALAMEDA FERNÃO LOPES - ESTAÇÃO,1_14305,38.714636,-9.229225,data_carris,14305
ALAMEDA UNIVERSIDADE TÉCNICA,1_12927,38.713587,-9.200493,data_carris,12927
ALCÂNTARA,1_9401,38.706573,-9.173485,data_carris,9401
ALCÂNTARA - AV. DE CEUTA,1_9425,38.7081,-9.173737,data_carris,9425
ALCÂNTARA - CÇ. DA TAPADA,1_12117,38.707245,-9.178934,data_carris,12117
ALCÂNTARA MAR,1_4005,38.703507,-9.174716,data_carris,4005
ALFORNELOS,M43,38.76035,-9.20455,data_metro_de_lisboa,M43
ALFRAGIDE,1_8841,38.738112,-9.212832,data_carris,8841
ALFRAGIDE - DGA,1_88102,38.737675,-9.208033,data_carris,88102
ALFRAGIDE - FAP,1_18109,38.738514,-9.213948,data_carris,18109
ALFRAGIDE - NATO,1_18110,38.736523,-9.216383,data_carris,18110
ALFRAGIDE NORTE,1_18128,38.73946,-9.22151,data_carris,18128
ALFRAGIDE SUL,1_18116,38.732891,-9.216962,data_carris,18116
ALFÂNDEGA (TERMINAL CRUZEIROS),1_8201,38.710502,-9.127432,data_carris,8201
ALGÉS,1_4201,38.698568,-9.227241,data_carris,4201
ALGÉS (JARDIM),1_4223,38.699417,-9.232097,data_carris,4223
ALGÉS - PÇ. D. MANUEL I,1_4218,38.699497,-9.228493,data_carris,4218
ALTA DE LISBOA - QTA CONCHAS,1_11503,38.769864,-9.148551,data_carris,11503
ALTINHO (MAAT),1_4114,38.697506,-9.196012,data_carris,4114
ALTO DAMAIA,1_3021,38.743514,-9.217448,data_carris,3021
ALTO DE SANTO AMARO,1_12001,38.702359,-9.187987,data_carris,12001
ALTO DO CHAPELEIRO,1_7221,38.787673,-9.163587,data_carris,7221
ALTO DO ZAMBUJAL,1_8844,38.736337,-9.212601,data_carris,8844
