
Quadro extraído em 06 de Abril de 2021 (21:04:21)
http://www.ine.pt



Local de residência (NUTS - 2013) (1) ;População residente em lugares censitários (N.º) por Local de residência (NUTS - 2013) e Escalão de dimensão populacional -  Decenal (2) ;;;;
;Período de referência dos dados;;;;
;2011;;;;
;Escalão de dimensão populacional;;;;
;Total;População isolada;Menos de 2 000 habitantes;2 000 e mais habitantes;
;N.º ;N.º ;N.º ;N.º ;
PT: Portugal;10562178;178684;3945623;6437871;
1: Continente;10047621;173516;3707220;6166885;
2: Região Autónoma dos Açores;246772;4049;123132;119591;
3: Região Autónoma da Madeira;267785;1119;115271;151395;

População residente em lugares censitários (N.º) por Local de residência (NUTS - 2013) e Escalão de dimensão populacional -  Decenal - INE, Recenseamento da população e habitação - Censos 2011

Nota(s):
(1) A partir de 1 de janeiro de 2015 entrou em vigor uma nova versão das NUTS (NUTS 2013). Ao nível da NUTS II ocorreu apenas uma alteração de designação em "Lisboa" que passou a ser designada por "Área Metropolitana de Lisboa".

(2) A população residente nos lugares de uma unidade territorial corresponde à população residente nos lugares total ou parcialmente incluídos nessa unidade. A população isolada associada ao município de Lisboa corresponde ao corpo diplomático nacional. O apuramento desta informação resulta do cruzamento da geografia de lugares censitários (2011) com a CAOP 2013 podendo, por isso, haver diferenças face aos resultados definitivos dos Censos 2011 (CAOP 2010).



Última atualização destes dados: 17 de março de 2017


Metainformação associada ao quadro

População residente em lugares censitários (N.º)
Designação;População residente em lugares censitários (N.º) por Local de residência (NUTS - 2013) e Escalão de dimensão populacional -  Decenal
Periodicidade;Decenal
Fonte;INE, Recenseamento da população e habitação - Censos 2011
Primeiro período disponível;2011
Último período disponível;2011
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Local de residência (NUTS - 2013)
     Dimensão 3;Escalão de dimensão populacional
Conceitos
     LUGAR;Aglomerado populacional com dez ou mais alojamentos destinados à habitação de pessoas e com uma designação própria, independentemente de pertencer a uma ou mais freguesias.
     POPULAÇÃO RESIDENTE;Conjunto de pessoas que, independentemente de estarem presentes ou ausentes num determinado alojamento no momento de observação, viveram no seu local de residência habitual por um período contínuo de, pelo menos, 12 meses anteriores ao momento de observação, ou que chegaram ao seu local de residência habitual durante o período correspondente aos 12 meses anteriores ao momento de observação, com a intenção de aí permanecer por um período mínimo de um ano.
     PERÍODO DE REFERÊNCIA;Período de tempo a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
Definição;
Fórmula;
Unidade de Medida (símbolo);Número (N.º)
Potência de 10;0
Data da última atualização;17-Mar-2017
