service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
27581474,1,1,1,1,1,0,0,20210406,20210602
27581484,1,1,1,1,1,0,0,20210406,20210602
27581489,1,1,1,1,1,0,0,20210406,20210602
27581544,1,1,1,1,1,0,0,20210406,20210602
27581494,1,1,1,1,1,0,0,20210406,20210602
27581499,1,1,1,1,1,0,0,20210406,20210602
27581504,1,1,1,1,1,0,0,20210406,20210602
27581479,1,1,1,1,1,0,0,20210406,20210602
27581509,1,1,1,1,1,0,0,20210406,20210602
27581519,1,1,1,1,1,0,0,20210406,20210602
27581524,1,1,1,1,1,0,0,20210406,20210602
27581534,1,1,1,1,1,0,0,20210406,20210602
27581514,1,1,1,1,1,0,0,20210406,20210602
27581529,1,1,1,1,1,0,0,20210406,20210602
27581549,1,1,1,1,1,0,0,20210406,20210602
27581554,1,1,1,1,1,0,0,20210406,20210602
27581539,1,1,1,1,1,0,0,20210406,20210602
27581559,1,1,1,1,1,0,0,20210406,20210602
27581564,1,1,1,1,1,0,0,20210406,20210602
27581569,1,1,1,1,1,0,0,20210406,20210602
27581579,1,1,1,1,1,0,0,20210406,20210602
27581584,1,1,1,1,1,0,0,20210406,20210602
27581589,1,1,1,1,1,0,0,20210406,20210602
27581594,1,1,1,1,1,0,0,20210406,20210602
27581574,1,1,1,1,1,0,0,20210406,20210602
27581599,1,1,1,1,1,0,0,20210406,20210602
27581604,1,1,1,1,1,0,0,20210406,20210602
27581609,1,1,1,1,1,0,0,20210406,20210602
27581614,1,1,1,1,1,0,0,20210406,20210602
27581619,1,1,1,1,1,0,0,20210406,20210602
27581624,1,1,1,1,1,0,0,20210406,20210602
27581629,1,1,1,1,1,0,0,20210406,20210602
27581634,1,1,1,1,1,0,0,20210406,20210602
27659163,0,0,0,0,0,0,0,20210217,20211231
27659161,0,0,0,0,0,0,0,20210217,20211231
27658740,1,1,1,1,1,0,0,20210406,20210602
27658755,0,0,0,0,0,1,0,20210410,20210724
27658839,0,0,0,0,0,1,0,20210410,20210724
27658845,0,0,0,0,0,1,0,20210410,20210724
27658911,0,0,0,0,0,0,1,20210411,20210725
27658905,0,0,0,0,0,0,1,20210411,20210725
27659142,0,0,0,0,0,0,0,20210217,20211231
27659145,0,0,0,0,0,0,0,20210217,20211231
27659156,0,0,0,0,0,0,0,20210217,20211231
27658827,0,0,0,0,0,1,0,20210410,20210724
27658794,0,0,0,0,0,1,0,20210410,20210724
27658761,0,0,0,0,0,1,0,20210410,20210724
27658848,0,0,0,0,0,0,1,20210411,20210725
27658854,0,0,0,0,0,0,1,20210411,20210725
27658863,0,0,0,0,0,0,1,20210411,20210725
27658875,0,0,0,0,0,0,1,20210411,20210725
27658908,0,0,0,0,0,0,1,20210411,20210725
27659138,0,0,0,0,0,0,0,20210217,20211231
27658695,1,1,1,1,1,0,0,20210406,20210602
27658715,1,1,1,1,1,0,0,20210406,20210602
27658620,1,1,1,1,1,0,0,20210406,20210602
27658625,1,1,1,1,1,0,0,20210406,20210602
27659141,0,0,0,0,0,0,0,20210217,20211231
27659148,0,0,0,0,0,0,0,20210217,20211231
27659154,0,0,0,0,0,0,0,20210217,20211231
27659144,0,0,0,0,0,0,0,20210217,20211231
27658803,0,0,0,0,0,1,0,20210410,20210724
27658830,0,0,0,0,0,1,0,20210410,20210724
27658767,0,0,0,0,0,1,0,20210410,20210724
27658785,0,0,0,0,0,1,0,20210410,20210724
27659143,0,0,0,0,0,0,0,20210217,20211231
27659139,0,0,0,0,0,0,0,20210217,20211231
27658640,1,1,1,1,1,0,0,20210406,20210602
27658630,1,1,1,1,1,0,0,20210406,20210602
27658635,1,1,1,1,1,0,0,20210406,20210602
27658645,1,1,1,1,1,0,0,20210406,20210602
27658655,1,1,1,1,1,0,0,20210406,20210602
27658665,1,1,1,1,1,0,0,20210406,20210602
27658779,0,0,0,0,0,1,0,20210410,20210724
27658710,1,1,1,1,1,0,0,20210406,20210602
27658670,1,1,1,1,1,0,0,20210406,20210602
27658680,1,1,1,1,1,0,0,20210406,20210602
27658660,1,1,1,1,1,0,0,20210406,20210602
27658650,1,1,1,1,1,0,0,20210406,20210602
27658700,1,1,1,1,1,0,0,20210406,20210602
27658690,1,1,1,1,1,0,0,20210406,20210602
27659159,0,0,0,0,0,0,0,20210217,20211231
27658750,1,1,1,1,1,0,0,20210406,20210602
27658725,1,1,1,1,1,0,0,20210406,20210602
27658899,0,0,0,0,0,0,1,20210411,20210725
27658851,0,0,0,0,0,0,1,20210411,20210725
27659152,0,0,0,0,0,0,0,20210217,20211231
27659149,0,0,0,0,0,0,0,20210217,20211231
27658758,0,0,0,0,0,1,0,20210410,20210724
27658866,0,0,0,0,0,0,1,20210411,20210725
27658872,0,0,0,0,0,0,1,20210411,20210725
