trip_id,start_time,end_time,headway_secs,exact_times
27581484,07:15:00,07:30:00,900,1
27581494,08:02:00,08:20:00,1080,1
27581499,08:38:00,08:55:00,1020,1
27581554,13:02:00,13:28:00,1560,1
27581584,15:38:00,15:56:00,1080,1
27581594,16:31:00,16:48:00,1020,1
27581599,17:00:00,17:06:00,360,1
27581604,17:24:00,17:41:00,1020,1
27581609,17:59:00,18:16:00,1020,1
27581614,18:34:00,18:52:00,1080,1
27581619,19:09:00,19:27:00,1080,1
27581629,20:03:00,20:21:00,1080,1
27659145,13:15:00,13:45:00,900,1
27658794,14:15:00,14:30:00,900,1
27658854,11:00:00,12:00:00,1800,1
27658863,13:15:00,13:45:00,900,1
27658875,15:15:00,15:30:00,900,1
27658715,17:40:00,17:50:00,600,1
27658620,07:40:00,08:10:00,1800,1
27659154,17:15:00,17:30:00,900,1
27658803,15:15:00,15:30:00,900,1
27658830,18:15:00,18:30:00,900,1
27658785,13:15:00,13:30:00,900,1
27658640,09:10:00,09:30:00,600,1
27658630,08:40:00,08:50:00,600,1
27658645,09:40:00,09:50:00,600,1
27658655,10:40:00,10:50:00,600,1
27658665,11:10:00,11:30:00,600,1
27658710,17:10:00,17:30:00,600,1
27658670,11:40:00,12:50:00,600,1
27658680,13:10:00,14:30:00,600,1
27658650,10:00:00,10:30:00,600,1
27658700,16:10:00,16:50:00,600,1
27658690,15:00:00,15:50:00,600,1
27659152,16:15:00,16:45:00,900,1
27659150,15:15:00,15:45:00,900,1
27658812,16:15:00,16:30:00,900,1
27658821,17:15:00,17:30:00,900,1
27659157,18:15:00,18:30:00,900,1
27658893,17:15:00,17:30:00,900,1
27658884,16:15:00,16:30:00,900,1
27658685,14:40:00,14:50:00,600,1
27659147,14:15:00,14:30:00,900,1
27658836,19:00:00,19:30:00,1800,1
27658896,17:45:00,18:45:00,900,1
27658869,14:15:00,14:45:00,900,1
27658720,18:00:00,18:50:00,600,1
27658745,20:15:00,20:30:00,900,1
27658730,19:10:00,19:30:00,600,1
27597816,14:45:00,15:00:00,900,1
27597825,16:00:00,16:45:00,900,1
27597837,18:15:00,18:30:00,900,1
27597849,20:15:00,20:45:00,1800,1
27597873,15:15:00,15:30:00,900,1
27597885,17:15:00,18:00:00,900,1
27598099,19:45:00,20:15:00,1800,1
27597798,08:45:00,09:15:00,1800,1
27597728,08:45:00,08:55:00,600,1
27598094,17:00:00,17:45:00,900,1
27598097,18:45:00,19:00:00,900,1
27598090,15:15:00,15:30:00,900,1
27598092,16:00:00,16:30:00,900,1
27598083,11:45:00,12:15:00,1800,1
27598085,13:15:00,13:45:00,900,1
27597846,19:15:00,19:45:00,1800,1
27597813,14:00:00,14:30:00,900,1
27597804,10:15:00,13:15:00,1800,1
27597828,17:00:00,17:30:00,900,1
27597882,16:15:00,17:00:00,900,1
27597870,13:15:00,15:00:00,900,1
27597864,11:45:00,12:15:00,1800,1
27597888,18:15:00,18:45:00,900,1
27597733,09:05:00,12:55:00,600,1
