shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
160134,38.745576,-9.135208,1,
160134,38.743412,-9.132416,2,
160134,38.745694,-9.131128,3,
160134,38.7496,-9.13075,4,
160134,38.7526,-9.13046,5,
160134,38.755087,-9.130205,6,
160134,38.757914,-9.129931,7,
160134,38.762168,-9.129477,8,
160134,38.767825,-9.128712,9,
160134,38.769828,-9.126596,10,
160134,38.774126,-9.125878,11,
160134,38.775956,-9.126369,12,
160134,38.777854,-9.126845,13,
160134,38.78099,-9.124841,14,
160134,38.78265,-9.125214,15,
160134,38.781403,-9.120347,16,
160134,38.779131,-9.120172,17,
160134,38.77707,-9.1159,18,
160134,38.776092,-9.113833,19,
160134,38.775372,-9.110767,20,
160134,38.773794,-9.10476,21,
160134,38.77478,-9.101771,22,
160134,38.774377,-9.097532,23,
160134,38.771328,-9.097768,24,
160134,38.767173,-9.099085,25,
160134,38.767759,-9.100032,26,
160165,38.713912,-9.13802,1,
160165,38.710048,-9.135271,2,
160165,38.709761,-9.133769,3,
160165,38.710327,-9.13163,4,
160165,38.711944,-9.13091,5,
160165,38.71229,-9.13249,6,
160166,38.71229,-9.13249,1,
160166,38.71179,-9.132885,2,
160166,38.711314,-9.130714,3,
160166,38.710166,-9.13234,4,
160166,38.710052,-9.134268,5,
160166,38.709944,-9.135962,6,
160166,38.713912,-9.13802,7,
160179,38.725664,-9.149046,1,
160179,38.725307,-9.151907,2,
160179,38.725106,-9.155305,3,
160179,38.724375,-9.160904,4,
160179,38.723244,-9.166678,5,
160179,38.727745,-9.212401,6,
160179,38.713882,-9.225103,7,
160179,38.714244,-9.226306,8,
160179,38.715005,-9.229437,9,
160179,38.714926,-9.231207,10,
160179,38.716023,-9.235666,11,
160180,38.715833,-9.235655,1,
160180,38.714856,-9.231514,2,
160180,38.714636,-9.229225,3,
160180,38.714145,-9.22722,4,
160180,38.713332,-9.225254,5,
160180,38.711082,-9.22619,6,
160180,38.723303,-9.165632,7,
160180,38.724091,-9.160724,8,
160180,38.724903,-9.154848,9,
160180,38.724659,-9.150856,10,
160180,38.725664,-9.149046,11,
160185,38.729876,-9.143497,1,
160185,38.727757,-9.145792,2,
160185,38.725565,-9.148617,3,
160185,38.725307,-9.151907,4,
160185,38.725106,-9.155305,5,
160185,38.724375,-9.160904,6,
160185,38.723244,-9.166678,7,
160185,38.673814,-9.174005,8,
160185,38.667593,-9.163809,9,
161050,38.725429,-9.151414,1,
161050,38.725307,-9.151907,2,
161050,38.725911,-9.157439,3,
161050,38.72792,-9.159334,4,
161050,38.727491,-9.162923,5,
161050,38.726517,-9.165035,6,
161050,38.728964,-9.166095,7,
161050,38.729435,-9.167073,8,
161050,38.727982,-9.170396,9,
161050,38.731375,-9.168504,10,
161050,38.733334,-9.168901,11,
161050,38.734887,-9.170344,12,
161050,38.73251,-9.172404,13,
161050,38.730742,-9.173324,14,
161129,38.725429,-9.151414,1,
161129,38.725307,-9.151907,2,
161129,38.725911,-9.157439,3,
161129,38.72792,-9.159334,4,
161129,38.727491,-9.162923,5,
161129,38.726517,-9.165035,6,
161129,38.728964,-9.166095,7,
161129,38.729435,-9.167073,8,
161129,38.727982,-9.170396,9,
161129,38.731375,-9.168504,10,
161129,38.733334,-9.168901,11,
161129,38.734887,-9.170344,12,
161129,38.732509,-9.171798,13,
161376,38.728351,-9.142957,1,
161376,38.727535,-9.140802,2,
161376,38.727432,-9.138457,3,
161376,38.728017,-9.13678,4,
161376,38.730821,-9.136858,5,
161376,38.731224,-9.135711,6,
161376,38.732666,-9.134208,7,
161376,38.733227,-9.132798,8,
161376,38.732653,-9.130557,9,
161376,38.730546,-9.127489,10,
161376,38.728365,-9.124673,11,
161376,38.725037,-9.122398,12,
161376,38.722732,-9.121495,13,
161376,38.721291,-9.119838,14,
161376,38.720385,-9.118108,15,
161376,38.71678,-9.119137,16,
161376,38.713735,-9.122519,17,
161378,38.713735,-9.122519,1,
161378,38.713531,-9.123471,2,
161378,38.716375,-9.120627,3,
161378,38.718064,-9.118806,4,
161378,38.720461,-9.117811,5,
161378,38.721811,-9.119966,6,
161378,38.723521,-9.121707,7,
161378,38.725767,-9.122426,8,
161378,38.728363,-9.124347,9,
161378,38.730551,-9.127102,10,
161378,38.732109,-9.128295,11,
161378,38.732735,-9.130411,12,
161378,38.733256,-9.132478,13,
161378,38.73246,-9.134401,14,
161378,38.731387,-9.136152,15,
161378,38.730844,-9.137709,16,
161378,38.727798,-9.137629,17,
161378,38.727609,-9.139778,18,
161378,38.727769,-9.142964,19,
161378,38.728351,-9.142957,20,
161418,38.756676,-9.11324,1,
161418,38.753727,-9.114232,2,
161418,38.75222,-9.114031,3,
161418,38.747965,-9.11292,4,
161418,38.74634,-9.112979,5,
161418,38.744135,-9.113686,6,
161418,38.743073,-9.111799,7,
161418,38.74432,-9.110745,8,
161418,38.748252,-9.108782,9,
161418,38.749791,-9.103277,10,
161418,38.748977,-9.132888,11,
161418,38.749131,-9.136327,12,
161418,38.749242,-9.138289,13,
161418,38.748711,-9.146651,14,
161418,38.747207,-9.14842,15,
161418,38.745823,-9.148119,16,
161433,38.726201,-9.140891,1,
161433,38.727769,-9.142964,2,
161433,38.726621,-9.145091,3,
161433,38.725156,-9.146197,4,
161433,38.722917,-9.149263,5,
161433,38.721689,-9.151571,6,
161433,38.720248,-9.15489,7,
161433,38.721471,-9.156386,8,
161433,38.723216,-9.160121,9,
161433,38.721059,-9.160979,10,
161433,38.720971,-9.163546,11,
161433,38.720234,-9.165447,12,
161433,38.718395,-9.166245,13,
161433,38.718335,-9.169367,14,
161433,38.716991,-9.169629,15,
161433,38.714256,-9.169982,16,
161566,38.740594,-9.137556,1,
161566,38.742369,-9.137569,2,
161566,38.742141,-9.134454,3,
161566,38.743412,-9.132416,4,
161566,38.745694,-9.131128,5,
161566,38.7496,-9.13075,6,
161566,38.7526,-9.13046,7,
161566,38.755087,-9.130205,8,
161566,38.757914,-9.129931,9,
161566,38.762168,-9.129477,10,
161566,38.767825,-9.128712,11,
161566,38.769828,-9.126596,12,
161566,38.770198,-9.123142,13,
161566,38.770812,-9.121557,14,
161566,38.7727,-9.11838,15,
161566,38.774067,-9.116782,16,
161566,38.776734,-9.117893,17,
161566,38.77707,-9.1159,18,
161566,38.776092,-9.113833,19,
161566,38.775372,-9.110767,20,
161566,38.776889,-9.109985,21,
161566,38.779421,-9.110911,22,
161566,38.781083,-9.11036,23,
161566,38.78244,-9.108381,24,
161569,38.720609,-9.137991,1,
161569,38.722417,-9.139842,2,
161569,38.722951,-9.141864,3,
161569,38.725027,-9.144017,4,
161569,38.726885,-9.145686,5,
161569,38.725565,-9.148617,6,
161569,38.725307,-9.151907,7,
161569,38.725106,-9.155305,8,
161569,38.724375,-9.160904,9,
161569,38.723244,-9.166678,10,
161569,38.725342,-9.194078,11,
161569,38.721733,-9.197113,12,
161569,38.71774,-9.199562,13,
161569,38.713587,-9.200493,14,
161569,38.713717,-9.198483,15,
161569,38.713933,-9.196977,16,
161569,38.713411,-9.202661,17,
161569,38.714581,-9.204523,18,
161569,38.715155,-9.208012,19,
161569,38.711913,-9.211714,20,
161569,38.715797,-9.214703,21,
161569,38.716945,-9.212807,22,
161569,38.71157,-9.214863,23,
161569,38.709701,-9.215458,24,
161569,38.706058,-9.216385,25,
161569,38.701402,-9.216784,26,
161569,38.699117,-9.217588,27,
161569,38.696604,-9.220495,28,
161569,38.69836,-9.225053,29,
161569,38.69877,-9.227479,30,
161570,38.720609,-9.137991,1,
161570,38.722417,-9.139842,2,
161570,38.722951,-9.141864,3,
161570,38.725027,-9.144017,4,
161570,38.726885,-9.145686,5,
161570,38.725565,-9.148617,6,
161570,38.725307,-9.151907,7,
161570,38.725106,-9.155305,8,
161570,38.724375,-9.160904,9,
161570,38.723244,-9.166678,10,
161570,38.725342,-9.194078,11,
161570,38.721733,-9.197113,12,
161570,38.71774,-9.199562,13,
161570,38.713411,-9.202661,14,
161570,38.714581,-9.204523,15,
161570,38.715155,-9.208012,16,
161570,38.711913,-9.211714,17,
161570,38.715797,-9.214703,18,
161570,38.716945,-9.212807,19,
161570,38.71157,-9.214863,20,
161570,38.709701,-9.215458,21,
161570,38.706058,-9.216385,22,
161570,38.701402,-9.216784,23,
161570,38.699117,-9.217588,24,
161570,38.696604,-9.220495,25,
161570,38.69836,-9.225053,26,
161570,38.69877,-9.227479,27,
161573,38.76799,-9.100009,1,
161573,38.768475,-9.098836,2,
161573,38.771557,-9.097346,3,
161573,38.7745,-9.097095,4,
161573,38.775044,-9.10224,5,
161573,38.77424,-9.106243,6,
161573,38.776265,-9.111018,7,
161573,38.777535,-9.113185,8,
161573,38.779231,-9.116263,9,
161573,38.781644,-9.119414,10,
161573,38.783563,-9.124536,11,
161573,38.785864,-9.123835,12,
161573,38.788411,-9.123737,13,
161573,38.790108,-9.123886,14,
161573,38.791228,-9.120914,15,
