stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1_7601,,AEROPORTO,,38.767825,-9.128712,,,,
1_7602,,AEROPORTO,,38.768962,-9.127978,,,,
1_12901,,AJUDA,,38.709134,-9.199986,,,,
1_12902,,AJUDA,,38.709408,-9.199933,,,,
1_12919,,AJUDA - RUA DAS AÇUCENAS,,38.708802,-9.200021,,,,
1_8308,,AL. BEATO,,38.732752,-9.105924,,,,
1_403,,ALAMEDA D. A. HENRIQUES,,38.736552,-9.133523,,,,
1_402,,ALAMEDA D. A. HENRIQUES,,38.736944,-9.133994,,,,
1_408,,ALAMEDA D. A. HENRIQUES,,38.73602,-9.134077,,,,
1_409,,ALAMEDA D. A. HENRIQUES,,38.736101,-9.13387,,,,
1_410,,ALAMEDA D. A. HENRIQUES,,38.737184,-9.133993,,,,
1_413,,ALAMEDA D. A. HENRIQUES,,38.736947,-9.13372,,,,
1_414,,ALAMEDA D. A. HENRIQUES,,38.737296,-9.133673,,,,
1_401,,ALAMEDA D. A. HENRIQUES,,38.736504,-9.131137,,,,
1_11111,,ALAMEDA D. AFONSO HENIRIQUES,,38.736753,-9.136329,,,,
1_8307,,ALAMEDA DO BEATO,,38.733098,-9.10554,,,,
1_14305,,ALAMEDA FERNÃO LOPES - ESTAÇÃO,,38.714636,-9.229225,,,,
1_14306,,ALAMEDA FERNÃO LOPES - ESTAÇÃO,,38.715005,-9.229437,,,,
1_12927,,ALAMEDA UNIVERSIDADE TÉCNICA,,38.713587,-9.200493,,,,
1_9401,,ALCÂNTARA,,38.706573,-9.173485,,,,
1_9402,,ALCÂNTARA,,38.706636,-9.173295,,,,
1_9417,,ALCÂNTARA,,38.706277,-9.173385,,,,
1_9418,,ALCÂNTARA,,38.705883,-9.17271,,,,
1_9414,,ALCÂNTARA,,38.706882,-9.173145,,,,
1_4001,,Alcântara - Av. 24 Julho,,38.704145,-9.173823,,,,
1_4004,,Alcântara - Av. 24 Julho,,38.704304,-9.173951,,,,
1_9425,,ALCÂNTARA - AV. DE CEUTA,,38.7081,-9.173737,,,,
1_9415,,ALCÂNTARA - AV. DE CEUTA,,38.707255,-9.173535,,,,
1_12117,,ALCÂNTARA - CÇ. DA TAPADA,,38.707245,-9.178934,,,,
1_12118,,ALCÂNTARA - CÇ. DA TAPADA,,38.706582,-9.178837,,,,
1_4005,,ALCÂNTARA MAR,,38.703507,-9.174716,,,,
1_4002,,ALCÂNTARA MAR,,38.702944,-9.173419,,,,
1_4003,,ALCÂNTARA MAR,,38.702867,-9.173238,,,,
1_4009,,ALCÂNTARA MAR,,38.705178,-9.17432,,,,
1_8201,,ALFÂNDEGA (TERMINAL CRUZEIROS),,38.710502,-9.127432,,,,
1_8202,,ALFÂNDEGA (TERMINAL CRUZEIROS),,38.709577,-9.129029,,,,
1_8841,,ALFRAGIDE,,38.738112,-9.212832,,,,
1_88102,,ALFRAGIDE - DGA,,38.737675,-9.208033,,,,
1_88104,,ALFRAGIDE - DGA,,38.737705,-9.208344,,,,
1_18109,,ALFRAGIDE - FAP,,38.738514,-9.213948,,,,
1_18112,,ALFRAGIDE - FAP,,38.738705,-9.214247,,,,
1_18110,,ALFRAGIDE - NATO,,38.736523,-9.216383,,,,
1_18107,,ALFRAGIDE - NATO,,38.736649,-9.215855,,,,
1_18134,,ALFRAGIDE - NATO,,38.737204,-9.216103,,,,
1_18128,,ALFRAGIDE NORTE,,38.73946,-9.22151,,,,
1_18116,,ALFRAGIDE SUL,,38.732891,-9.216962,,,,
1_18101,,ALFRAGIDE SUL,,38.73332,-9.217133,,,,
1_4201,,ALGÉS,,38.698568,-9.227241,,,,
1_4206,,ALGÉS,,38.69877,-9.227479,,,,
1_4210,,ALGÉS,,38.698495,-9.227593,,,,
1_4211,,ALGÉS,,38.6989397779291,-9.22700938098196,,,,
1_4207,,ALGÉS,,38.699208,-9.226949,,,,
1_4220,,ALGÉS,,38.6995,-9.227799,,,,
1_4218,,ALGÉS - PÇ. D. MANUEL I,,38.699497,-9.228493,,,,
1_4219,,ALGÉS - PÇ. D. MANUEL I,,38.699403,-9.228571,,,,
1_4223,,ALGÉS (JARDIM),,38.699417,-9.232097,,,,
1_4215,,Algés (Jardim),,38.699257,-9.231461,,,,
1_4212,,ALGÉS (JARDIM),,38.699548,-9.2321,,,,
1_4213,,Algés (Mercado),,38.701126,-9.22801,,,,
1_4202,,Algés (Mercado),,38.701501,-9.227351,,,,
1_11503,,ALTA DE LISBOA - QTA CONCHAS,,38.769864,-9.148551,,,,
1_11504,,ALTA DE LISBOA - QTA CONCHAS,,38.768801,-9.149068,,,,
1_4114,,ALTINHO (MAAT),,38.697506,-9.196012,,,,
1_4115,,ALTINHO (MAAT),,38.697367,-9.194168,,,,
1_3021,,ALTO DAMAIA,,38.743514,-9.217448,,,,
1_12001,,ALTO DE SANTO AMARO,,38.702359,-9.187987,,,,
1_12007,,ALTO DE SANTO AMARO,,38.704933,-9.187422,,,,
1_7221,,ALTO DO CHAPELEIRO,,38.787673,-9.163587,,,,
1_8844,,ALTO DO ZAMBUJAL,,38.736337,-9.212601,,,,
1_8845,,ALTO DO ZAMBUJAL,,38.736464,-9.212763,,,,
1_21301,,ALTO DOS MOíNHOS,,38.721733,-9.197113,,,,
1_21302,,ALTO DOS MOíNHOS,,38.72208,-9.196783,,,,
1_10710,,ALTO DOS MOÍNHOS METRO,,38.749255,-9.180101,,,,
1_50029,,ALTO FAIA,,38.767651,-9.168581,,,,
1_50030,,ALTO FAIA,,38.768149,-9.168071,,,,
1_50023,,ALTO FAIA SUL,,38.765221,-9.171667,,,,
1_50024,,ALTO FAIA SUL,,38.765242,-9.171807,,,,
1_5838,,Alto Lumiar (Parque Europa),,38.766451,-9.152747,,,,
1_10709,,ALTO MOINHOS (METRO),,38.749355,-9.180237,,,,
1_9001,,ALTO PINA,,38.737559,-9.127728,,,,
1_9002,,ALTO PINA,,38.737505,-9.127452,,,,
1_12010,,ALTO STO. AMARO,,38.702559,-9.187932,,,,
1_12006,,ALTO STO. AMARO,,38.705114,-9.187655,,,,
1_12009,,ALTO STO. AMARO,,38.702558,-9.187932,,,,
1_5926,,AMEIXOEIRA,,38.781877,-9.158665,,,,
1_5931,,AMEIXOEIRA,,38.782077,-9.158748,,,,
1_5911,,AMEIXOEIRA - ESTR. DESVIO,,38.778831,-9.163392,,,,
1_5927,,AMEIXOEIRA (METRO),,38.779498,-9.159451,,,,
1_5922,,AMEIXOEIRA (METRO),,38.779626,-9.159792,,,,
1_89909,,AMENDOEIRAS (METRO),,38.754621,-9.113711,,,,
1_8517,,AMOREIRAS,,38.723216,-9.160121,,,,
1_8501,,AMOREIRAS,,38.724375,-9.160904,,,,
1_8502,,AMOREIRAS,,38.724091,-9.160724,,,,
1_8510,,AMOREIRAS,,38.723993,-9.159783,,,,
1_8511,,AMOREIRAS,,38.723867,-9.16058,,,,
1_8512,,AMOREIRAS,,38.723824,-9.160918,,,,
1_8520,,AMOREIRAS (C. COMERCIAL),,38.722721,-9.161118,,,,
1_8518,,AMOREIRAS (C. COMERCIAL),,38.723715,-9.160708,,,,
1_14907,,AQUÁRIO VASCO GAMA,,38.699184,-9.23749,,,,
1_14908,,AQUÁRIO VASCO GAMA,,38.699268,-9.237516,,,,
1_8609,,ARCO CARVALHÃO,,38.724206,-9.165266,,,,
1_8610,,ARCO CARVALHÃO,,38.724023,-9.165377,,,,
1_11101,,ARCO CEGO,,38.73511,-9.142426,,,,
1_11102,,ARCO CEGO,,38.73489,-9.141472,,,,
1_11105,,ARCO CEGO,,38.734584,-9.141578,,,,
1_11118,,ARCO CEGO - AV.MIGUEL BOMBARD,,38.737695,-9.142834,,,,
1_302,,AREEIRO,,38.742141,-9.134454,,,,
1_319,,AREEIRO,,38.742369,-9.134479,,,,
1_309,,AREEIRO,,38.742371,-9.134508,,,,
1_312,,AREEIRO - AV. AFONSO COSTA,,38.741885,-9.131944,,,,
1_318,,AREEIRO - AV. AFONSO COSTA,,38.741877,-9.131817,,,,
1_301,,AREEIRO - AV. AFONSO COSTA,,38.74229,-9.131905,,,,
1_317,,AREEIRO - AV. ALM. GAGO COUTIN,,38.743412,-9.132416,,,,
1_311,,AREEIRO - AV. ALM. GAGO COUTIN,,38.743292,-9.132498,,,,
1_308,,AREEIRO - AV. ALM. GAGO COUTIN,,38.743292,-9.132833,,,,
1_9009,,AREEIRO - CASAL VISTOSO,,38.741348,-9.128178,,,,
1_6701,,ASSEMBLEIA DA REPÚBLICA,,38.711006,-9.153505,,,,
1_6702,,ASSEMBLEIA DA REPÚBLICA,,38.71118,-9.153709,,,,
1_11703,,AV. AFONSO III,,38.727703,-9.119648,,,,
1_11704,,AV. AFONSO III,,38.727485,-9.119609,,,,
1_7305,,AV. ALM. GAGO COUTINHO,,38.7496,-9.13075,,,,
1_7401,,AV. ALM. GAGO COUTINHO,,38.755087,-9.130205,,,,
1_7413,,AV. ALM. GAGO COUTINHO,,38.753794,-9.130617,,,,
1_310,,AV. ALM. GAGO COUTINHO,,38.745198,-9.131547,,,,
1_313,,AV. ALM. GAGO COUTINHO,,38.745694,-9.131128,,,,
1_7308,,AV. ALM. GAGO COUTINHO / AV. E,,38.747994,-9.131192,,,,
1_18132,,AV. ALMEIDA GARRET,,38.738366,-9.217766,,,,
1_18133,,AV. ALMEIDA GARRET,,38.738262,-9.217939,,,,
1_604,,AV. ALMIRANTE REIS / R. ANGOLA,,38.726012,-9.134327,,,,
1_607,,AV. ALMIRANTE REIS / R. ANGOLA,,38.725575,-9.134932,,,,
1_608,,AV. ALMIRANTE REIS / R. ANGOLA,,38.725579,-9.135092,,,,
1_605,,AV. ALMIRANTE REIS / R. FEBO M,,38.726423,-9.135573,,,,
1_609,,AV. ALMIRANTE REIS / R. MARQUE,,38.729077,-9.134567,,,,
1_610,,AV. ALMIRANTE REIS / R. MARQUE,,38.728781,-9.134784,,,,
1_6801,,AV. ÁLVARES CABRAL,,38.717485,-9.157329,,,,
1_6802,,AV. ÁLVARES CABRAL,,38.718338,-9.156946,,,,
1_6803,,AV. ÁLVARES CABRAL,,38.717691,-9.157169,,,,
1_3311,,AV. ÁLVARO PAIS,,38.745335,-9.152417,,,,
1_1301,,AV. ANTÓNIO AUGUSTO AGUIAR,,38.729131,-9.149321,,,,
1_1302,,AV. ANTÓNIO AUGUSTO AGUIAR,,38.728985,-9.14957,,,,
1_11109,,AV. ANTÓNIO JOSÉ DE ALMEIDA,,38.738221,-9.139942,,,,
1_14729,,AV. AVELINO TEIXEIRA MOTA (CER,,38.752088,-9.121311,,,,
1_14730,,AV. AVELINO TEIXEIRA MOTA (CER,,38.752117,-9.120855,,,,
1_7728,,AV. BERLIM (PÇ. BADEN POWELL),,38.76811,-9.109065,,,,
1_7823,,AV. BOA ESPERANÇA,,38.7745,-9.097095,,,,
1_18401,,AV. BOMBEIROS DE ALGÉS,,38.7077,-9.225723,,,,
1_18402,,AV. BOMBEIROS DE ALGÉS,,38.707337,-9.225596,,,,
1_18403,,AV. BOMBEIROS DE ALGÉS-CINEMA,,38.705725,-9.226824,,,,
1_18404,,AV. BOMBEIROS DE ALGÉS-CINEMA,,38.705295,-9.226756,,,,
1_7605,,AV. C DO AEROPORTO,,38.774126,-9.125878,,,,
1_7606,,AV. C DO AEROPORTO,,38.774514,-9.126151,,,,
1_1511,,Av. Calouste Gulbenkian (Viadu,,38.7361832034369,-9.160290587981,,,,
1_1514,,Av. Calouste Gulbenkian (Viadu,,38.7361618728645,-9.16067789643697,,,,
1_11510,,AV. CARLOS PAREDES,,38.774409,-9.151747,,,,
1_11507,,AV. CARLOS PAREDES,,38.774244,-9.152181,,,,
1_3613,,AV. CARLOS PINHÃO,,38.741537,-9.118622,,,,
1_3614,,AV. CARLOS PINHÃO,,38.742354,-9.117858,,,,
1_9428,,AV. CEUTA,,38.707227,-9.174161,,,,
1_9429,,AV. CEUTA,,38.707251,-9.174161,,,,
1_3615,,Av. Cidade Bratislava,,38.750265,-9.117055,,,,
1_7701,,AV. CIDADE LOURENÇO MARQUES,,38.767407,-9.119318,,,,
1_7702,,AV. CIDADE LOURENÇO MARQUES,,38.766903,-9.119888,,,,
1_7731,,AV. CIDADE LOURENÇO MARQUES,,38.768162,-9.11979,,,,
1_8401,,AV. CIDADE LOURENÇO MARQUES,,38.762674,-9.119387,,,,
1_8402,,AV. CIDADE LOURENÇO MARQUES,,38.762622,-9.119658,,,,
1_12825,,AV. CIDADE PRAGA,,38.764653,-9.189982,,,,
1_12826,,AV. CIDADE PRAGA,,38.763898,-9.190058,,,,
1_12809,,AV. CIDADE PRAGA (LISPOLIS),,38.765663,-9.18229,,,,
1_12815,,AV. CIDADE PRAGA (LISPOLIS),,38.766384,-9.183182,,,,
1_12807,,AV. CIDADE PRAGA (LISPOLIS),,38.765474,-9.182646,,,,
1_12818,,AV. CIDADE PRAGA (LISPOLIS),,38.766468,-9.18419,,,,
1_1620,,Av. Columbano B. Pinheiro (Est,,38.739162,-9.167512,,,,
1_15104,,AV. D. DINIS,,38.788629,-9.174957,,,,
1_15107,,AV. D. DINIS,,38.788812,-9.175815,,,,
1_15105,,AV. D. DINIS (BOMBEIROS ODIVEL,,38.786926,-9.179678,,,,
1_15102,,AV. D. DINIS (BOMBEIROS ODIVEL,,38.786888,-9.176962,,,,
1_15103,,AV. D. DINIS (BOMBEIROS ODIVEL,,38.786683,-9.180881,,,,
1_7824,,AV. DA BOA ESPERANÇA,,38.774377,-9.097532,,,,
1_79105,,AV. DA PEREGRINAÇÃO,,38.78218,-9.095391,,,,
1_79106,,AV. DA PEREGRINAÇÃO,,38.782218,-9.095744,,,,
1_18124,,AV. DAS LARANJEIRAS,,38.737458,-9.223688,,,,
1_18125,,AV. DAS LARANJEIRAS,,38.73743,-9.223807,,,,
1_18120,,AV. DAS LARANJEIRAS,,38.737322,-9.221195,,,,
1_18121,,AV. DAS LARANJEIRAS,,38.737179,-9.221338,,,,
1_11516,,AV. DAVID MOURÃO FERREIRA,,38.777362,-9.152325,,,,
1_11517,,AV. DAVID MOURÃO FERREIRA,,38.777468,-9.15202,,,,
1_7709,,AV. DE BERLIM,,38.768241,-9.111183,,,,
1_7710,,AV. DE BERLIM,,38.768384,-9.111612,,,,
1_7711,,AV. DE BERLIM,,38.76769,-9.105841,,,,
1_7712,,AV. DE BERLIM,,38.767814,-9.10607,,,,
1_7715,,AV. DE BERLIM,,38.767445,-9.110039,,,,
1_7716,,AV. DE BERLIM,,38.767153,-9.110219,,,,
1_7719,,AV. DE BERLIM,,38.766947,-9.110173,,,,
1_7603,,AV. DE BERLIM - AEROPORTO,,38.769828,-9.126596,,,,
1_7604,,AV. DE BERLIM - AEROPORTO,,38.770196,-9.127342,,,,
1_7703,,AV. DE BERLIM - VIVEIROS,,38.768918,-9.117846,,,,
1_7704,,AV. DE BERLIM - VIVEIROS,,38.769084,-9.11732,,,,
1_33101,,AV. DE BERNA - REGO,,38.739537,-9.151723,,,,
1_33102,,AV. DE BERNA - REGO,,38.739811,-9.151656,,,,
1_11901,,AV. DE CEUTA - ARCO CARVALHÃO,,38.719371,-9.17479,,,,
1_11902,,AV. DE CEUTA - ARCO CARVALHÃO,,38.718668,-9.175047,,,,
1_8601,,AV. DE CEUTA - VIVEIROS,,38.723011,-9.17479,,,,
1_8602,,AV. DE CEUTA - VIVEIROS,,38.723469,-9.174898,,,,
1_9713,,AV. DO RESTELO,,38.699615,-9.213664,,,,
1_9714,,AV. DO RESTELO,,38.699831,-9.214327,,,,
1_11209,,AV. DO RIO DE JANEIRO,,38.749242,-9.138289,,,,
1_7821,,AV. DOM JOÃO II,,38.771557,-9.097346,,,,
1_7822,,AV. DOM JOÃO II,,38.771328,-9.097768,,,,
1_18104,,AV. DOM LUÍS I,,38.731437,-9.218261,,,,
1_9711,,AV. DOM VASCO DA GAMA,,38.701402,-9.216784,,,,
1_9712,,AV. DOM VASCO DA GAMA,,38.700965,-9.216338,,,,
1_18122,,AV. DOS MOÍNHOS,,38.736945,-9.222578,,,,
1_18123,,AV. DOS MOÍNHOS,,38.736805,-9.222677,,,,
1_12319,,AV. DOUTOR ALFREDO BENSAÚDE,,38.779231,-9.116263,,,,
1_12320,,AV. DOUTOR ALFREDO BENSAÚDE,,38.779063,-9.116294,,,,
1_14721,,AV. DOUTOR ARLINDO VICENTE,,38.7529,-9.126274,,,,
1_14722,,AV. DOUTOR ARLINDO VICENTE,,38.752793,-9.126446,,,,
1_12911,,AV. DOUTOR MÁRIO MOUTINHO,,38.711398,-9.208537,,,,
1_12912,,AV. DOUTOR MÁRIO MOUTINHO,,38.711528,-9.20844,,,,
1_14723,,AV. DR. ARLINDO VICENTE,,38.753626,-9.125939,,,,
1_14724,,AV. DR. ARLINDO VICENTE,,38.753727,-9.126067,,,,
1_89905,,AV. DR. AUGUSTO CASTRO,,38.753727,-9.114232,,,,
1_3723,,AV. DR. AUGUSTO CASTRO / R. SA,,38.748776,-9.113487,,,,
1_6017,,AV. DR. JOSÉ SALVADO SAMPAIO,,38.780517,-9.153027,,,,
1_6021,,AV. DR. JOSÉ SALVADO SAMPAIO,,38.780287,-9.153221,,,,
1_12212,,AV. DR.ALFREDO BENSAÚDE,,38.779021,-9.117362,,,,
1_1806,,AV. DUQUE D'ÁVILA,,38.735008,-9.146288,,,,
1_6601,,AV. DUQUE DE LOULÉ,,38.727463,-9.145783,,,,
1_6602,,AV. DUQUE LOULÉ,,38.727757,-9.145792,,,,
1_7301,,AV. ESTADOS UNIDOS AMÉRICA,,38.748977,-9.132888,,,,
1_7302,,AV. ESTADOS UNIDOS AMÉRICA,,38.748643,-9.132049,,,,
1_11203,,AV. EUA / R. MOURA GIRÃO,,38.749131,-9.136327,,,,
1_2405,,AV. FERNANDO PESSOA,,38.758548,-9.097302,,,,
1_2408,,AV. FERNANDO PESSOA,,38.758483,-9.097139,,,,
1_1701,,Av. Fontes P. Melo,,38.728781,-9.147763,,,,
1_1702,,Av. Fontes P. Melo,,38.72861,-9.148146,,,,
1_2007,,Av. Forças Armadas,,38.748173,-9.150075,,,,
1_2009,,AV. FORÇAS ARMADAS / R. SANCHE,,38.747738,-9.152577,,,,
1_2010,,AV. FORÇAS ARMADAS / R. SANCHE,,38.747651,-9.151775,,,,
1_11210,,AV. FREI MIGUEL CONTREIRAS,,38.746143,-9.136481,,,,
1_11211,,AV. FREI MIGUEL CONTREIRAS,,38.745803,-9.13712,,,,
1_9107,,AV. GENERAL ROÇADAS,,38.724902,-9.128462,,,,
1_9108,,AV. GENERAL ROÇADAS,,38.724885,-9.128621,,,,
1_407,,AV. GUERRA JUNQUEIRO,,38.737513,-9.134764,,,,
1_6125,,AV. GULBENKIAN,,38.732249,-9.164514,,,,
1_6126,,AV. GULBENKIAN,,38.732257,-9.164879,,,,
1_12926,,AV. HELEN KELLER,,38.711675,-9.207681,,,,
1_11518,,AV. HELENA VIEIRA DA SILVA,,38.76688,-9.151035,,,,
1_11519,,AV. HELENA VIEIRA DA SILVA,,38.766867,-9.151683,,,,
1_13105,,AV. ILHA DA MADEIRA,,38.705217,-9.20769,,,,
1_13106,,AV. ILHA DA MADEIRA,,38.705577,-9.207653,,,,
1_2311,,AV. INF. D. HENRIQUE (CENTIEIR,,38.7595,-9.10332,,,,
1_2320,,AV. INF. D. HENRIQUE (CENTIEIR,,38.759929,-9.103673,,,,
