trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
25964425,08:00:00,08:00:00,71_3804,0,,,,
25964425,08:03:39,08:03:39,71_5516,1,,,,
25964425,08:05:34,08:05:34,71_915,2,,,,
25964425,08:06:53,08:06:53,71_1001,3,,,,
25964425,08:08:48,08:08:48,71_1103,4,,,,
25964425,08:12:14,08:12:14,71_1227,5,,,,
25964425,08:13:38,08:13:38,71_1703,6,,,,
25964425,08:15:07,08:15:07,71_1807,7,,,,
25964425,08:18:42,08:18:42,71_1913,8,,,,
25964425,08:19:58,08:19:58,71_2022,9,,,,
25964425,08:35:02,08:35:02,71_7613,10,,,,
25964426,08:00:00,08:00:00,71_7613,0,,,,
25964426,08:13:33,08:13:33,71_2019,1,,,,
25964426,08:14:30,08:14:30,71_1916,2,,,,
25964426,08:17:34,08:17:34,71_1812,3,,,,
25964426,08:18:49,08:18:49,71_1714,4,,,,
25964426,08:19:58,08:19:58,71_1228,5,,,,
25964426,08:23:07,08:23:07,71_1102,6,,,,
25964426,08:25:02,08:25:02,71_1008,7,,,,
25964426,08:26:08,08:26:08,71_918,8,,,,
25964426,08:28:06,08:28:06,71_5508,9,,,,
25964426,08:30:00,08:30:00,71_3804,10,,,,
25964427,08:00:00,08:00:00,71_7614,0,,,,
25964427,08:25:00,08:25:00,71_1617,1,,,,
25964428,08:30:00,08:30:00,71_1617,0,,,,
25964428,08:55:00,08:55:00,71_7614,1,,,,
