service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
27547924,1,1,1,1,1,1,1,20201213,20211211
27547931,1,1,1,1,1,1,1,20201213,20211211
27547935,1,1,1,1,1,1,1,20201213,20211211
27547930,0,0,0,0,0,1,1,20201213,20211211
27547932,0,0,0,0,0,1,1,20201213,20211211
27547933,0,0,0,0,0,1,1,20201213,20211211
27547926,0,0,0,0,0,1,1,20201213,20211211
27547927,0,0,0,0,0,1,1,20201213,20211211
27547925,1,1,1,1,1,0,0,20201213,20211211
27547934,1,1,1,1,1,0,0,20201213,20211211
27547936,1,1,1,1,1,1,1,20201225,20211211
27547938,1,1,1,1,1,1,1,20201226,20211211
27547928,1,1,1,1,1,1,1,20201226,20211211
27547929,1,1,1,1,1,1,1,20201226,20211211
27547939,1,1,1,1,1,1,1,20210102,20211211
27547937,1,1,1,1,1,1,1,20210102,20211211
27349145,1,1,1,1,1,0,0,20201213,20211211
27349146,1,1,1,1,1,0,0,20201213,20211211
27349147,1,1,1,1,1,0,0,20201225,20211211
27554032,1,1,1,1,1,1,1,20201213,20211211
27554036,1,1,1,1,1,1,1,20201213,20211211
27554040,1,1,1,1,1,1,1,20201213,20211211
27554043,1,1,1,1,1,1,1,20201213,20211211
27554041,0,0,0,0,0,1,1,20201213,20211211
27554042,0,0,0,0,0,1,1,20201213,20211211
27554038,0,0,0,0,0,1,1,20201213,20211211
27554039,0,0,0,0,0,1,1,20201213,20211211
27554034,0,0,0,0,0,1,1,20201213,20211211
27554035,1,1,1,1,1,0,0,20201213,20211211
27554033,1,1,1,1,1,0,0,20201213,20211211
27554045,1,1,1,1,1,1,1,20201225,20211211
27554047,1,1,1,1,1,1,1,20201226,20211211
27554049,1,1,1,1,1,1,1,20201226,20211211
27554037,1,1,1,1,1,1,1,20201226,20211211
27554048,1,1,1,1,1,1,1,20210102,20211211
27554046,1,1,1,1,1,1,1,20210102,20211211
27554044,1,1,1,1,1,1,1,20210315,20211211
27349180,1,1,1,1,1,0,0,20201213,20211211
27349181,1,1,1,1,1,0,0,20201213,20211211
27349182,1,1,1,1,1,0,0,20201225,20211211
27346735,1,1,1,1,1,0,0,20201213,20211211
27346736,1,1,1,1,1,0,0,20201213,20211211
27346737,1,1,1,1,1,0,0,20201213,20211211
27346738,1,1,1,1,1,0,0,20201213,20211211
27547821,1,1,1,1,1,1,1,20201213,20211211
27547820,0,0,0,0,0,1,1,20201213,20211211
27547823,1,1,1,1,1,1,1,20210102,20211211
27349183,1,1,1,1,1,0,0,20201213,20211211
27349184,1,1,1,1,1,0,0,20201213,20211211
27349185,1,1,1,1,1,0,0,20201225,20211211
27349186,1,1,1,1,1,0,0,20201213,20211211
27349187,1,1,1,1,1,0,0,20201213,20211211
27349188,1,1,1,1,1,0,0,20201225,20211211
27408399,1,1,1,1,1,1,1,20201213,20211211
27408404,1,1,1,1,1,1,1,20201213,20211211
27408410,1,1,1,1,1,1,1,20201213,20211211
27408411,1,1,1,1,1,1,1,20201213,20211211
27408412,1,1,1,1,1,1,1,20201213,20211211
27408414,1,1,1,1,1,1,1,20201213,20211211
27408416,1,1,1,1,1,1,1,20201213,20211211
27408418,1,1,1,1,1,1,1,20201213,20211211
27408420,1,1,1,1,1,1,1,20201213,20211211
27408424,1,1,1,1,1,1,1,20201213,20211211
27408427,1,1,1,1,1,1,1,20201213,20211211
27408430,1,1,1,1,1,1,1,20201213,20211211
27408434,1,1,1,1,1,1,1,20201213,20211211
27408438,1,1,1,1,1,1,1,20201213,20211211
27408442,1,1,1,1,1,1,1,20201213,20211211
27408444,1,1,1,1,1,1,1,20201213,20211211
27408446,1,1,1,1,1,1,1,20201213,20211211
27408448,1,1,1,1,1,1,1,20201213,20211211
27408450,1,1,1,1,1,1,1,20201213,20211211
27408452,1,1,1,1,1,1,1,20201213,20211211
27408454,1,1,1,1,1,1,1,20201213,20211211
27408456,0,0,0,0,0,1,1,20201213,20211211
27408440,0,0,0,0,0,1,1,20201213,20211211
27408436,0,0,0,0,0,1,1,20201213,20211211
27408432,0,0,0,0,0,1,1,20201213,20211211
27408422,0,0,0,0,0,1,1,20201213,20211211
27408408,0,0,0,0,0,1,1,20201213,20211211
27408406,0,0,0,0,0,1,1,20201213,20211211
27408426,0,0,0,0,0,1,1,20201213,20211211
27408407,1,1,1,1,1,0,0,20201213,20211211
27408400,1,1,1,1,1,0,0,20201213,20211211
27408401,1,1,1,1,1,0,0,20201213,20211211
27408402,1,1,1,1,1,0,0,20201213,20211211
27408403,1,1,1,1,1,0,0,20201213,20211211
27408415,1,1,1,1,1,0,0,20201213,20211211
27408413,1,1,1,1,1,0,0,20201213,20211211
27408423,1,1,1,1,1,0,0,20201213,20211211
27408421,1,1,1,1,1,0,0,20201213,20211211
27408419,1,1,1,1,1,0,0,20201213,20211211
27408417,1,1,1,1,1,0,0,20201213,20211211
27408433,1,1,1,1,1,0,0,20201213,20211211
27408431,1,1,1,1,1,0,0,20201213,20211211
27408428,1,1,1,1,1,0,0,20201213,20211211
27408429,1,1,1,1,1,0,0,20201213,20211211
27408425,1,1,1,1,1,0,0,20201213,20211211
27408437,1,1,1,1,1,0,0,20201213,20211211
27408435,1,1,1,1,1,0,0,20201213,20211211
27408441,1,1,1,1,1,0,0,20201213,20211211
27408439,1,1,1,1,1,0,0,20201213,20211211
27408449,1,1,1,1,1,0,0,20201213,20211211
27408447,1,1,1,1,1,0,0,20201213,20211211
27408445,1,1,1,1,1,0,0,20201213,20211211
27408443,1,1,1,1,1,0,0,20201213,20211211
27408457,1,1,1,1,1,0,0,20201213,20211211
27408458,1,1,1,1,1,0,0,20201213,20211211
27408453,1,1,1,1,1,0,0,20201213,20211211
27408451,1,1,1,1,1,0,0,20201213,20211211
27408455,1,1,1,1,1,0,0,20201213,20211211
27408459,1,1,1,1,1,1,1,20201225,20211211
27408409,1,1,1,1,1,1,1,20201226,20211211
27408405,1,1,1,1,1,1,1,20201226,20211211
27346834,1,1,1,1,1,1,1,20201213,20211211
27346839,1,1,1,1,1,1,1,20201213,20211211
27346840,1,1,1,1,1,1,1,20201213,20211211
27346865,1,1,1,1,1,1,1,20201213,20211211
27346851,1,1,1,1,1,1,1,20201213,20211211
27346835,0,0,0,0,0,1,1,20201213,20211211
27346836,0,0,0,0,0,1,1,20201213,20211211
27346837,0,0,0,0,0,1,1,20201213,20211211
27346838,0,0,0,0,0,1,1,20201213,20211211
27346824,0,0,0,0,0,1,1,20201213,20211211
