trip_id,start_time,end_time,headway_secs,exact_times
27547931,10:04:00,16:44:00,1200,1
27547930,07:04:00,09:44:00,1200,1
27547932,17:04:00,19:04:00,1200,1
27547933,19:34:00,20:04:00,1800,1
27547934,20:40:00,21:00:00,1200,1
27547936,22:00:00,23:30:00,1800,1
27547939,01:00:00,01:30:00,1800,1
27349145,07:10:00,10:10:00,720,1
27349146,17:22:00,20:10:00,720,1
27349147,20:22:00,20:34:00,720,1
27554040,10:00:00,16:40:00,1200,1
27554041,17:00:00,19:00:00,1200,1
27554042,19:30:00,20:00:00,1800,1
27554038,07:00:00,08:00:00,1800,1
27554039,08:20:00,09:40:00,1200,1
27554045,22:00:00,23:30:00,1800,1
27349180,06:50:00,09:50:00,720,1
27349181,17:02:00,19:50:00,720,1
27349182,20:02:00,20:14:00,720,1
27346735,06:52:00,09:52:00,720,1
27346736,17:04:00,20:16:00,720,1
27346737,07:00:00,09:48:00,720,1
27346738,17:00:00,20:24:00,720,1
27349183,06:26:00,09:26:00,1800,1
27349184,16:26:00,18:26:00,1800,1
27349185,18:56:00,19:26:00,1800,1
27349186,06:39:00,09:39:00,1800,1
27349187,16:39:00,18:39:00,1800,1
27349188,19:09:00,19:39:00,1800,1
27408410,05:06:00,05:36:00,1800,1
27408459,20:36:00,23:36:00,1800,1
27346865,20:50:00,21:20:00,1800,1
27346851,00:20:00,05:20:00,18000,1
27346852,07:10:00,07:40:00,1800,1
27346853,08:10:00,08:40:00,1800,1
27346854,09:10:00,09:40:00,1800,1
27346855,10:00:00,10:40:00,2400,1
27346856,11:00:00,11:40:00,2400,1
27346857,12:00:00,12:40:00,2400,1
27346858,13:00:00,13:40:00,2400,1
27346859,14:00:00,14:40:00,2400,1
27346860,15:00:00,15:40:00,2400,1
27346861,16:00:00,16:40:00,2400,1
27346862,17:10:00,17:40:00,1800,1
27346863,18:10:00,18:40:00,1800,1
27346864,19:10:00,19:40:00,1800,1
27408497,06:11:00,06:41:00,1800,1
27408498,07:11:00,07:41:00,1800,1
27408499,08:11:00,08:41:00,1800,1
27408500,09:11:00,09:41:00,1800,1
27408501,17:11:00,17:41:00,1800,1
27408502,18:11:00,18:41:00,1800,1
27408503,19:11:00,19:41:00,1800,1
27408508,22:01:00,23:31:00,1800,1
27408509,00:01:00,01:01:00,1800,1
27547880,20:38:00,21:08:00,1800,1
27547881,21:38:00,23:38:00,1800,1
27346995,06:05:00,07:05:00,3600,1
27346996,10:13:00,11:05:00,3120,1
27346997,12:05:00,17:05:00,3600,1
27346998,21:05:00,23:05:00,3600,1
27347013,10:20:00,16:20:00,3600,1
27347014,20:20:00,23:20:00,3600,1
27347021,05:56:00,18:56:00,1800,1
27347022,19:56:00,20:26:00,1800,1
27347023,21:26:00,22:26:00,3600,1
27672564,06:09:00,07:09:00,3600,1
27672565,07:39:00,19:09:00,1800,1
27672566,21:09:00,21:39:00,1800,1
27347049,10:30:00,16:30:00,3600,1
27347047,07:35:00,08:05:00,1800,1
27347048,08:35:00,09:05:00,1800,1
27347050,17:35:00,18:05:00,1800,1
27347051,18:35:00,19:05:00,1800,1
27347052,19:35:00,20:05:00,1800,1
27347076,06:56:00,07:26:00,1800,1
27347077,07:56:00,08:26:00,1800,1
27347078,08:56:00,09:26:00,1800,1
27347079,16:56:00,17:26:00,1800,1
27347080,17:56:00,18:26:00,1800,1
27347081,18:56:00,19:26:00,1800,1
27347082,19:56:00,20:26:00,1800,1
