shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
401,38.70085,-9.41792,1,
401,38.70359,-9.4064,2,
401,38.70326,-9.39855,3,
401,38.70128,-9.38582,4,
401,38.69544,-9.37179,5,
401,38.68979,-9.35632,6,
401,38.68784,-9.33725,7,
401,38.68849,-9.3189,8,
401,38.68695,-9.31189,9,
401,38.69709,-9.29048,10,
401,38.69878,-9.27441,11,
401,38.69982,-9.25208,12,
401,38.69859,-9.22965,13,
401,38.69621,-9.19738,14,
401,38.70253,-9.17387,15,
401,38.70622,-9.15492,16,
401,38.70609,-9.1447,17,
412,38.68849,-9.3189,1,
412,38.68695,-9.31189,2,
412,38.69709,-9.29048,3,
412,38.69878,-9.27441,4,
412,38.69982,-9.25208,5,
412,38.69859,-9.22965,6,
412,38.69621,-9.19738,7,
412,38.70253,-9.17387,8,
412,38.70622,-9.15492,9,
412,38.70609,-9.1447,10,
414,38.70609,-9.1447,1,
414,38.70622,-9.15492,2,
414,38.70253,-9.17387,3,
414,38.69621,-9.19738,4,
414,38.69859,-9.22965,5,
414,38.69982,-9.25208,6,
414,38.69878,-9.27441,7,
414,38.69709,-9.29048,8,
414,38.68695,-9.31189,9,
414,38.68849,-9.3189,10,
414,38.68784,-9.33725,11,
414,38.68979,-9.35632,12,
414,38.69544,-9.37179,13,
414,38.70128,-9.38582,14,
414,38.70326,-9.39855,15,
414,38.70359,-9.4064,16,
414,38.70085,-9.41792,17,
425,38.70609,-9.1447,1,
425,38.70622,-9.15492,2,
425,38.70253,-9.17387,3,
425,38.69621,-9.19738,4,
425,38.69859,-9.22965,5,
425,38.69982,-9.25208,6,
425,38.69878,-9.27441,7,
425,38.69709,-9.29048,8,
425,38.68695,-9.31189,9,
425,38.68849,-9.3189,10,
873,38.70085,-9.41792,1,
873,38.70359,-9.4064,2,
873,38.70326,-9.39855,3,
873,38.70128,-9.38582,4,
873,38.69544,-9.37179,5,
873,38.68979,-9.35632,6,
873,38.68784,-9.33725,7,
873,38.68849,-9.3189,8,
873,38.69859,-9.22965,9,
873,38.70253,-9.17387,10,
873,38.70609,-9.1447,11,
874,38.70609,-9.1447,1,
874,38.70253,-9.17387,2,
874,38.69859,-9.22965,3,
874,38.68849,-9.3189,4,
874,38.68784,-9.33725,5,
874,38.68979,-9.35632,6,
874,38.69544,-9.37179,7,
874,38.70128,-9.38582,8,
874,38.70326,-9.39855,9,
874,38.70359,-9.4064,10,
874,38.70085,-9.41792,11,
2657,38.65313,-9.08008,1,
2657,38.65968,-9.07187,2,
2657,38.66198,-9.0587,3,
2657,38.65928,-9.04354,4,
2657,38.65194,-9.02695,5,
2657,38.64488,-8.99641,6,
2657,38.63833,-8.95701,7,
2657,38.62986,-8.91365,8,
2657,38.60648,-8.88886,9,
2657,38.57109,-8.8727,10,
2657,38.53061,-8.88499,11,
4934,38.79931,-9.38543,1,
4934,38.80221,-9.37681,2,
4934,38.79763,-9.34145,3,
4934,38.79224,-9.32972,4,
4934,38.78464,-9.32225,5,
4934,38.76639,-9.29841,6,
4934,38.75154,-9.28402,7,
4934,38.75496,-9.26538,8,
4934,38.75879,-9.25659,9,
4934,38.75989,-9.23666,10,
4934,38.75065,-9.2224,11,
4934,38.74666,-9.21219,12,
4934,38.74444,-9.19919,13,
4934,38.74039,-9.16702,14,
4934,38.74461,-9.14873,15,
4934,38.74581,-9.13427,16,
4934,38.7467,-9.1029,17,
4934,38.76799,-9.09935,18,
4934,38.77804,-9.09959,19,
4934,38.7958,-9.09959,20,
4934,38.80742,-9.09443,21,
4934,38.84098,-9.08027,22,
4934,38.85952,-9.06361,23,
4934,38.891,-9.03312,24,
4937,38.891,-9.03312,1,
4937,38.85952,-9.06361,2,
4937,38.84098,-9.08027,3,
4937,38.80742,-9.09443,4,
4937,38.7958,-9.09959,5,
4937,38.77804,-9.09959,6,
4937,38.76799,-9.09935,7,
4937,38.7467,-9.1029,8,
4937,38.74581,-9.13427,9,
4937,38.74461,-9.14873,10,
4937,38.74039,-9.16702,11,
4937,38.74444,-9.19919,12,
4937,38.74666,-9.21219,13,
4937,38.75065,-9.2224,14,
4937,38.75989,-9.23666,15,
4937,38.75879,-9.25659,16,
4937,38.75496,-9.26538,17,
4937,38.75154,-9.28402,18,
4937,38.76639,-9.29841,19,
4937,38.78464,-9.32225,20,
4937,38.79224,-9.32972,21,
4937,38.79763,-9.34145,22,
4937,38.80221,-9.37681,23,
4937,38.79931,-9.38543,24,
5514,38.79931,-9.38543,1,
5514,38.80221,-9.37681,2,
5514,38.79763,-9.34145,3,
5514,38.79224,-9.32972,4,
5514,38.78464,-9.32225,5,
5514,38.76639,-9.29841,6,
5514,38.75154,-9.28402,7,
5514,38.75496,-9.26538,8,
5514,38.75879,-9.25659,9,
5514,38.75989,-9.23666,10,
5514,38.75065,-9.2224,11,
5514,38.74666,-9.21219,12,
5514,38.74444,-9.19919,13,
5514,38.74039,-9.16702,14,
5514,38.74461,-9.14873,15,
5514,38.74581,-9.13427,16,
5514,38.7467,-9.1029,17,
5514,38.76799,-9.09935,18,
6231,38.79931,-9.38543,1,
6231,38.80221,-9.37681,2,
6231,38.79763,-9.34145,3,
6231,38.79224,-9.32972,4,
6231,38.78464,-9.32225,5,
6231,38.76639,-9.29841,6,
6231,38.75154,-9.28402,7,
6231,38.75496,-9.26538,8,
6231,38.75879,-9.25659,9,
6231,38.75989,-9.23666,10,
6231,38.75065,-9.2224,11,
6231,38.74666,-9.21219,12,
6231,38.74444,-9.19919,13,
6231,38.73295,-9.1685,14,
6231,38.71497,-9.1424,15,
6232,38.71497,-9.1424,1,
6232,38.73295,-9.1685,2,
6232,38.74444,-9.19919,3,
6232,38.74666,-9.21219,4,
6232,38.75065,-9.2224,5,
6232,38.75989,-9.23666,6,
6232,38.75879,-9.25659,7,
6232,38.75496,-9.26538,8,
6232,38.75154,-9.28402,9,
6232,38.76639,-9.29841,10,
6232,38.78464,-9.32225,11,
6232,38.79224,-9.32972,12,
6232,38.79763,-9.34145,13,
6232,38.80221,-9.37681,14,
6232,38.79931,-9.38543,15,
9412,38.53061,-8.88499,1,
9412,38.57109,-8.8727,2,
9412,38.60648,-8.88886,3,
9412,38.62986,-8.91365,4,
9412,38.63833,-8.95701,5,
9412,38.64488,-8.99641,6,
9412,38.65194,-9.02695,7,
9412,38.65928,-9.04354,8,
9412,38.66198,-9.0587,9,
9412,38.65968,-9.07187,10,
9412,38.65313,-9.08008,11,
19933,38.76799,-9.09935,1,
19933,38.7467,-9.1029,2,
19933,38.74581,-9.13427,3,
19933,38.74461,-9.14873,4,
19933,38.74039,-9.16702,5,
19933,38.74444,-9.19919,6,
19933,38.74666,-9.21219,7,
19933,38.75065,-9.2224,8,
19933,38.75989,-9.23666,9,
19933,38.75879,-9.25659,10,
19933,38.75496,-9.26538,11,
19933,38.75154,-9.28402,12,
19933,38.76639,-9.29841,13,
19933,38.78464,-9.32225,14,
19933,38.79224,-9.32972,15,
19933,38.79763,-9.34145,16,
19933,38.80221,-9.37681,17,
19933,38.79931,-9.38543,18,
20083,38.51804,-8.83772,1,
20083,38.52485,-8.88658,2,
20083,38.53061,-8.88499,3,
20083,38.57109,-8.8727,4,
20083,38.60648,-8.88886,5,
20083,38.62986,-8.91365,6,
20083,38.63833,-8.95701,7,
20083,38.64488,-8.99641,8,
20083,38.65194,-9.02695,9,
20083,38.65928,-9.04354,10,
20083,38.66198,-9.0587,11,
20083,38.65968,-9.07187,12,
20083,38.65313,-9.08008,13,
20084,38.65313,-9.08008,1,
20084,38.65968,-9.07187,2,
20084,38.66198,-9.0587,3,
20084,38.65928,-9.04354,4,
20084,38.65194,-9.02695,5,
20084,38.64488,-8.99641,6,
20084,38.63833,-8.95701,7,
20084,38.62986,-8.91365,8,
20084,38.60648,-8.88886,9,
20084,38.57109,-8.8727,10,
20084,38.53061,-8.88499,11,
20084,38.52485,-8.88658,12,
20084,38.51804,-8.83772,13,
22018,39.06842,-8.86616,1,
22018,39.05053,-8.90299,2,
22018,39.03683,-8.92733,3,
22018,39.0064,-8.95319,4,
22018,38.98747,-8.96654,5,
22018,38.95597,-8.98576,6,
22018,38.92441,-9.01135,7,
22018,38.891,-9.03312,8,
22018,38.85952,-9.06361,9,
22018,38.84098,-9.08027,10,
22018,38.80742,-9.09443,11,
22018,38.7958,-9.09959,12,
22018,38.77804,-9.09959,13,
22018,38.76799,-9.09935,14,
22018,38.7467,-9.1029,15,
22018,38.71381,-9.12303,16,
22019,38.71381,-9.12303,1,
22019,38.7467,-9.1029,2,
22019,38.76799,-9.09935,3,
22019,38.77804,-9.09959,4,
22019,38.7958,-9.09959,5,
22019,38.80742,-9.09443,6,
22019,38.84098,-9.08027,7,
22019,38.85952,-9.06361,8,
22019,38.891,-9.03312,9,
22019,38.92441,-9.01135,10,
22019,38.95597,-8.98576,11,
22019,38.98747,-8.96654,12,
22019,39.0064,-8.95319,13,
22019,39.03683,-8.92733,14,
22019,39.05053,-8.90299,15,
22019,39.06842,-8.86616,16,
22020,38.70776,-9.17307,1,
22020,38.73295,-9.1685,2,
22020,38.74039,-9.16702,3,
22020,38.74461,-9.14873,4,
22020,38.74581,-9.13427,5,
22020,38.7395,-9.10822,6,
22020,38.7467,-9.1029,7,
22020,38.76799,-9.09935,8,
22020,38.77804,-9.09959,9,
22020,38.7958,-9.09959,10,
22020,38.80742,-9.09443,11,
22020,38.84098,-9.08027,12,
22020,38.85952,-9.06361,13,
22020,38.891,-9.03312,14,
22020,38.92441,-9.01135,15,
22020,38.95597,-8.98576,16,
22020,38.98747,-8.96654,17,
22021,38.98747,-8.96654,1,
22021,38.95597,-8.98576,2,
22021,38.92441,-9.01135,3,
22021,38.891,-9.03312,4,
22021,38.85952,-9.06361,5,
22021,38.84098,-9.08027,6,
22021,38.80742,-9.09443,7,
22021,38.7958,-9.09959,8,
22021,38.77804,-9.09959,9,
22021,38.76799,-9.09935,10,
22021,38.7467,-9.1029,11,
22021,38.7395,-9.10822,12,
22021,38.74581,-9.13427,13,
22021,38.74461,-9.14873,14,
22021,38.74039,-9.16702,15,
22021,38.73295,-9.1685,16,
22021,38.70776,-9.17307,17,
22022,38.78959,-9.31229,1,
22022,38.76639,-9.29841,2,
22022,38.75154,-9.28402,3,
22022,38.75496,-9.26538,4,
22022,38.75879,-9.25659,5,
22022,38.75989,-9.23666,6,
22022,38.75065,-9.2224,7,
22022,38.74666,-9.21219,8,
22022,38.74444,-9.19919,9,
22022,38.73295,-9.1685,10,
22022,38.71497,-9.1424,11,
22023,38.71497,-9.1424,1,
22023,38.73295,-9.1685,2,
22023,38.74444,-9.19919,3,
22023,38.74666,-9.21219,4,
22023,38.75065,-9.2224,5,
22023,38.75989,-9.23666,6,
22023,38.75879,-9.25659,7,
22023,38.75496,-9.26538,8,
22023,38.75154,-9.28402,9,
22023,38.76639,-9.29841,10,
22023,38.78959,-9.31229,11,
22038,38.70776,-9.17307,1,
22038,38.73295,-9.1685,2,
22038,38.74039,-9.16702,3,
22038,38.74461,-9.14873,4,
22038,38.74581,-9.13427,5,
22038,38.7395,-9.10822,6,
22038,38.7467,-9.1029,7,
22038,38.76799,-9.09935,8,
22038,38.77804,-9.09959,9,
22038,38.7958,-9.09959,10,
22038,38.80742,-9.09443,11,
22038,38.84098,-9.08027,12,
22038,38.85952,-9.06361,13,
22038,38.891,-9.03312,14,
22038,38.92441,-9.01135,15,
22038,38.95597,-8.98576,16,
22038,38.98747,-8.96654,17,
22038,39.0064,-8.95319,18,
22038,39.03683,-8.92733,19,
22038,39.05053,-8.90299,20,
22038,39.06842,-8.86616,21,
