shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
865,38.5847,-9.05143,1,
865,38.60997,-9.10155,2,
865,38.62064,-9.12888,3,
865,38.63644,-9.15189,4,
865,38.66647,-9.17948,5,
865,38.73295,-9.1685,6,
865,38.74039,-9.16702,7,
865,38.74461,-9.14873,8,
865,38.74581,-9.13427,9,
866,38.74581,-9.13427,1,
866,38.74461,-9.14873,2,
866,38.74039,-9.16702,3,
866,38.73295,-9.1685,4,
866,38.66647,-9.17948,5,
866,38.63644,-9.15189,6,
866,38.62064,-9.12888,7,
866,38.60997,-9.10155,8,
866,38.5847,-9.05143,9,
1078,38.53061,-8.88499,1,
1078,38.57109,-8.8727,2,
1078,38.60648,-8.88886,3,
1078,38.62986,-8.91365,4,
1078,38.58996,-8.99525,5,
1078,38.5847,-9.05143,6,
1078,38.60997,-9.10155,7,
1078,38.62064,-9.12888,8,
1078,38.63644,-9.15189,9,
1078,38.66647,-9.17948,10,
1078,38.73295,-9.1685,11,
1078,38.74039,-9.16702,12,
1078,38.74461,-9.14873,13,
1078,38.74581,-9.13427,14,
1079,38.74581,-9.13427,1,
1079,38.74461,-9.14873,2,
1079,38.74039,-9.16702,3,
1079,38.73295,-9.1685,4,
1079,38.66647,-9.17948,5,
1079,38.63644,-9.15189,6,
1079,38.62064,-9.12888,7,
1079,38.60997,-9.10155,8,
1079,38.5847,-9.05143,9,
1079,38.58996,-8.99525,10,
1079,38.62986,-8.91365,11,
1079,38.60648,-8.88886,12,
1079,38.57109,-8.8727,13,
1079,38.53061,-8.88499,14,
