trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
26734527,05:33:00,05:33:00,11017228,0,,,,
26734527,05:38:00,05:38:00,11017186,1,,,,
26734527,05:41:00,05:41:00,11017152,2,,,,
26734527,05:44:00,05:44:00,11017137,3,,,,
26734527,05:49:00,05:49:00,11017087,4,,,,
26734527,05:58:00,05:58:00,11060004,5,,,,
26734527,06:00:00,06:00:00,11066076,6,,,,
26734527,06:04:00,06:04:00,11066050,7,,,,
26734527,06:06:00,06:06:00,11066035,8,,,,
26734528,05:53:00,05:53:00,11017228,0,,,,
26734528,05:58:00,05:58:00,11017186,1,,,,
26734528,06:01:00,06:01:00,11017152,2,,,,
26734528,06:04:00,06:04:00,11017137,3,,,,
26734528,06:09:00,06:09:00,11017087,4,,,,
26734528,06:18:00,06:18:00,11060004,5,,,,
26734528,06:20:00,06:20:00,11066076,6,,,,
26734528,06:24:00,06:24:00,11066050,7,,,,
26734528,06:26:00,06:26:00,11066035,8,,,,
26734530,06:33:00,06:33:00,11017228,0,,,,
26734530,06:38:00,06:38:00,11017186,1,,,,
26734530,06:41:00,06:41:00,11017152,2,,,,
26734530,06:44:00,06:44:00,11017137,3,,,,
26734530,06:49:00,06:49:00,11017087,4,,,,
26734530,06:58:00,06:58:00,11060004,5,,,,
26734530,07:00:00,07:00:00,11066076,6,,,,
26734530,07:04:00,07:04:00,11066050,7,,,,
26734530,07:06:00,07:06:00,11066035,8,,,,
26734531,06:43:00,06:43:00,11017228,0,,,,
26734531,06:48:00,06:48:00,11017186,1,,,,
26734531,06:51:00,06:51:00,11017152,2,,,,
26734531,06:54:00,06:54:00,11017137,3,,,,
26734531,06:59:00,06:59:00,11017087,4,,,,
26734531,07:08:00,07:08:00,11060004,5,,,,
26734531,07:10:00,07:10:00,11066076,6,,,,
26734531,07:14:00,07:14:00,11066050,7,,,,
26734531,07:16:00,07:16:00,11066035,8,,,,
26734533,07:03:00,07:03:00,11017228,0,,,,
26734533,07:08:00,07:08:00,11017186,1,,,,
26734533,07:11:00,07:11:00,11017152,2,,,,
26734533,07:14:00,07:14:00,11017137,3,,,,
26734533,07:19:00,07:19:00,11017087,4,,,,
26734533,07:28:00,07:28:00,11060004,5,,,,
26734533,07:30:00,07:30:00,11066076,6,,,,
26734533,07:34:00,07:34:00,11066050,7,,,,
26734533,07:36:00,07:36:00,11066035,8,,,,
26734534,07:13:00,07:13:00,11017228,0,,,,
26734534,07:18:00,07:18:00,11017186,1,,,,
26734534,07:21:00,07:21:00,11017152,2,,,,
26734534,07:24:00,07:24:00,11017137,3,,,,
26734534,07:29:00,07:29:00,11017087,4,,,,
26734534,07:38:00,07:38:00,11060004,5,,,,
26734534,07:40:00,07:40:00,11066076,6,,,,
26734534,07:44:00,07:44:00,11066050,7,,,,
26734534,07:46:00,07:46:00,11066035,8,,,,
26734536,07:38:00,07:38:00,11017228,0,,,,
26734536,07:43:00,07:43:00,11017186,1,,,,
26734536,07:46:00,07:46:00,11017152,2,,,,
26734536,07:49:00,07:49:00,11017137,3,,,,
26734536,07:54:00,07:54:00,11017087,4,,,,
26734536,08:03:00,08:03:00,11060004,5,,,,
26734536,08:05:00,08:05:00,11066076,6,,,,
26734536,08:09:00,08:09:00,11066050,7,,,,
26734536,08:11:00,08:11:00,11066035,8,,,,
26734537,07:43:00,07:43:00,11017228,0,,,,
26734537,07:48:00,07:48:00,11017186,1,,,,
26734537,07:51:00,07:51:00,11017152,2,,,,
26734537,07:54:00,07:54:00,11017137,3,,,,
26734537,07:59:00,07:59:00,11017087,4,,,,
26734537,08:08:00,08:08:00,11060004,5,,,,
26734537,08:10:00,08:10:00,11066076,6,,,,
26734537,08:14:00,08:14:00,11066050,7,,,,
26734537,08:16:00,08:16:00,11066035,8,,,,
26734539,08:03:00,08:03:00,11017228,0,,,,
26734539,08:08:00,08:08:00,11017186,1,,,,
26734539,08:11:00,08:11:00,11017152,2,,,,
26734539,08:14:00,08:14:00,11017137,3,,,,
26734539,08:19:00,08:19:00,11017087,4,,,,
26734539,08:28:00,08:28:00,11060004,5,,,,
26734539,08:30:00,08:30:00,11066076,6,,,,
26734539,08:34:00,08:34:00,11066050,7,,,,
26734539,08:36:00,08:36:00,11066035,8,,,,
26734540,08:13:00,08:13:00,11017228,0,,,,
26734540,08:18:00,08:18:00,11017186,1,,,,
26734540,08:21:00,08:21:00,11017152,2,,,,
26734540,08:24:00,08:24:00,11017137,3,,,,
26734540,08:29:00,08:29:00,11017087,4,,,,
26734540,08:38:00,08:38:00,11060004,5,,,,
26734540,08:40:00,08:40:00,11066076,6,,,,
26734540,08:44:00,08:44:00,11066050,7,,,,
26734540,08:46:00,08:46:00,11066035,8,,,,
26734542,08:33:00,08:33:00,11017228,0,,,,
26734542,08:38:00,08:38:00,11017186,1,,,,
26734542,08:41:00,08:41:00,11017152,2,,,,
26734542,08:44:00,08:44:00,11017137,3,,,,
26734542,08:49:00,08:49:00,11017087,4,,,,
26734542,08:58:00,08:58:00,11060004,5,,,,
26734542,09:00:00,09:00:00,11066076,6,,,,
26734542,09:04:00,09:04:00,11066050,7,,,,
26734542,09:06:00,09:06:00,11066035,8,,,,
26734543,08:43:00,08:43:00,11017228,0,,,,
26734543,08:48:00,08:48:00,11017186,1,,,,
26734543,08:51:00,08:51:00,11017152,2,,,,
26734543,08:54:00,08:54:00,11017137,3,,,,
26734543,08:59:00,08:59:00,11017087,4,,,,
26734543,09:08:00,09:08:00,11060004,5,,,,
26734543,09:10:00,09:10:00,11066076,6,,,,
26734543,09:14:00,09:14:00,11066050,7,,,,
26734543,09:16:00,09:16:00,11066035,8,,,,
26734549,09:33:00,09:33:00,11017228,0,,,,
26734549,09:38:00,09:38:00,11017186,1,,,,
26734549,09:41:00,09:41:00,11017152,2,,,,
26734549,09:44:00,09:44:00,11017137,3,,,,
26734549,09:49:00,09:49:00,11017087,4,,,,
26734549,09:58:00,09:58:00,11060004,5,,,,
26734549,10:00:00,10:00:00,11066076,6,,,,
26734549,10:04:00,10:04:00,11066050,7,,,,
26734549,10:06:00,10:06:00,11066035,8,,,,
26734550,09:43:00,09:43:00,11017228,0,,,,
26734550,09:48:00,09:48:00,11017186,1,,,,
26734550,09:51:00,09:51:00,11017152,2,,,,
26734550,09:54:00,09:54:00,11017137,3,,,,
26734550,09:59:00,09:59:00,11017087,4,,,,
26734550,10:08:00,10:08:00,11060004,5,,,,
26734550,10:10:00,10:10:00,11066076,6,,,,
26734550,10:14:00,10:14:00,11066050,7,,,,
26734550,10:16:00,10:16:00,11066035,8,,,,
26734551,10:03:00,10:03:00,11017228,0,,,,
26734551,10:08:00,10:08:00,11017186,1,,,,
26734551,10:11:00,10:11:00,11017152,2,,,,
26734551,10:14:00,10:14:00,11017137,3,,,,
26734551,10:19:00,10:19:00,11017087,4,,,,
26734551,10:28:00,10:28:00,11060004,5,,,,
26734551,10:30:00,10:30:00,11066076,6,,,,
26734551,10:34:00,10:34:00,11066050,7,,,,
26734551,10:36:00,10:36:00,11066035,8,,,,
26734546,09:03:00,09:03:00,11017228,0,,,,
