service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
26843674,1,1,1,1,1,0,0,20200531,20300531
26843676,1,1,1,1,1,0,0,20200531,20300531
26843678,1,1,1,1,1,0,0,20200531,20300531
26843680,1,1,1,1,1,0,0,20200531,20300531
26843682,1,1,1,1,1,0,0,20200531,20300531
26843684,1,1,1,1,1,0,0,20200531,20300531
26843686,1,1,1,1,1,0,0,20200531,20300531
26843688,0,0,0,0,0,1,0,20200531,20300531
26843690,0,0,0,0,0,1,0,20200531,20300531
26843694,0,0,0,0,0,0,1,20200531,20300531
26843692,0,0,0,0,0,0,1,20200531,20300531
26843687,1,1,1,1,1,0,0,20200531,20300531
26843685,1,1,1,1,1,0,0,20200531,20300531
26843683,1,1,1,1,1,0,0,20200531,20300531
26843681,1,1,1,1,1,0,0,20200531,20300531
26843679,1,1,1,1,1,0,0,20200531,20300531
26843677,1,1,1,1,1,0,0,20200531,20300531
26843675,1,1,1,1,1,0,0,20200531,20300531
26843691,0,0,0,0,0,1,0,20200531,20300531
26843689,0,0,0,0,0,1,0,20200531,20300531
26843693,0,0,0,0,0,0,1,20200531,20300531
26843695,0,0,0,0,0,0,1,20200531,20300531
26843644,1,1,1,1,1,0,0,20200531,20300531
26843646,1,1,1,1,1,0,0,20200531,20300531
26843648,1,1,1,1,1,0,0,20200531,20300531
26843650,1,1,1,1,1,0,0,20200531,20300531
26843652,1,1,1,1,1,0,0,20200531,20300531
26843654,1,1,1,1,1,0,0,20200531,20300531
26843656,1,1,1,1,1,0,0,20200531,20300531
26843638,1,1,1,1,1,0,0,20200531,20300531
26843640,1,1,1,1,1,0,0,20200531,20300531
26843642,1,1,1,1,1,0,0,20200531,20300531
26843658,0,0,0,0,0,1,0,20200531,20300531
26843660,0,0,0,0,0,1,0,20200531,20300531
26843662,0,0,0,0,0,1,0,20200531,20300531
26843664,0,0,0,0,0,1,0,20200531,20300531
26843666,0,0,0,0,0,0,1,20200531,20300531
26843672,0,0,0,0,0,0,1,20200531,20300531
26843668,0,0,0,0,0,0,1,20200531,20300531
26843670,0,0,0,0,0,0,1,20200531,20300531
26843657,1,1,1,1,1,0,0,20200531,20300531
26843655,1,1,1,1,1,0,0,20200531,20300531
26843653,1,1,1,1,1,0,0,20200531,20300531
26843651,1,1,1,1,1,0,0,20200531,20300531
26843649,1,1,1,1,1,0,0,20200531,20300531
26843647,1,1,1,1,1,0,0,20200531,20300531
26843645,1,1,1,1,1,0,0,20200531,20300531
26843643,1,1,1,1,1,0,0,20200531,20300531
26843641,1,1,1,1,1,0,0,20200531,20300531
26843639,1,1,1,1,1,0,0,20200531,20300531
26843659,0,0,0,0,0,1,0,20200531,20300531
26843665,0,0,0,0,0,1,0,20200531,20300531
26843663,0,0,0,0,0,1,0,20200531,20300531
26843661,0,0,0,0,0,1,0,20200531,20300531
26843667,0,0,0,0,0,0,1,20200531,20300531
26843671,0,0,0,0,0,0,1,20200531,20300531
26843669,0,0,0,0,0,0,1,20200531,20300531
26843673,0,0,0,0,0,0,1,20200531,20300531
26843722,1,1,1,1,1,0,0,20200531,20300531
26843724,1,1,1,1,1,0,0,20200531,20300531
26843726,1,1,1,1,1,0,0,20200531,20300531
26843728,1,1,1,1,1,0,0,20200531,20300531
26843730,1,1,1,1,1,0,0,20200531,20300531
26843732,1,1,1,1,1,0,0,20200531,20300531
26843734,1,1,1,1,1,0,0,20200531,20300531
26843736,0,0,0,0,0,1,0,20200531,20300531
26843738,0,0,0,0,0,1,0,20200531,20300531
26843740,0,0,0,0,0,1,0,20200531,20300531
26843742,0,0,0,0,0,1,0,20200531,20300531
26843744,0,0,0,0,0,0,1,20200531,20300531
26843746,0,0,0,0,0,0,1,20200531,20300531
26843748,0,0,0,0,0,0,1,20200531,20300531
26843750,0,0,0,0,0,0,1,20200531,20300531
26843735,1,1,1,1,1,0,0,20200531,20300531
26843733,1,1,1,1,1,0,0,20200531,20300531
26843731,1,1,1,1,1,0,0,20200531,20300531
26843729,1,1,1,1,1,0,0,20200531,20300531
26843727,1,1,1,1,1,0,0,20200531,20300531
26843725,1,1,1,1,1,0,0,20200531,20300531
