trip_id,start_time,end_time,headway_secs,exact_times
26843674,06:30:00,07:20:00,470,0
26843676,07:20:00,09:30:00,305,0
26843678,09:30:00,16:40:00,470,0
26843680,16:40:00,20:00:00,370,0
26843682,20:00:00,20:30:00,460,0
26843684,20:30:00,22:30:00,445,0
26843686,22:30:00,25:05:00,525,0
26843688,06:30:00,12:00:00,520,0
26843690,12:00:00,25:05:00,525,0
26843694,12:00:00,25:05:00,525,0
26843692,06:30:00,12:00:00,520,0
26843687,22:30:00,01:05:00,525,0
26843685,20:30:00,22:30:00,445,0
26843683,20:00:00,20:30:00,460,0
26843681,16:40:00,20:00:00,370,0
26843679,09:30:00,16:40:00,470,0
26843677,07:20:00,09:30:00,305,0
26843675,06:30:00,07:20:00,470,0
26843691,12:00:00,01:05:00,525,0
26843689,06:30:00,12:00:00,520,0
26843693,06:30:00,12:00:00,520,0
26843695,12:00:00,01:05:00,525,0
26843644,09:30:00,10:00:00,375,0
26843646,10:00:00,16:30:00,445,0
26843648,16:30:00,19:00:00,345,0
26843650,19:00:00,20:00:00,405,0
26843652,20:00:00,20:30:00,445,0
26843654,20:30:00,22:30:00,485,0
26843656,22:30:00,25:05:00,645,0
26843638,06:30:00,07:00:00,450,0
26843640,07:00:00,07:30:00,405,0
26843642,07:30:00,09:30:00,345,0
26843658,06:30:00,12:00:00,495,0
26843660,12:00:00,20:30:00,440,0
26843662,20:30:00,22:30:00,485,0
26843664,22:30:00,25:05:00,640,0
26843666,06:30:00,12:00:00,495,0
26843672,22:30:00,25:05:00,640,0
26843668,12:00:00,20:30:00,440,0
26843670,20:30:00,22:30:00,485,0
26843657,22:30:00,01:05:00,645,0
26843655,20:30:00,22:30:00,485,0
26843653,20:00:00,20:30:00,445,0
26843651,19:00:00,20:00:00,405,0
26843649,16:30:00,19:00:00,345,0
26843647,10:00:00,16:30:00,445,0
26843645,09:30:00,10:00:00,375,0
26843643,07:30:00,09:30:00,345,0
26843641,07:00:00,07:30:00,405,0
26843639,06:30:00,07:00:00,450,0
26843659,06:30:00,12:00:00,495,0
26843665,22:30:00,01:05:00,640,0
26843663,20:30:00,22:30:00,485,0
26843661,12:00:00,20:30:00,440,0
26843667,06:30:00,12:00:00,495,0
26843671,20:30:00,22:30:00,485,0
26843669,12:00:00,20:30:00,440,0
26843673,22:30:00,01:05:00,640,0
26843722,06:30:00,07:15:00,585,0
26843724,07:15:00,09:45:00,360,0
26843726,09:45:00,16:30:00,420,0
26843728,16:30:00,19:30:00,360,0
26843730,19:30:00,20:30:00,425,0
26843732,20:30:00,22:30:00,475,0
26843734,22:30:00,25:05:00,565,0
26843736,06:30:00,12:00:00,490,0
26843738,12:00:00,20:30:00,420,0
26843740,20:30:00,22:15:00,480,0
26843742,22:15:00,25:05:00,570,0
26843744,06:30:00,12:00:00,490,0
26843746,12:00:00,20:30:00,420,0
26843748,20:30:00,22:15:00,480,0
26843750,22:15:00,25:05:00,570,0
26843735,22:30:00,01:05:00,565,0
26843733,20:30:00,22:30:00,475,0
26843731,19:30:00,20:30:00,425,0
26843729,16:30:00,19:30:00,360,0
26843727,09:45:00,16:30:00,420,0
26843725,07:15:00,09:45:00,360,0
26843723,06:30:00,07:15:00,585,0
26843737,06:30:00,12:00:00,490,0
26843741,20:30:00,22:15:00,480,0
26843739,12:00:00,20:30:00,420,0
26843743,22:15:00,01:05:00,570,0
26843745,06:30:00,12:00:00,490,0
26843749,20:30:00,22:15:00,480,0
26843747,12:00:00,20:30:00,420,0
26843751,22:15:00,01:05:00,570,0
26843696,06:30:00,07:15:00,410,0
26843698,07:15:00,09:45:00,335,0
26843700,09:45:00,16:15:00,365,0
26843702,16:15:00,20:30:00,335,0
26843704,20:30:00,21:30:00,360,0
26843706,21:30:00,22:30:00,475,0
26843708,22:30:00,25:05:00,710,0
26843710,06:30:00,20:30:00,495,0
26843712,20:30:00,22:30:00,475,0
26843714,22:30:00,25:05:00,710,0
26843716,06:30:00,20:30:00,495,0
26843718,20:30:00,22:30:00,475,0
26843720,22:30:00,25:05:00,710,0
26843709,22:30:00,01:05:00,710,0
26843707,21:30:00,22:30:00,475,0
26843705,20:30:00,21:30:00,360,0
26843703,16:15:00,20:30:00,335,0
26843701,09:45:00,16:15:00,365,0
26843699,07:15:00,09:45:00,335,0
26843697,06:30:00,07:15:00,410,0
26843711,06:30:00,20:30:00,495,0
26843715,22:30:00,01:05:00,710,0
26843713,20:30:00,22:30:00,475,0
26843719,20:30:00,22:30:00,475,0
26843717,06:30:00,20:30:00,495,0
26843721,22:30:00,01:05:00,710,0
