shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
164,38.72011,-9.15486,1,
164,38.72593,-9.14965,2,
164,38.73024,-9.14703,3,
164,38.73483,-9.14528,4,
164,38.74079,-9.14673,5,
164,38.74698,-9.14823,6,
164,38.75144,-9.15915,7,
164,38.76016,-9.15788,8,
164,38.76745,-9.15549,9,
164,38.77329,-9.15933,10,
164,38.77953,-9.15961,11,
164,38.78576,-9.1719,12,
164,38.79344,-9.17343,13,
165,38.79344,-9.17343,1,
165,38.78576,-9.1719,2,
165,38.77953,-9.15961,3,
165,38.77329,-9.15933,4,
165,38.76745,-9.15549,5,
165,38.76016,-9.15788,6,
165,38.75144,-9.15915,7,
165,38.74698,-9.14823,8,
165,38.74079,-9.14673,9,
165,38.73483,-9.14528,10,
165,38.73024,-9.14703,11,
165,38.72593,-9.14965,12,
165,38.72011,-9.15486,13,
166,38.75221,-9.22414,1,
166,38.75855,-9.21794,2,
166,38.76035,-9.20455,3,
166,38.76223,-9.19697,4,
166,38.75901,-9.19276,5,
166,38.75372,-9.18987,6,
166,38.74993,-9.18007,7,
166,38.74849,-9.17252,8,
166,38.7412,-9.16836,9,
166,38.7377,-9.15936,10,
166,38.734,-9.15365,11,
166,38.72914,-9.15015,12,
166,38.72593,-9.14965,13,
166,38.71934,-9.14513,14,
166,38.7161,-9.14239,15,
166,38.71041,-9.14018,16,
166,38.70722,-9.13286,17,
166,38.71378,-9.12212,18,
167,38.71378,-9.12212,1,
167,38.70722,-9.13286,2,
167,38.71041,-9.14018,3,
167,38.7161,-9.14239,4,
167,38.71934,-9.14513,5,
167,38.72593,-9.14965,6,
167,38.72914,-9.15015,7,
167,38.734,-9.15365,8,
167,38.7377,-9.15936,9,
167,38.7412,-9.16836,10,
167,38.74849,-9.17252,11,
167,38.74993,-9.18007,12,
167,38.75372,-9.18987,13,
167,38.75901,-9.19276,14,
167,38.76223,-9.19697,15,
167,38.76035,-9.20455,16,
167,38.75855,-9.21794,17,
167,38.75221,-9.22414,18,
170,38.734,-9.15365,1,
170,38.73483,-9.14528,2,
170,38.73696,-9.13389,3,
170,38.74019,-9.12297,4,
170,38.7476,-9.11772,5,
170,38.75475,-9.11404,6,
170,38.76084,-9.11185,7,
170,38.76294,-9.10518,8,
170,38.76786,-9.09973,9,
170,38.77496,-9.10304,10,
170,38.77499,-9.11538,11,
170,38.76862,-9.12833,12,
171,38.76862,-9.12833,1,
171,38.77499,-9.11538,2,
171,38.77496,-9.10304,3,
171,38.76786,-9.09973,4,
171,38.76294,-9.10518,5,
171,38.76084,-9.11185,6,
171,38.75475,-9.11404,7,
171,38.7476,-9.11772,8,
171,38.74019,-9.12297,9,
171,38.73696,-9.13389,10,
171,38.73483,-9.14528,11,
171,38.734,-9.15365,12,
4919,38.76223,-9.19697,1,
4919,38.75901,-9.19276,2,
4919,38.75372,-9.18987,3,
4919,38.74993,-9.18007,4,
4919,38.74849,-9.17252,5,
4919,38.7412,-9.16836,6,
4919,38.7377,-9.15936,7,
4919,38.734,-9.15365,8,
4919,38.72914,-9.15015,9,
4919,38.72593,-9.14965,10,
4919,38.71934,-9.14513,11,
4919,38.7161,-9.14239,12,
4919,38.71041,-9.14018,13,
4919,38.70722,-9.13286,14,
4919,38.71378,-9.12212,15,
4920,38.71378,-9.12212,1,
4920,38.70722,-9.13286,2,
4920,38.71041,-9.14018,3,
4920,38.7161,-9.14239,4,
4920,38.71934,-9.14513,5,
4920,38.72593,-9.14965,6,
4920,38.72914,-9.15015,7,
4920,38.734,-9.15365,8,
4920,38.7377,-9.15936,9,
4920,38.7412,-9.16836,10,
4920,38.74849,-9.17252,11,
4920,38.74993,-9.18007,12,
4920,38.75372,-9.18987,13,
4920,38.75901,-9.19276,14,
4920,38.76223,-9.19697,15,
50953,38.76017,-9.16609,1,
50953,38.76016,-9.15788,2,
50953,38.75327,-9.1441,3,
50953,38.74808,-9.1413,4,
50953,38.74228,-9.13349,5,
50953,38.73696,-9.13389,6,
50953,38.72703,-9.13488,7,
50953,38.72326,-9.13526,8,
50953,38.71762,-9.1358,9,
50953,38.71402,-9.13796,10,
50953,38.71041,-9.14018,11,
50953,38.70611,-9.14612,12,
50954,38.70611,-9.14612,1,
50954,38.71041,-9.14018,2,
50954,38.71402,-9.13796,3,
50954,38.71762,-9.1358,4,
50954,38.72326,-9.13526,5,
50954,38.72703,-9.13488,6,
50954,38.73696,-9.13389,7,
50954,38.74228,-9.13349,8,
50954,38.74808,-9.1413,9,
50954,38.75327,-9.1441,10,
50954,38.76016,-9.15788,11,
50954,38.76017,-9.16609,12,
