trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
26843674,06:30:00,06:30:00,M19,0,,,,
26843674,06:31:08,06:31:36,M10,1,,,,
26843674,06:32:42,06:33:04,M18,2,,,,
26843674,06:33:58,06:34:26,M17,3,,,,
26843674,06:35:32,06:35:58,M16,4,,,,
26843674,06:37:07,06:37:34,M15,5,,,,
26843674,06:39:31,06:39:56,M14,6,,,,
26843674,06:41:56,06:42:37,M13,7,,,,
26843674,06:44:04,06:44:27,M38,8,,,,
26843674,06:45:35,06:45:57,M39,9,,,,
26843674,06:47:08,06:47:30,M40,10,,,,
26843674,06:49:58,06:50:23,M41,11,,,,
26843674,06:51:54,06:52:34,M42,12,,,,
26843676,07:20:00,07:20:00,M19,0,,,,
26843676,07:21:08,07:21:36,M10,1,,,,
26843676,07:22:42,07:23:04,M18,2,,,,
26843676,07:23:58,07:24:26,M17,3,,,,
26843676,07:25:32,07:25:58,M16,4,,,,
26843676,07:27:07,07:27:34,M15,5,,,,
26843676,07:29:31,07:29:56,M14,6,,,,
26843676,07:31:56,07:32:37,M13,7,,,,
26843676,07:34:04,07:34:27,M38,8,,,,
26843676,07:35:35,07:35:57,M39,9,,,,
26843676,07:37:08,07:37:30,M40,10,,,,
26843676,07:39:58,07:40:23,M41,11,,,,
26843676,07:41:54,07:42:34,M42,12,,,,
26843678,09:30:00,09:30:00,M19,0,,,,
26843678,09:31:08,09:31:36,M10,1,,,,
26843678,09:32:42,09:33:04,M18,2,,,,
26843678,09:33:58,09:34:26,M17,3,,,,
26843678,09:35:32,09:35:58,M16,4,,,,
26843678,09:37:07,09:37:34,M15,5,,,,
26843678,09:39:31,09:39:56,M14,6,,,,
26843678,09:41:56,09:42:37,M13,7,,,,
26843678,09:44:04,09:44:27,M38,8,,,,
26843678,09:45:35,09:45:57,M39,9,,,,
26843678,09:47:08,09:47:30,M40,10,,,,
26843678,09:49:58,09:50:23,M41,11,,,,
26843678,09:51:54,09:52:34,M42,12,,,,
26843680,16:40:00,16:40:00,M19,0,,,,
26843680,16:41:08,16:41:36,M10,1,,,,
26843680,16:42:42,16:43:04,M18,2,,,,
26843680,16:43:58,16:44:26,M17,3,,,,
26843680,16:45:32,16:45:58,M16,4,,,,
26843680,16:47:07,16:47:34,M15,5,,,,
26843680,16:49:31,16:49:56,M14,6,,,,
26843680,16:51:56,16:52:37,M13,7,,,,
26843680,16:54:04,16:54:27,M38,8,,,,
26843680,16:55:35,16:55:57,M39,9,,,,
26843680,16:57:08,16:57:30,M40,10,,,,
26843680,16:59:58,17:00:23,M41,11,,,,
26843680,17:01:54,17:02:34,M42,12,,,,
26843682,20:00:00,20:00:00,M19,0,,,,
26843682,20:01:08,20:01:36,M10,1,,,,
26843682,20:02:42,20:03:04,M18,2,,,,
26843682,20:03:58,20:04:26,M17,3,,,,
26843682,20:05:32,20:05:58,M16,4,,,,
26843682,20:07:07,20:07:34,M15,5,,,,
26843682,20:09:31,20:09:56,M14,6,,,,
26843682,20:11:56,20:12:37,M13,7,,,,
26843682,20:14:04,20:14:27,M38,8,,,,
26843682,20:15:35,20:15:57,M39,9,,,,
26843682,20:17:08,20:17:30,M40,10,,,,
26843682,20:19:58,20:20:23,M41,11,,,,
26843682,20:21:54,20:22:34,M42,12,,,,
26843684,20:30:00,20:30:00,M19,0,,,,
26843684,20:31:08,20:31:36,M10,1,,,,
26843684,20:32:42,20:33:04,M18,2,,,,
26843684,20:33:58,20:34:26,M17,3,,,,
26843684,20:35:32,20:35:58,M16,4,,,,
26843684,20:37:07,20:37:34,M15,5,,,,
26843684,20:39:31,20:39:56,M14,6,,,,
26843684,20:41:56,20:42:37,M13,7,,,,
26843684,20:44:04,20:44:27,M38,8,,,,
26843684,20:45:35,20:45:57,M39,9,,,,
26843684,20:47:08,20:47:30,M40,10,,,,
26843684,20:49:58,20:50:23,M41,11,,,,
26843684,20:51:54,20:52:34,M42,12,,,,
26843686,22:30:00,22:30:00,M19,0,,,,
26843686,22:31:08,22:31:36,M10,1,,,,
26843686,22:32:42,22:33:04,M18,2,,,,
26843686,22:33:58,22:34:26,M17,3,,,,
26843686,22:35:32,22:35:58,M16,4,,,,
26843686,22:37:07,22:37:34,M15,5,,,,
26843686,22:39:31,22:39:56,M14,6,,,,
26843686,22:41:56,22:42:37,M13,7,,,,
26843686,22:44:04,22:44:27,M38,8,,,,
26843686,22:45:35,22:45:57,M39,9,,,,
26843686,22:47:08,22:47:30,M40,10,,,,
26843686,22:49:58,22:50:23,M41,11,,,,
26843686,22:51:54,22:52:34,M42,12,,,,
26843688,06:30:00,06:30:00,M19,0,,,,
26843688,06:31:08,06:31:36,M10,1,,,,
26843688,06:32:42,06:33:04,M18,2,,,,
26843688,06:33:58,06:34:26,M17,3,,,,
26843688,06:35:32,06:35:58,M16,4,,,,
26843688,06:37:07,06:37:34,M15,5,,,,
26843688,06:39:31,06:39:56,M14,6,,,,
26843688,06:41:56,06:42:37,M13,7,,,,
26843688,06:44:04,06:44:27,M38,8,,,,
26843688,06:45:35,06:45:57,M39,9,,,,
26843688,06:47:08,06:47:30,M40,10,,,,
26843688,06:49:58,06:50:23,M41,11,,,,
26843688,06:51:54,06:52:34,M42,12,,,,
26843690,12:00:00,12:00:00,M19,0,,,,
26843690,12:01:08,12:01:36,M10,1,,,,
26843690,12:02:42,12:03:04,M18,2,,,,
26843690,12:03:58,12:04:26,M17,3,,,,
