service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
27318086,1,1,1,1,1,0,0,20201002,20301002
27318087,1,1,1,1,1,0,0,20201002,20301002
27318088,1,1,1,1,1,0,0,20201002,20301002
27318089,1,1,1,1,1,0,0,20201002,20301002
27318090,1,1,1,1,1,0,0,20201002,20301002
27318091,1,1,1,1,1,0,0,20201002,20301002
27318092,1,1,1,1,1,0,0,20201002,20301002
27318093,1,1,1,1,1,0,0,20201002,20301002
27318094,1,1,1,1,1,0,0,20201002,20301002
27318095,1,1,1,1,1,0,0,20201002,20301002
27318096,1,1,1,1,1,0,0,20201002,20301002
27318097,1,1,1,1,1,0,0,20201002,20301002
27318098,1,1,1,1,1,0,0,20201002,20301002
27318099,1,1,1,1,1,0,0,20201002,20301002
27318100,1,1,1,1,1,0,0,20201002,20301002
27318101,1,1,1,1,1,0,0,20201002,20301002
27318102,1,1,1,1,1,0,0,20201002,20301002
27318103,1,1,1,1,1,0,0,20201002,20301002
27318104,1,1,1,1,1,0,0,20201002,20301002
27318105,1,1,1,1,1,0,0,20201002,20301002
27318106,1,1,1,1,1,0,0,20201002,20301002
27318107,1,1,1,1,1,0,0,20201002,20301002
27318108,1,1,1,1,1,0,0,20201002,20301002
27318109,1,1,1,1,1,0,0,20201002,20301002
27318110,1,1,1,1,1,0,0,20201002,20301002
27318111,1,1,1,1,1,0,0,20201002,20301002
27318112,1,1,1,1,1,0,0,20201002,20301002
27318113,1,1,1,1,1,0,0,20201002,20301002
27318114,1,1,1,1,1,0,0,20201002,20301002
27318115,1,1,1,1,1,0,0,20201002,20301002
27318116,1,1,1,1,1,0,0,20201002,20301002
27318117,1,1,1,1,1,0,0,20201002,20301002
27318118,1,1,1,1,1,0,0,20201002,20301002
27318119,1,1,1,1,1,0,0,20201002,20301002
27318120,1,1,1,1,1,0,0,20201002,20301002
27318121,1,1,1,1,1,0,0,20201002,20301002
27318122,1,1,1,1,1,0,0,20201002,20301002
27318123,1,1,1,1,1,0,0,20201002,20301002
27318124,1,1,1,1,1,0,0,20201002,20301002
27318125,1,1,1,1,1,0,0,20201002,20301002
27318126,1,1,1,1,1,0,0,20201002,20301002
27318127,1,1,1,1,1,0,0,20201002,20301002
27318128,1,1,1,1,1,0,0,20201002,20301002
27318129,1,1,1,1,1,0,0,20201002,20301002
27318130,1,1,1,1,1,0,0,20201002,20301002
27318131,1,1,1,1,1,0,0,20201002,20301002
27318132,1,1,1,1,1,0,0,20201002,20301002
27318133,1,1,1,1,1,0,0,20201002,20301002
27318134,1,1,1,1,1,0,0,20201002,20301002
27318135,1,1,1,1,1,0,0,20201002,20301002
27318136,1,1,1,1,1,0,0,20201002,20301002
27318137,1,1,1,1,1,0,0,20201002,20301002
27318138,1,1,1,1,1,0,0,20201002,20301002
27318139,1,1,1,1,1,0,0,20201002,20301002
27318140,1,1,1,1,1,0,0,20201002,20301002
27318072,1,1,1,1,1,0,0,20201002,20301002
27318073,1,1,1,1,1,0,0,20201002,20301002
27318074,1,1,1,1,1,0,0,20201002,20301002
27318075,1,1,1,1,1,0,0,20201002,20301002
27318076,1,1,1,1,1,0,0,20201002,20301002
27318077,1,1,1,1,1,0,0,20201002,20301002
27318078,1,1,1,1,1,0,0,20201002,20301002
27318079,1,1,1,1,1,0,0,20201002,20301002
27318080,1,1,1,1,1,0,0,20201002,20301002
27318081,1,1,1,1,1,0,0,20201002,20301002
27318082,1,1,1,1,1,0,0,20201002,20301002
