trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
27318086,17:05:00,17:05:00,12_13,0,,,,
27318086,17:06:29,17:06:44,12_12,1,,,,
27318086,17:08:14,17:08:29,12_11,2,,,,
27318086,17:10:13,17:10:28,12_10,3,,,,
27318086,17:11:44,17:11:59,12_9,4,,,,
27318086,17:13:11,17:13:26,12_8,5,,,,
27318086,17:14:50,17:15:05,12_7,6,,,,
27318086,17:16:35,17:16:50,12_6,7,,,,
27318086,17:17:52,17:18:07,12_5,8,,,,
27318086,17:19:34,17:19:49,12_4,9,,,,
27318086,17:21:07,17:21:22,12_3,10,,,,
27318086,17:22:12,17:22:27,12_2,11,,,,
27318086,17:23:51,17:24:06,12_1,12,,,,
27318087,17:10:00,17:10:00,12_13,0,,,,
27318087,17:11:29,17:11:44,12_12,1,,,,
27318087,17:13:14,17:13:29,12_11,2,,,,
27318087,17:15:13,17:15:28,12_10,3,,,,
27318087,17:16:44,17:16:59,12_9,4,,,,
27318087,17:18:11,17:18:26,12_8,5,,,,
27318087,17:19:50,17:20:05,12_7,6,,,,
27318087,17:21:35,17:21:50,12_6,7,,,,
27318087,17:22:52,17:23:07,12_5,8,,,,
27318087,17:24:34,17:24:49,12_4,9,,,,
27318087,17:26:07,17:26:22,12_3,10,,,,
27318087,17:27:12,17:27:27,12_2,11,,,,
27318087,17:28:51,17:29:06,12_1,12,,,,
27318088,17:15:00,17:15:00,12_13,0,,,,
27318088,17:16:29,17:16:44,12_12,1,,,,
27318088,17:18:14,17:18:29,12_11,2,,,,
27318088,17:20:13,17:20:28,12_10,3,,,,
27318088,17:21:44,17:21:59,12_9,4,,,,
27318088,17:23:11,17:23:26,12_8,5,,,,
27318088,17:24:50,17:25:05,12_7,6,,,,
27318088,17:26:35,17:26:50,12_6,7,,,,
27318088,17:27:52,17:28:07,12_5,8,,,,
27318088,17:29:34,17:29:49,12_4,9,,,,
27318088,17:31:07,17:31:22,12_3,10,,,,
27318088,17:32:12,17:32:27,12_2,11,,,,
27318088,17:33:51,17:34:06,12_1,12,,,,
27318089,17:20:00,17:20:00,12_13,0,,,,
27318089,17:21:29,17:21:44,12_12,1,,,,
27318089,17:23:14,17:23:29,12_11,2,,,,
27318089,17:25:13,17:25:28,12_10,3,,,,
27318089,17:26:44,17:26:59,12_9,4,,,,
27318089,17:28:11,17:28:26,12_8,5,,,,
27318089,17:29:50,17:30:05,12_7,6,,,,
27318089,17:31:35,17:31:50,12_6,7,,,,
27318089,17:32:52,17:33:07,12_5,8,,,,
27318089,17:34:34,17:34:49,12_4,9,,,,
27318089,17:36:07,17:36:22,12_3,10,,,,
27318089,17:37:12,17:37:27,12_2,11,,,,
27318089,17:38:51,17:39:06,12_1,12,,,,
27318090,17:25:00,17:25:00,12_13,0,,,,
27318090,17:26:29,17:26:44,12_12,1,,,,
27318090,17:28:14,17:28:29,12_11,2,,,,
27318090,17:30:13,17:30:28,12_10,3,,,,
27318090,17:31:44,17:31:59,12_9,4,,,,
27318090,17:33:11,17:33:26,12_8,5,,,,
27318090,17:34:50,17:35:05,12_7,6,,,,
27318090,17:36:35,17:36:50,12_6,7,,,,
27318090,17:37:52,17:38:07,12_5,8,,,,
27318090,17:39:34,17:39:49,12_4,9,,,,
27318090,17:41:07,17:41:22,12_3,10,,,,
27318090,17:42:12,17:42:27,12_2,11,,,,
27318090,17:43:51,17:44:06,12_1,12,,,,
27318091,17:30:00,17:30:00,12_13,0,,,,
27318091,17:31:29,17:31:44,12_12,1,,,,
27318091,17:33:14,17:33:29,12_11,2,,,,
27318091,17:35:13,17:35:28,12_10,3,,,,
27318091,17:36:44,17:36:59,12_9,4,,,,
27318091,17:38:11,17:38:26,12_8,5,,,,
27318091,17:39:50,17:40:05,12_7,6,,,,
27318091,17:41:35,17:41:50,12_6,7,,,,
27318091,17:42:52,17:43:07,12_5,8,,,,
27318091,17:44:34,17:44:49,12_4,9,,,,
27318091,17:46:07,17:46:22,12_3,10,,,,
27318091,17:47:12,17:47:27,12_2,11,,,,
27318091,17:48:51,17:49:06,12_1,12,,,,
27318092,17:35:00,17:35:00,12_13,0,,,,
27318092,17:36:29,17:36:44,12_12,1,,,,
27318092,17:38:14,17:38:29,12_11,2,,,,
27318092,17:40:13,17:40:28,12_10,3,,,,
27318092,17:41:44,17:41:59,12_9,4,,,,
27318092,17:43:11,17:43:26,12_8,5,,,,
27318092,17:44:50,17:45:05,12_7,6,,,,
27318092,17:46:35,17:46:50,12_6,7,,,,
27318092,17:47:52,17:48:07,12_5,8,,,,
27318092,17:49:34,17:49:49,12_4,9,,,,
27318092,17:51:07,17:51:22,12_3,10,,,,
27318092,17:52:12,17:52:27,12_2,11,,,,
