service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
27552161,1,1,1,1,1,0,0,20210125,20220125
27552162,1,1,1,1,1,0,0,20210125,20220125
27552163,1,1,1,1,1,0,0,20210125,20220125
27552164,1,1,1,1,1,0,0,20210125,20220125
27552165,1,1,1,1,1,0,0,20210125,20220125
27552166,1,1,1,1,1,0,0,20210125,20220125
27552167,1,1,1,1,1,0,0,20210125,20220125
27552168,1,1,1,1,1,0,0,20210125,20220125
27552169,1,1,1,1,1,0,0,20210125,20220125
27552170,1,1,1,1,1,0,0,20210125,20220125
27552171,1,1,1,1,1,0,0,20210125,20220125
27552172,1,1,1,1,1,0,0,20210125,20220125
27552173,1,1,1,1,1,0,0,20210125,20220125
27552174,1,1,1,1,1,0,0,20210125,20220125
27552175,1,1,1,1,1,0,0,20210125,20220125
27552176,1,1,1,1,1,0,0,20210125,20220125
27552177,1,1,1,1,1,0,0,20210125,20220125
27552178,1,1,1,1,1,0,0,20210125,20220125
27552179,1,1,1,1,1,0,0,20210125,20220125
27552180,1,1,1,1,1,0,0,20210125,20220125
27552181,1,1,1,1,1,0,0,20210125,20220125
27552182,1,1,1,1,1,0,0,20210125,20220125
27552158,0,0,0,0,0,1,0,20210125,20220125
27552159,0,0,0,0,0,1,0,20210125,20220125
27552160,0,0,0,0,0,1,0,20210125,20220125
27552155,0,0,0,0,0,0,1,20210125,20220125
27552156,0,0,0,0,0,0,1,20210125,20220125
27552157,0,0,0,0,0,0,1,20210125,20220125
27552189,1,1,1,1,1,0,0,20210125,20220125
27552190,1,1,1,1,1,0,0,20210125,20220125
27552191,1,1,1,1,1,0,0,20210125,20220125
27552192,1,1,1,1,1,0,0,20210125,20220125
27552193,1,1,1,1,1,0,0,20210125,20220125
27552194,1,1,1,1,1,0,0,20210125,20220125
27552195,1,1,1,1,1,0,0,20210125,20220125
27552196,1,1,1,1,1,0,0,20210125,20220125
27552197,1,1,1,1,1,0,0,20210125,20220125
27552198,1,1,1,1,1,0,0,20210125,20220125
27552199,1,1,1,1,1,0,0,20210125,20220125
27552200,1,1,1,1,1,0,0,20210125,20220125
27552201,1,1,1,1,1,0,0,20210125,20220125
27552202,1,1,1,1,1,0,0,20210125,20220125
27552203,1,1,1,1,1,0,0,20210125,20220125
