trip_id,start_time,end_time,headway_secs,exact_times
27552161,05:20:00,06:00:00,2400,1
27552162,06:30:00,07:00:00,900,1
27552163,07:10:00,07:20:00,600,1
27552164,07:35:00,07:55:00,600,1
27552165,08:10:00,08:30:00,600,1
27552166,08:45:00,09:05:00,600,1
27552167,09:20:00,09:30:00,600,1
27552168,09:45:00,10:05:00,1200,1
27552169,10:50:00,11:10:00,1200,1
27552170,11:50:00,12:10:00,1200,1
27552171,12:50:00,13:10:00,1200,1
27552172,13:50:00,14:10:00,1200,1
27552173,14:50:00,15:10:00,1200,1
27552174,15:50:00,16:10:00,1200,1
27552175,16:50:00,17:30:00,1200,1
27552176,18:05:00,18:20:00,900,1
27552177,18:40:00,18:50:00,600,1
27552178,19:10:00,19:20:00,600,1
27552179,19:40:00,19:50:00,600,1
27552180,20:10:00,20:25:00,900,1
27552181,21:00:00,21:50:00,3000,1
27552182,22:30:00,23:30:00,1800,1
27552158,06:05:00,14:35:00,1800,1
27552159,15:30:00,20:30:00,1800,1
27552160,21:30:00,23:30:00,3600,1
27552155,07:35:00,14:35:00,1800,1
27552156,15:30:00,20:30:00,1800,1
27552157,21:30:00,23:30:00,3600,1
27552189,05:45:00,06:45:00,1800,1
27552190,07:00:00,07:15:00,900,1
27552191,07:25:00,07:35:00,600,1
27552192,07:55:00,08:45:00,600,1
27552193,09:05:00,09:25:00,600,1
27552194,09:45:00,10:05:00,600,1
27552195,10:35:00,10:55:00,1200,1
27552196,11:35:00,11:55:00,1200,1
27552197,12:35:00,12:55:00,1200,1
27552198,13:35:00,13:55:00,1200,1
27552199,14:35:00,14:55:00,1200,1
27552200,15:35:00,15:55:00,1200,1
27552201,16:35:00,17:55:00,1200,1
27552202,18:05:00,18:25:00,1200,1
27552203,18:35:00,18:55:00,1200,1
27552204,19:05:00,19:25:00,1200,1
27552205,19:35:00,19:55:00,1200,1
27552206,20:05:00,21:05:00,1200,1
27552207,21:35:00,22:15:00,2400,1
27552208,22:45:00,23:45:00,1800,1
27552186,06:20:00,14:20:00,1800,1
27552187,15:15:00,21:15:00,1800,1
27552188,22:15:00,23:15:00,3600,1
27552183,07:50:00,14:20:00,1800,1
27552184,15:15:00,21:15:00,1800,1
27552185,22:15:00,23:15:00,3600,1
27552209,08:10:00,09:10:00,3600,1
27552216,06:00:00,06:50:00,1500,1
27552217,07:10:00,09:10:00,1200,1
27552219,10:10:00,17:10:00,3600,1
27552220,17:30:00,18:00:00,1800,1
27552221,18:20:00,20:40:00,1200,1
