trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
27552161,05:20:00,05:20:00,11_3005,0,,,,
27552161,05:21:18,05:21:33,11_1044,1,,,,
27552161,05:22:19,05:22:34,11_1053,2,,,,
27552161,05:23:33,05:23:48,11_3015,3,,,,
27552161,05:24:43,05:24:58,11_3006,4,,,,
27552161,05:26:06,05:26:21,11_3010,5,,,,
27552161,05:27:15,05:27:30,11_3011,6,,,,
27552161,05:28:20,05:28:35,11_3012,7,,,,
27552161,05:29:19,05:29:34,11_3100,8,,,,
27552161,05:30:20,05:30:35,11_3094,9,,,,
27552161,05:31:23,05:31:38,11_3096,10,,,,
27552161,05:32:24,05:32:39,11_3098,11,,,,
27552161,05:34:50,05:35:05,11_3179,12,,,,
27552162,06:30:00,06:30:00,11_3005,0,,,,
27552162,06:31:18,06:31:33,11_1044,1,,,,
27552162,06:32:19,06:32:34,11_1053,2,,,,
27552162,06:33:33,06:33:48,11_3015,3,,,,
27552162,06:34:43,06:34:58,11_3006,4,,,,
27552162,06:36:06,06:36:21,11_3010,5,,,,
27552162,06:37:15,06:37:30,11_3011,6,,,,
27552162,06:38:20,06:38:35,11_3012,7,,,,
27552162,06:39:19,06:39:34,11_3100,8,,,,
27552162,06:40:20,06:40:35,11_3094,9,,,,
27552162,06:41:23,06:41:38,11_3096,10,,,,
27552162,06:42:24,06:42:39,11_3098,11,,,,
27552162,06:44:50,06:45:05,11_3179,12,,,,
27552163,07:10:00,07:10:00,11_3005,0,,,,
27552163,07:11:18,07:11:33,11_1044,1,,,,
27552163,07:12:19,07:12:34,11_1053,2,,,,
27552163,07:13:33,07:13:48,11_3015,3,,,,
27552163,07:14:43,07:14:58,11_3006,4,,,,
27552163,07:16:06,07:16:21,11_3010,5,,,,
27552163,07:17:15,07:17:30,11_3011,6,,,,
27552163,07:18:20,07:18:35,11_3012,7,,,,
27552163,07:19:19,07:19:34,11_3100,8,,,,
27552163,07:20:20,07:20:35,11_3094,9,,,,
27552163,07:21:23,07:21:38,11_3096,10,,,,
27552163,07:22:24,07:22:39,11_3098,11,,,,
27552163,07:24:50,07:25:05,11_3179,12,,,,
27552164,07:35:00,07:35:00,11_3005,0,,,,
27552164,07:36:18,07:36:33,11_1044,1,,,,
27552164,07:37:19,07:37:34,11_1053,2,,,,
27552164,07:38:33,07:38:48,11_3015,3,,,,
27552164,07:39:43,07:39:58,11_3006,4,,,,
27552164,07:41:06,07:41:21,11_3010,5,,,,
27552164,07:42:15,07:42:30,11_3011,6,,,,
27552164,07:43:20,07:43:35,11_3012,7,,,,
27552164,07:44:19,07:44:34,11_3100,8,,,,
27552164,07:45:20,07:45:35,11_3094,9,,,,
27552164,07:46:23,07:46:38,11_3096,10,,,,
27552164,07:47:24,07:47:39,11_3098,11,,,,
27552164,07:49:50,07:50:05,11_3179,12,,,,
27552165,08:10:00,08:10:00,11_3005,0,,,,
27552165,08:11:18,08:11:33,11_1044,1,,,,
27552165,08:12:19,08:12:34,11_1053,2,,,,
27552165,08:13:33,08:13:48,11_3015,3,,,,
27552165,08:14:43,08:14:58,11_3006,4,,,,
27552165,08:16:06,08:16:21,11_3010,5,,,,
27552165,08:17:15,08:17:30,11_3011,6,,,,
27552165,08:18:20,08:18:35,11_3012,7,,,,
27552165,08:19:19,08:19:34,11_3100,8,,,,
27552165,08:20:20,08:20:35,11_3094,9,,,,
27552165,08:21:23,08:21:38,11_3096,10,,,,
27552165,08:22:24,08:22:39,11_3098,11,,,,
27552165,08:24:50,08:25:05,11_3179,12,,,,
27552166,08:45:00,08:45:00,11_3005,0,,,,
27552166,08:46:18,08:46:33,11_1044,1,,,,
27552166,08:47:19,08:47:34,11_1053,2,,,,
27552166,08:48:33,08:48:48,11_3015,3,,,,
27552166,08:49:43,08:49:58,11_3006,4,,,,
27552166,08:51:06,08:51:21,11_3010,5,,,,
27552166,08:52:15,08:52:30,11_3011,6,,,,
27552166,08:53:20,08:53:35,11_3012,7,,,,
27552166,08:54:19,08:54:34,11_3100,8,,,,
27552166,08:55:20,08:55:35,11_3094,9,,,,
27552166,08:56:23,08:56:38,11_3096,10,,,,
27552166,08:57:24,08:57:39,11_3098,11,,,,
27552166,08:59:50,09:00:05,11_3179,12,,,,
27552167,09:20:00,09:20:00,11_3005,0,,,,
27552167,09:21:18,09:21:33,11_1044,1,,,,
27552167,09:22:19,09:22:34,11_1053,2,,,,
27552167,09:23:33,09:23:48,11_3015,3,,,,
27552167,09:24:43,09:24:58,11_3006,4,,,,
27552167,09:26:06,09:26:21,11_3010,5,,,,
27552167,09:27:15,09:27:30,11_3011,6,,,,
27552167,09:28:20,09:28:35,11_3012,7,,,,
27552167,09:29:19,09:29:34,11_3100,8,,,,
27552167,09:30:20,09:30:35,11_3094,9,,,,
27552167,09:31:23,09:31:38,11_3096,10,,,,
27552167,09:32:24,09:32:39,11_3098,11,,,,
27552167,09:34:50,09:35:05,11_3179,12,,,,
27552168,09:45:00,09:45:00,11_3005,0,,,,
27552168,09:46:18,09:46:33,11_1044,1,,,,
27552168,09:47:19,09:47:34,11_1053,2,,,,
27552168,09:48:33,09:48:48,11_3015,3,,,,
27552168,09:49:43,09:49:58,11_3006,4,,,,
27552168,09:51:06,09:51:21,11_3010,5,,,,
27552168,09:52:15,09:52:30,11_3011,6,,,,
27552168,09:53:20,09:53:35,11_3012,7,,,,
27552168,09:54:19,09:54:34,11_3100,8,,,,
27552168,09:55:20,09:55:35,11_3094,9,,,,
27552168,09:56:23,09:56:38,11_3096,10,,,,
27552168,09:57:24,09:57:39,11_3098,11,,,,
27552168,09:59:50,10:00:05,11_3179,12,,,,
27552169,10:50:00,10:50:00,11_3005,0,,,,
27552169,10:51:18,10:51:33,11_1044,1,,,,
27552169,10:52:19,10:52:34,11_1053,2,,,,
27552169,10:53:33,10:53:48,11_3015,3,,,,
27552169,10:54:43,10:54:58,11_3006,4,,,,
27552169,10:56:06,10:56:21,11_3010,5,,,,
27552169,10:57:15,10:57:30,11_3011,6,,,,
27552169,10:58:20,10:58:35,11_3012,7,,,,
27552169,10:59:19,10:59:34,11_3100,8,,,,
27552169,11:00:20,11:00:35,11_3094,9,,,,
27552169,11:01:23,11:01:38,11_3096,10,,,,
27552169,11:02:24,11:02:39,11_3098,11,,,,
27552169,11:04:50,11:05:05,11_3179,12,,,,
27552170,11:50:00,11:50:00,11_3005,0,,,,
27552170,11:51:18,11:51:33,11_1044,1,,,,
27552170,11:52:19,11:52:34,11_1053,2,,,,
27552170,11:53:33,11:53:48,11_3015,3,,,,
27552170,11:54:43,11:54:58,11_3006,4,,,,
27552170,11:56:06,11:56:21,11_3010,5,,,,
27552170,11:57:15,11:57:30,11_3011,6,,,,
27552170,11:58:20,11:58:35,11_3012,7,,,,
27552170,11:59:19,11:59:34,11_3100,8,,,,
27552170,12:00:20,12:00:35,11_3094,9,,,,
27552170,12:01:23,12:01:38,11_3096,10,,,,
27552170,12:02:24,12:02:39,11_3098,11,,,,
27552170,12:04:50,12:05:05,11_3179,12,,,,
27552171,12:50:00,12:50:00,11_3005,0,,,,
27552171,12:51:18,12:51:33,11_1044,1,,,,
27552171,12:52:19,12:52:34,11_1053,2,,,,
27552171,12:53:33,12:53:48,11_3015,3,,,,
27552171,12:54:43,12:54:58,11_3006,4,,,,
27552171,12:56:06,12:56:21,11_3010,5,,,,
27552171,12:57:15,12:57:30,11_3011,6,,,,
27552171,12:58:20,12:58:35,11_3012,7,,,,
27552171,12:59:19,12:59:34,11_3100,8,,,,
27552171,13:00:20,13:00:35,11_3094,9,,,,
27552171,13:01:23,13:01:38,11_3096,10,,,,
27552171,13:02:24,13:02:39,11_3098,11,,,,
27552171,13:04:50,13:05:05,11_3179,12,,,,
27552172,13:50:00,13:50:00,11_3005,0,,,,
27552172,13:51:18,13:51:33,11_1044,1,,,,
27552172,13:52:19,13:52:34,11_1053,2,,,,
27552172,13:53:33,13:53:48,11_3015,3,,,,
27552172,13:54:43,13:54:58,11_3006,4,,,,
27552172,13:56:06,13:56:21,11_3010,5,,,,
27552172,13:57:15,13:57:30,11_3011,6,,,,
27552172,13:58:20,13:58:35,11_3012,7,,,,
27552172,13:59:19,13:59:34,11_3100,8,,,,
27552172,14:00:20,14:00:35,11_3094,9,,,,
27552172,14:01:23,14:01:38,11_3096,10,,,,
27552172,14:02:24,14:02:39,11_3098,11,,,,
27552172,14:04:50,14:05:05,11_3179,12,,,,
27552173,14:50:00,14:50:00,11_3005,0,,,,
27552173,14:51:18,14:51:33,11_1044,1,,,,
27552173,14:52:19,14:52:34,11_1053,2,,,,
27552173,14:53:33,14:53:48,11_3015,3,,,,
27552173,14:54:43,14:54:58,11_3006,4,,,,
27552173,14:56:06,14:56:21,11_3010,5,,,,
27552173,14:57:15,14:57:30,11_3011,6,,,,
27552173,14:58:20,14:58:35,11_3012,7,,,,
27552173,14:59:19,14:59:34,11_3100,8,,,,
27552173,15:00:20,15:00:35,11_3094,9,,,,
27552173,15:01:23,15:01:38,11_3096,10,,,,
27552173,15:02:24,15:02:39,11_3098,11,,,,
27552173,15:04:50,15:05:05,11_3179,12,,,,
27552174,15:50:00,15:50:00,11_3005,0,,,,
27552174,15:51:18,15:51:33,11_1044,1,,,,
27552174,15:52:19,15:52:34,11_1053,2,,,,
27552174,15:53:33,15:53:48,11_3015,3,,,,
27552174,15:54:43,15:54:58,11_3006,4,,,,
27552174,15:56:06,15:56:21,11_3010,5,,,,
27552174,15:57:15,15:57:30,11_3011,6,,,,
27552174,15:58:20,15:58:35,11_3012,7,,,,
27552174,15:59:19,15:59:34,11_3100,8,,,,
27552174,16:00:20,16:00:35,11_3094,9,,,,
27552174,16:01:23,16:01:38,11_3096,10,,,,
27552174,16:02:24,16:02:39,11_3098,11,,,,
27552174,16:04:50,16:05:05,11_3179,12,,,,
27552175,16:50:00,16:50:00,11_3005,0,,,,
27552175,16:51:18,16:51:33,11_1044,1,,,,
27552175,16:52:19,16:52:34,11_1053,2,,,,
27552175,16:53:33,16:53:48,11_3015,3,,,,
27552175,16:54:43,16:54:58,11_3006,4,,,,
27552175,16:56:06,16:56:21,11_3010,5,,,,
27552175,16:57:15,16:57:30,11_3011,6,,,,
27552175,16:58:20,16:58:35,11_3012,7,,,,
27552175,16:59:19,16:59:34,11_3100,8,,,,
27552175,17:00:20,17:00:35,11_3094,9,,,,
27552175,17:01:23,17:01:38,11_3096,10,,,,
27552175,17:02:24,17:02:39,11_3098,11,,,,
27552175,17:04:50,17:05:05,11_3179,12,,,,
27552176,18:05:00,18:05:00,11_3005,0,,,,
27552176,18:06:18,18:06:33,11_1044,1,,,,
27552176,18:07:19,18:07:34,11_1053,2,,,,
27552176,18:08:33,18:08:48,11_3015,3,,,,
27552176,18:09:43,18:09:58,11_3006,4,,,,
27552176,18:11:06,18:11:21,11_3010,5,,,,
27552176,18:12:15,18:12:30,11_3011,6,,,,
27552176,18:13:20,18:13:35,11_3012,7,,,,
27552176,18:14:19,18:14:34,11_3100,8,,,,
27552176,18:15:20,18:15:35,11_3094,9,,,,
27552176,18:16:23,18:16:38,11_3096,10,,,,
27552176,18:17:24,18:17:39,11_3098,11,,,,
27552176,18:19:50,18:20:05,11_3179,12,,,,
27552177,18:40:00,18:40:00,11_3005,0,,,,
27552177,18:41:18,18:41:33,11_1044,1,,,,
27552177,18:42:19,18:42:34,11_1053,2,,,,
27552177,18:43:33,18:43:48,11_3015,3,,,,
27552177,18:44:43,18:44:58,11_3006,4,,,,
27552177,18:46:06,18:46:21,11_3010,5,,,,
27552177,18:47:15,18:47:30,11_3011,6,,,,
27552177,18:48:20,18:48:35,11_3012,7,,,,
27552177,18:49:19,18:49:34,11_3100,8,,,,
27552177,18:50:20,18:50:35,11_3094,9,,,,
27552177,18:51:23,18:51:38,11_3096,10,,,,
27552177,18:52:24,18:52:39,11_3098,11,,,,
27552177,18:54:50,18:55:05,11_3179,12,,,,
27552178,19:10:00,19:10:00,11_3005,0,,,,
27552178,19:11:18,19:11:33,11_1044,1,,,,
27552178,19:12:19,19:12:34,11_1053,2,,,,
27552178,19:13:33,19:13:48,11_3015,3,,,,
