route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
192971,27552161,27552161,,,,192971
192971,27552162,27552162,,,,192971
192971,27552163,27552163,,,,192971
192971,27552164,27552164,,,,192971
192971,27552165,27552165,,,,192971
192971,27552166,27552166,,,,192971
192971,27552167,27552167,,,,192971
192971,27552168,27552168,,,,192971
192971,27552169,27552169,,,,192971
192971,27552170,27552170,,,,192971
192971,27552171,27552171,,,,192971
192971,27552172,27552172,,,,192971
192971,27552173,27552173,,,,192971
192971,27552174,27552174,,,,192971
192971,27552175,27552175,,,,192971
192971,27552176,27552176,,,,192971
192971,27552177,27552177,,,,192971
192971,27552178,27552178,,,,192971
192971,27552179,27552179,,,,192971
192971,27552180,27552180,,,,192971
192971,27552181,27552181,,,,192971
192971,27552182,27552182,,,,192971
192971,27552158,27552158,,,,192971
192971,27552159,27552159,,,,192971
192971,27552160,27552160,,,,192971
192971,27552155,27552155,,,,192971
192971,27552156,27552156,,,,192971
192971,27552157,27552157,,,,192971
192972,27552189,27552189,,,,192972
192972,27552190,27552190,,,,192972
192972,27552191,27552191,,,,192972
192972,27552192,27552192,,,,192972
192972,27552193,27552193,,,,192972
192972,27552194,27552194,,,,192972
192972,27552195,27552195,,,,192972
192972,27552196,27552196,,,,192972
192972,27552197,27552197,,,,192972
192972,27552198,27552198,,,,192972
192972,27552199,27552199,,,,192972
192972,27552200,27552200,,,,192972
192972,27552201,27552201,,,,192972
192972,27552202,27552202,,,,192972
192972,27552203,27552203,,,,192972
192972,27552204,27552204,,,,192972
192972,27552205,27552205,,,,192972
192972,27552206,27552206,,,,192972
192972,27552207,27552207,,,,192972
192972,27552208,27552208,,,,192972
192972,27552186,27552186,,,,192972
192972,27552187,27552187,,,,192972
192972,27552188,27552188,,,,192972
192972,27552183,27552183,,,,192972
192972,27552184,27552184,,,,192972
192972,27552185,27552185,,,,192972
192973,27552218,27552218,,,,192973
192973,27552213,27552213,,,,192973
192973,27552215,27552215,,,,192973
192973,27552211,27552211,,,,192973
192973,27552209,27552209,,,,192973
192973,27552216,27552216,,,,192973
192973,27552217,27552217,,,,192973
192973,27552219,27552219,,,,192973
192973,27552220,27552220,,,,192973
192973,27552221,27552221,,,,192973
192973,27552214,27552214,,,,192973
192973,27552212,27552212,,,,192973
192973,27552210,27552210,,,,192973
192974,27552226,27552226,,,,192974
