service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
5904858,1,1,1,1,1,0,0,20140426,20240426
5904860,1,1,1,1,1,0,0,20140426,20240426
5904862,1,1,1,1,1,0,0,20140426,20240426
5904864,1,1,1,1,1,0,0,20140426,20240426
5904866,1,1,1,1,1,0,0,20140426,20240426
5904868,1,1,1,1,1,0,0,20140426,20240426
5904872,1,1,1,1,1,0,0,20140426,20240426
5904874,1,1,1,1,1,0,0,20140426,20240426
5904876,1,1,1,1,1,0,0,20140426,20240426
5904878,1,1,1,1,1,0,0,20140426,20240426
5904880,1,1,1,1,1,0,0,20140426,20240426
5904882,1,1,1,1,1,0,0,20140426,20240426
5904886,0,0,0,0,0,1,0,20140426,20240426
5904888,0,0,0,0,0,1,0,20140426,20240426
5904890,0,0,0,0,0,1,0,20140426,20240426
5904892,0,0,0,0,0,1,0,20140426,20240426
5904894,0,0,0,0,0,1,0,20140426,20240426
5904896,0,0,0,0,0,1,0,20140426,20240426
5904901,0,0,0,0,0,1,0,20140426,20240426
5904903,0,0,0,0,0,1,0,20140426,20240426
5904905,0,0,0,0,0,1,0,20140426,20240426
5904907,0,0,0,0,0,1,0,20140426,20240426
5904909,0,0,0,0,0,1,0,20140426,20240426
5904915,0,0,0,0,0,0,1,20140426,20240426
5904917,0,0,0,0,0,0,1,20140426,20240426
5904919,0,0,0,0,0,0,1,20140426,20240426
5904921,0,0,0,0,0,0,1,20140426,20240426
5904926,0,0,0,0,0,0,1,20140426,20240426
5904928,0,0,0,0,0,0,1,20140426,20240426
5904930,0,0,0,0,0,0,1,20140426,20240426
5904932,0,0,0,0,0,0,1,20140426,20240426
5904934,0,0,0,0,0,0,1,20140426,20240426
5904913,0,0,0,0,0,0,1,20140426,20240426
5904988,1,1,1,1,1,0,0,20140426,20240426
5904990,1,1,1,1,1,0,0,20140426,20240426
5904992,1,1,1,1,1,0,0,20140426,20240426
5904994,1,1,1,1,1,0,0,20140426,20240426
5904996,1,1,1,1,1,0,0,20140426,20240426
5904998,1,1,1,1,1,0,0,20140426,20240426
5905000,1,1,1,1,1,0,0,20140426,20240426
5905002,1,1,1,1,1,0,0,20140426,20240426
5905004,1,1,1,1,1,0,0,20140426,20240426
5905006,1,1,1,1,1,0,0,20140426,20240426
5905008,1,1,1,1,1,0,0,20140426,20240426
5905010,1,1,1,1,1,0,0,20140426,20240426
5905012,1,1,1,1,1,0,0,20140426,20240426
5905014,1,1,1,1,1,0,0,20140426,20240426
5904938,1,1,1,1,1,0,0,20140426,20240426
