shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
172,38.69442,-9.19836,1,
172,38.67815,-9.20694,2,
172,38.6742182067951,-9.23119084851572,3,
173,38.70509,-9.14625,1,
173,38.68847,-9.14736,2,
175,38.70509,-9.14625,1,
175,38.64716,-9.09568,2,
177,38.70509,-9.14625,1,
177,38.70025,-9.00558,2,
178,38.6742182067951,-9.23119084851572,1,
178,38.67815,-9.20694,2,
178,38.69442,-9.19836,3,
179,38.68847,-9.14736,1,
179,38.70509,-9.14625,2,
181,38.64716,-9.09568,1,
181,38.70509,-9.14625,2,
183,38.70025,-9.00558,1,
183,38.70509,-9.14625,2,
862,38.67815,-9.20694,1,
862,38.69442,-9.19836,2,
863,38.65182,-9.07972,1,
863,38.70684,-9.13455,2,
864,38.70684,-9.13455,1,
864,38.65182,-9.07972,2,
192236,38.69442,-9.19836,1,
192236,38.6742182067951,-9.23119084851572,2,
192236,38.67815,-9.20694,3,
