trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
5904858,07:00:00,07:00:00,T01,0,,,,
5904858,07:12:00,07:12:00,T02,1,,,,
5904858,07:22:00,07:22:00,T03,2,,,,
5904860,08:00:00,08:00:00,T01,0,,,,
5904860,08:12:00,08:12:00,T02,1,,,,
5904860,08:22:00,08:22:00,T03,2,,,,
5904862,09:00:00,09:00:00,T01,0,,,,
5904862,09:12:00,09:12:00,T02,1,,,,
5904862,09:22:00,09:22:00,T03,2,,,,
5904864,10:00:00,10:00:00,T01,0,,,,
5904864,10:12:00,10:12:00,T02,1,,,,
5904864,10:22:00,10:22:00,T03,2,,,,
5904866,11:30:00,11:30:00,T01,0,,,,
5904866,11:42:00,11:42:00,T02,1,,,,
5904866,11:52:00,11:52:00,T03,2,,,,
5904868,12:30:00,12:30:00,T01,0,,,,
5904868,12:42:00,12:42:00,T02,1,,,,
5904868,12:52:00,12:52:00,T03,2,,,,
5904872,15:30:00,15:30:00,T01,0,,,,
5904872,15:42:00,15:42:00,T02,1,,,,
5904872,15:52:00,15:52:00,T03,2,,,,
5904874,16:30:00,16:30:00,T01,0,,,,
5904874,16:42:00,16:42:00,T02,1,,,,
5904874,16:52:00,16:52:00,T03,2,,,,
5904876,17:30:00,17:30:00,T01,0,,,,
5904876,17:42:00,17:42:00,T02,1,,,,
5904876,17:52:00,17:52:00,T03,2,,,,
5904878,18:30:00,18:30:00,T01,0,,,,
5904878,18:42:00,18:42:00,T02,1,,,,
5904878,18:52:00,18:52:00,T03,2,,,,
5904880,19:30:00,19:30:00,T01,0,,,,
5904880,19:42:00,19:42:00,T02,1,,,,
5904880,19:52:00,19:52:00,T03,2,,,,
5904882,21:00:00,21:00:00,T01,0,,,,
5904882,21:12:00,21:12:00,T02,1,,,,
5904882,21:22:00,21:22:00,T03,2,,,,
5904886,07:30:00,07:30:00,T01,0,,,,
5904886,07:42:00,07:42:00,T02,1,,,,
5904886,07:52:00,07:52:00,T03,2,,,,
5904888,08:30:00,08:30:00,T01,0,,,,
5904888,08:42:00,08:42:00,T02,1,,,,
5904888,08:52:00,08:52:00,T03,2,,,,
5904890,09:30:00,09:30:00,T01,0,,,,
5904890,09:42:00,09:42:00,T02,1,,,,
5904890,09:52:00,09:52:00,T03,2,,,,
5904892,10:30:00,10:30:00,T01,0,,,,
5904892,10:42:00,10:42:00,T02,1,,,,
5904892,10:52:00,10:52:00,T03,2,,,,
5904894,12:00:00,12:00:00,T01,0,,,,
5904894,12:12:00,12:12:00,T02,1,,,,
5904894,12:22:00,12:22:00,T03,2,,,,
5904896,13:00:00,13:00:00,T01,0,,,,
5904896,13:12:00,13:12:00,T02,1,,,,
5904896,13:22:00,13:22:00,T03,2,,,,
5904901,15:30:00,15:30:00,T01,0,,,,
