service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
27550466,1,1,1,1,1,0,0,20210125,20220125
27550467,1,1,1,1,1,0,0,20210125,20220125
27550462,0,0,0,0,0,1,0,20210125,20220125
27550463,0,0,0,0,0,1,0,20210125,20220125
27550464,0,0,0,0,0,1,0,20210125,20220125
27550465,0,0,0,0,0,1,0,20210125,20220125
27550458,0,0,0,0,0,0,1,20210125,20220125
27550459,0,0,0,0,0,0,1,20210125,20220125
27550460,0,0,0,0,0,0,1,20210125,20220125
27550461,0,0,0,0,0,0,1,20210125,20220125
27550476,1,1,1,1,1,0,0,20210125,20220125
27550472,0,0,0,0,0,1,0,20210125,20220125
27550473,0,0,0,0,0,1,0,20210125,20220125
27550474,0,0,0,0,0,1,0,20210125,20220125
27550475,0,0,0,0,0,1,0,20210125,20220125
27550468,0,0,0,0,0,0,1,20210125,20220125
27550469,0,0,0,0,0,0,1,20210125,20220125
27550470,0,0,0,0,0,0,1,20210125,20220125
27550471,0,0,0,0,0,0,1,20210125,20220125
27550517,0,0,0,0,0,1,0,20210125,20220125
27550519,0,0,0,0,0,1,0,20210125,20220125
27550521,0,0,0,0,0,1,0,20210125,20220125
27550523,0,0,0,0,0,1,0,20210125,20220125
27550525,0,0,0,0,0,1,0,20210125,20220125
27550527,0,0,0,0,0,1,0,20210125,20220125
27550529,0,0,0,0,0,1,0,20210125,20220125
27550531,0,0,0,0,0,1,0,20210125,20220125
27550515,0,0,0,0,0,0,1,20210125,20220125
27550511,0,0,0,0,0,0,1,20210125,20220125
27550513,0,0,0,0,0,0,1,20210125,20220125
27550503,0,0,0,0,0,0,1,20210125,20220125
27550505,0,0,0,0,0,0,1,20210125,20220125
27550507,0,0,0,0,0,0,1,20210125,20220125
27550509,0,0,0,0,0,0,1,20210125,20220125
27550501,0,0,0,0,0,0,1,20210125,20220125
27550533,1,1,1,1,1,0,0,20210125,20220125
27550534,1,1,1,1,1,0,0,20210125,20220125
27550535,1,1,1,1,1,0,0,20210125,20220125
27550536,1,1,1,1,1,0,0,20210125,20220125
27550537,1,1,1,1,1,0,0,20210125,20220125
27550538,1,1,1,1,1,0,0,20210125,20220125
27550539,1,1,1,1,1,0,0,20210125,20220125
27550526,0,0,0,0,0,1,0,20210125,20220125
27550524,0,0,0,0,0,1,0,20210125,20220125
27550522,0,0,0,0,0,1,0,20210125,20220125
27550520,0,0,0,0,0,1,0,20210125,20220125
27550518,0,0,0,0,0,1,0,20210125,20220125
27550530,0,0,0,0,0,1,0,20210125,20220125
27550528,0,0,0,0,0,1,0,20210125,20220125
27550514,0,0,0,0,0,0,1,20210125,20220125
27550512,0,0,0,0,0,0,1,20210125,20220125
27550510,0,0,0,0,0,0,1,20210125,20220125
27550508,0,0,0,0,0,0,1,20210125,20220125
27550506,0,0,0,0,0,0,1,20210125,20220125
27550504,0,0,0,0,0,0,1,20210125,20220125
27550502,0,0,0,0,0,0,1,20210125,20220125
27550540,1,1,1,1,1,0,0,20210125,20220125
27550532,0,0,0,0,0,1,0,20210125,20220125
27550516,0,0,0,0,0,0,1,20210125,20220125
27550556,0,0,0,0,0,1,0,20210125,20220125
27550557,0,0,0,0,0,1,0,20210125,20220125
27550559,0,0,0,0,0,1,0,20210125,20220125
27550561,0,0,0,0,0,1,0,20210125,20220125
27550563,0,0,0,0,0,1,0,20210125,20220125
27550565,0,0,0,0,0,1,0,20210125,20220125
27550567,0,0,0,0,0,1,0,20210125,20220125
27550569,0,0,0,0,0,1,0,20210125,20220125
27550554,0,0,0,0,0,0,1,20210125,20220125
27550544,0,0,0,0,0,0,1,20210125,20220125
27550546,0,0,0,0,0,0,1,20210125,20220125
27550548,0,0,0,0,0,0,1,20210125,20220125
27550550,0,0,0,0,0,0,1,20210125,20220125
27550552,0,0,0,0,0,0,1,20210125,20220125
27550541,0,0,0,0,0,0,1,20210125,20220125
27550542,0,0,0,0,0,0,1,20210125,20220125
27550571,1,1,1,1,1,0,0,20210125,20220125
27550572,1,1,1,1,1,0,0,20210125,20220125
27550573,1,1,1,1,1,0,0,20210125,20220125
27550574,1,1,1,1,1,0,0,20210125,20220125
27550575,1,1,1,1,1,0,0,20210125,20220125
27550576,1,1,1,1,1,0,0,20210125,20220125
27550577,1,1,1,1,1,0,0,20210125,20220125
27550558,0,0,0,0,0,1,0,20210125,20220125
27550562,0,0,0,0,0,1,0,20210125,20220125
27550560,0,0,0,0,0,1,0,20210125,20220125
27550568,0,0,0,0,0,1,0,20210125,20220125
27550566,0,0,0,0,0,1,0,20210125,20220125
27550564,0,0,0,0,0,1,0,20210125,20220125
27550553,0,0,0,0,0,0,1,20210125,20220125
