trip_id,start_time,end_time,headway_secs,exact_times
27550466,08:25:00,18:25:00,3600,1
27550462,08:25:00,10:25:00,3600,1
27550463,12:25:00,13:25:00,3600,1
27550464,15:25:00,17:25:00,7200,1
27550465,18:25:00,19:55:00,5400,1
27550458,08:25:00,10:25:00,3600,1
27550459,12:25:00,13:25:00,3600,1
27550460,15:25:00,17:25:00,7200,1
27550461,18:25:00,19:55:00,5400,1
27550476,08:00:00,19:00:00,3600,1
27550472,08:00:00,10:00:00,3600,1
27550473,12:00:00,13:00:00,3600,1
27550474,15:00:00,17:00:00,7200,1
27550475,18:00:00,19:00:00,3600,1
27550468,08:00:00,10:00:00,3600,1
27550469,12:00:00,13:00:00,3600,1
27550470,15:00:00,17:00:00,7200,1
27550471,18:00:00,19:00:00,3600,1
27550517,07:15:00,09:15:00,1800,1
27550519,10:15:00,11:20:00,3900,1
27550523,15:00:00,16:35:00,5700,1
27550531,21:30:00,22:30:00,3600,1
27550515,21:30:00,22:30:00,3600,1
27550503,10:15:00,11:20:00,3900,1
27550507,15:00:00,16:35:00,5700,1
27550501,07:15:00,09:15:00,1800,1
27550533,07:15:00,10:15:00,1800,1
27550534,11:20:00,12:00:00,2400,1
27550535,13:10:00,13:50:00,2400,1
27550536,14:25:00,15:00:00,2100,1
27550537,16:35:00,17:05:00,1800,1
27550538,18:05:00,19:10:00,3900,1
27550539,20:10:00,21:30:00,4800,1
27550520,12:05:00,13:20:00,4500,1
27550504,12:05:00,13:20:00,4500,1
27550540,22:30:00,23:30:00,3600,1
27550556,07:15:00,09:45:00,1800,1
27550569,21:00:00,23:00:00,3600,1
27550554,21:00:00,23:00:00,3600,1
27550541,07:15:00,09:45:00,1800,1
27550571,07:15:00,09:45:00,1800,1
27550572,10:45:00,11:25:00,2400,1
27550573,12:35:00,13:20:00,2700,1
27550574,13:50:00,14:25:00,2100,1
27550575,15:35:00,16:30:00,3300,1
27550576,17:10:00,18:35:00,5100,1
27550577,19:40:00,20:50:00,4200,1
27550558,11:30:00,12:45:00,4500,1
27550562,15:35:00,16:40:00,3900,1
27550547,15:35:00,16:40:00,3900,1
27550543,11:30:00,12:45:00,4500,1
27550578,22:00:00,23:00:00,3600,1
27550581,06:15:00,10:45:00,1800,1
27550582,11:45:00,16:45:00,3600,1
