ParishCode;Parish;MF;M;F;MedianRent_per_m2;Area(Km2)
110601;Ajuda;137;70;67;11.70;2.88
110602;Alcântara;182;94;88;10.98;5.07
110654;Alvalade;356;179;177;11.10;2.48
110655;Areeiro;211;106;105;10.91;8.02
110656;Arroios;379;192;187;10.94;2.77
110657;Avenidas Novas;271;135;136;11.85;3.69
110607;Beato;117;53;64;10.64;6.57
110658;Belém;173;91;82;11.21;7.12
110608;Benfica;293;143;150;10.83;8.09
110659;Campo de Ourique;241;124;117;12.3;4.29
110610;Campolide;166;79;87;12.10;5.34
110611;Carnide;162;73;89;11.54;1.72
110660;Estrela;245;123;122;12.17;2.13
110618;Lumiar;482;232;250;10.24;2.99
110621;Marvila;320;175;145;10.00;10.43
110661;Misericórdia;108;47;61;13.40;1.65
110633;Olivais;258;128;130;10.81;4.60
110662;Parque das Nações;182;92;90;12.93;2.19
110663;Penha de França;352;165;187;11.11;5.44
110664;Santa Clara;316;150;166;7.95;2.71
110665;Santa Maria Maior;152;76;76;12.92;3.36
110666;Santo António;115;63;52;13.83;3.01
110639;São Domingos de Benfica;326;167;159;11.57;1.49
110667;São Vicente;153;84;69;11.76;1.99
131202;Bonfim;178;91;87;9.80;3.10
131203;Campanhã;302;136;166;7.87;8.04
131210;Paranhos;374;198;176;8.17;7.17
131211;Ramalde;310;144;166;8.37;5.83
131216;União das freguesias de Aldoar, Foz do Douro e Nevogilde;244;118;126;9.03;6.27
131217;União das freguesias de Cedofeita,  Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;305;157;148;9.13;5.43
131218;União das freguesias de Lordelo do Ouro e Massarelos;217;113;104;9.22;5.59
