Green_Zone_name,avg_opening_hours,avg_spend_time(in min),Rating,Opening(Fulltime/Part time),air_quality_index,no2,o3,so2,pm2_5,pm10,co
ESPAÇO JOGO E RECREIO HOMEM DO LEME,24,75,4.4,1,1,0.1,53.64,0.93,8.4,18.65,236.99
JARDIM AFONSO DE ALBUQUERQUE,24,45,4.4,1,1,0.08,46.49,0.9,9.81,11.4,230.31
JARDIM ALAMEDA CIDADE UNIVERSITÁRIA,6.25,60,4.8,0,1,0.08,46.49,0.9,9.81,11.4,230.31
JARDIM ALAMEDA DOM AFONSO HENRIQUES,24,45,4.5,1,1,0.08,46.49,0.9,9.81,11.4,230.31
JARDIM AMÁLIA RODRIGUES,24,60,4.6,1,1,0.08,46.49,0.9,9.81,11.4,230.31
JARDIM AMÉLIA CARVALHEIRA,24,45,3.7,1,1,0.08,46.49,0.9,9.81,11.4,230.31
JARDIM ANTÓNIO NOBRE,24,30,4.5,1,1,0.08,46.49,0.9,9.81,11.4,230.31
JARDIM AVELAR BROTERO,24,45,4.5,1,1,0.08,46.49,0.9,9.81,11.4,230.31
JARDIM BASÍLIO TELES,24,45,4.3,1,1,0.1,53.64,0.93,8.4,18.65,236.99
JARDIM BENTO MARTINS,24,60,4.4,1,1,0.08,46.49,0.9,9.81,11.4,230.31
JARDIM BOTÂNICO LISBOA,10,60,4,0,1,0.08,46.49,0.9,9.81,11.4,230.31
JARDIM BOTÂNICO PORTO,10,60,4.7,0,1,0.1,53.64,0.93,8.4,18.65,236.99
JARDIM BRAAMCAMP FREIRE,24,60,4.5,1,1,0.08,46.49,0.9,9.81,11.4,230.31
JARDIM CONSTANTINO,24,30,3.9,1,1,0.08,46.49,0.9,9.81,11.4,230.31
JARDIM DA BOAVISTA,24,30,4.5,1,1,0.1,53.64,0.93,8.4,18.65,236.99
JARDIM DA CORUJEIRA,24,30,4,1,1,0.09,51.5,0.86,8.42,19.25,236.99
JARDIM DA LUZ,8,60,4.2,0,1,0.08,46.49,0.9,9.81,11.4,230.31
JARDIM DA RIBEIRA DAS NAUS,10,40,4.2,0,1,0.08,46.49,0.9,9.81,11.4,230.31
JARDIM DAS AMOREIRAS,24,60,4.5,1,1,0.08,46.49,0.9,9.81,11.4,230.31
JARDIM DE BUCELAS,24,45,4,1,2,0.08,42.92,0.83,10.2,11.73,230.31
JARDIM DE LOPES DE MENDONÇA,24,45,4.1,1,1,0.08,46.49,0.9,9.81,11.4,230.31
JARDIM DE SANTOS,12,60,4.1,0,1,0.08,46.49,0.9,9.81,11.4,230.31
JARDIM DE TEÓFILO BRAGA,24,45,4.2,1,1,0.1,53.64,0.93,8.4,18.65,236.99
JARDIM DO ARCO DO CEGO,24,45,4.1,1,1,0.08,46.49,0.9,9.81,11.4,230.31
JARDIM DO CAMPO GRANDE,24,60,4.4,1,1,0.08,46.49,0.9,9.81,11.4,230.31
JARDIM DO CAMPO PEQUENO,9,90,4.2,0,1,0.08,46.49,0.9,9.81,11.4,230.31
JARDIM DO PALÁCIO DA BOLSA,10,30,4.5,0,1,0.1,53.64,0.93,8.4,18.65,236.99
JARDIM DO PALÁCIO DE BEAU-SÉJOUR,10,75,4.3,0,1,0.08,46.49,0.9,9.81,11.4,230.31
JARDIM DO PALÁCIO DE CRISTAL,11,45,4.5,0,1,0.1,53.64,0.93,8.4,18.65,236.99
JARDIM DO PRÍNCIPE REAL,24,45,4.5,1,1,0.08,46.49,0.9,9.81,11.4,230.31
JARDIM DOM LUÍS I,24,60,4.4,1,1,0.08,46.49,0.9,9.81,11.4,230.31
JARDIM FERNANDO PESSA,24,60,4.4,1,1,0.08,46.49,0.9,9.81,11.4,230.31
JARDIM FRANCISCO CALDEIRA CABRAL,24,60,4.4,1,1,0.08,46.49,0.9,9.81,11.4,230.31
JARDIM FRANCISCO SÁ CARNEIRO,24,45,4.3,1,1,0.09,51.5,0.86,8.42,19.25,236.99
JARDIM FUNDAÇÃO CALOUSTE GULBENKIAN,11.5,90,4.7,0,1,0.08,46.49,0.9,9.81,11.4,230.31
JARDIM GARCIA DORTA,9,60,4.1,0,1,0.08,46.49,0.9,9.81,11.4,230.31
JARDIM IRMÃ LÚCIA,24,45,4.1,1,1,0.08,46.49,0.9,9.81,11.4,230.31
JARDIM JOÃO FREDERICO LUDOVICE,9,40,4.6,0,2,0.08,47.92,0.97,10.47,12.12,233.65
JARDIM LISBOA ANTIGA,24,60,4.7,1,1,0.08,46.49,0.9,9.81,11.4,230.31
JARDIM NOVE DE ABRIL,25,45,4.6,1,1,0.08,46.49,0.9,9.81,11.4,230.31
JARDIM PAULO VALLADA,24,45,4.3,1,1,0.09,51.5,0.86,8.42,19.25,236.99
JARDIM PROF. ANTÓNIO SOUSA FRANCO,24,60,4.4,1,1,0.08,46.49,0.9,9.81,11.4,230.31
JRD. CP. VINTE E QUATRO DE AGOSTO,24,45,4,1,1,0.09,51.5,0.86,8.42,19.25,236.99
MATA DE BENFICA,12,60,4.6,0,2,0.08,47.92,0.97,10.47,12.12,233.65
PARQUE DA CIDADE DE LOURES,10,45,4,0,2,0.08,42.92,0.83,10.2,11.73,230.31
PARQUE DE SÃO ROQUE,12,60,4.5,0,1,0.09,51.5,0.86,8.42,19.25,236.99
PARQUE DOS ANJOS,10,30,4,0,2,0.08,47.92,0.97,10.47,12.12,233.65
PARQUE EDUARDO VII,24,60,4.5,1,1,0.08,46.49,0.9,9.81,11.4,230.31
PARQUE INFANTIL CONDE DE BONFIM,12,45,4.2,0,1,0.08,46.49,0.9,9.81,11.4,230.31
PARQUE INFANTIL DO IPO,10,30,4.5,0,1,0.08,46.49,0.9,9.81,11.4,230.31
PARQUE INFANTIL PRAÇA DE LONDRES,12,60,4.3,0,1,0.08,46.49,0.9,9.81,11.4,230.31
PARQUE JOSÉ FONTANA,10,20,4,0,1,0.08,46.49,0.9,9.81,11.4,230.31
PARQUE RECREATIVO ALTO DA SERAFINA,9,60,4.5,0,1,0.08,46.49,0.9,9.81,11.4,230.31
PARQUE URBANO DA QUINTA DA GRANJA,24,45,4.4,1,1,0.08,46.49,0.9,9.81,11.4,230.31
PARQUE URBANO DA QUINTA NOVA,9,45,4.6,0,1,0.08,46.49,0.9,9.81,11.4,230.31
PARQUE URBANO DO CASTELINHO,7.5,45,4.6,0,1,0.08,46.49,0.9,9.81,11.4,230.31
PARQUE URBANO DO SILVADO,24,45,3.9,1,1,0.08,46.49,0.9,9.81,11.4,230.31
PQ. INFA. JARD. MARQUÊS DE MARIALA,9,75,4.2,0,1,0.08,46.49,0.9,9.81,11.4,230.31
PQ. INFA. JARDIM GOMES DE AMORIM,8,20,3.8,0,1,0.08,46.49,0.9,9.81,11.4,230.31
PQ. INFANTIL AV. MARQUÊS DE TOMAR,24,30,3.7,1,1,0.08,46.49,0.9,9.81,11.4,230.31
PQ. INFANTIL HOSPITAL DE SANTA MARIA,24,45,3.6,1,1,0.08,46.49,0.9,9.81,11.4,230.31
PRAÇA NOVE DE ABRIL,24,60,4,1,1,0.1,53.64,0.93,8.4,18.65,236.99
