Green_Zone_name|Number of Museums in influence area|Number of parking lots in influence area|Number of tourist attractions in influence area|Green Zones Daily Average Demand|Resident|Daily average of people in influence area|Number of buildings in influence area|Number of families in influence area|Number of people resident in influence area|perc_senior_pop|perc_pop_until_19_yo|POINT_X|POINT_Y
"ESPAÇO JOGO E RECREIO HOMEM DO LEME"|5|28|30|3.728677|1|17780.803014|4783|15352|38012|0.195123|0.196017|-8.684150|41.160010
"ESPAÇO JOGO E RECREIO HOMEM DO LEME"|5|28|30|3.728677|0|45787.629298|4783|15352|38012|0.195123|0.196017|-8.684150|41.160010
"JARDIM AFONSO DE ALBUQUERQUE"|93|129|78|10.259113|0|42877.741202|1775|17185|41163|0.161747|0.204917|-9.199490|38.696740
"JARDIM AFONSO DE ALBUQUERQUE"|93|129|78|10.259113|1|17497.825376|1775|17185|41163|0.161747|0.204917|-9.199490|38.696740
"JARDIM ALAMEDA CIDADE UNIVERSITÁRIA"|8|23|4|47.347816|0|42877.741202|1775|17185|41163|0.161747|0.204917|-9.157570|38.752940
"JARDIM ALAMEDA CIDADE UNIVERSITÁRIA"|8|23|4|47.347816|1|17497.825376|1775|17185|41163|0.161747|0.204917|-9.157570|38.752940
"JARDIM ALAMEDA DOM AFONSO HENRIQUES"|105|175|84|41.485945|0|6008.626849|5028|10598|27362|0.161501|0.209341|-9.132070|38.737570
"JARDIM ALAMEDA DOM AFONSO HENRIQUES"|105|175|84|41.485945|1|17235.051457|5028|10598|27362|0.161501|0.209341|-9.132070|38.737570
"JARDIM AMÁLIA RODRIGUES"|8|8|4|5.768512|0|32809.647241|2472|6729|15460|0.240815|0.163131|-9.154590|38.730620
"JARDIM AMÁLIA RODRIGUES"|8|8|4|5.768512|1|7104.740926|2472|6729|15460|0.240815|0.163131|-9.154590|38.730620
"JARDIM AMÉLIA CARVALHEIRA"|104|139|72|57.137086|0|491.636442|2041|4529|12701|0.104874|0.260294|-9.150180|38.739190
"JARDIM AMÉLIA CARVALHEIRA"|104|139|72|57.137086|1|9928.080489|2041|4529|12701|0.104874|0.260294|-9.150180|38.739190
"JARDIM ANTÓNIO NOBRE"|93|79|50|4.468216|0|42877.741202|1775|17185|41163|0.161747|0.204917|-9.144540|38.715020
"JARDIM ANTÓNIO NOBRE"|93|79|50|4.468216|1|17497.825376|1775|17185|41163|0.161747|0.204917|-9.144540|38.715020
"JARDIM AVELAR BROTERO"|10|3|3|2.669232|0|4306.692559|2837|6982|15584|0.295239|0.157662|-9.184300|38.703890
"JARDIM AVELAR BROTERO"|10|3|3|2.669232|1|1485.605277|2837|6982|15584|0.295239|0.157662|-9.184300|38.703890
"JARDIM BASÍLIO TELES"|38|112|65|640.473552|1|41788.185885|9171|19608|50713|0.158520|0.202769|-8.683070|41.182370
"JARDIM BASÍLIO TELES"|38|112|65|640.473552|0|41882.736602|9171|19608|50713|0.158520|0.202769|-8.683070|41.182370
"JARDIM BENTO MARTINS"|5|10|5|13.560461|0|42877.741202|1775|17185|41163|0.161747|0.204917|-9.186990|38.757550
"JARDIM BENTO MARTINS"|5|10|5|13.560461|1|17497.825376|1775|17185|41163|0.161747|0.204917|-9.186990|38.757550
"JARDIM BOTÂNICO LISBOA"|105|166|93|90.464569|0|6158.589427|6464|19554|48629|0.162598|0.209196|-9.150310|38.717420
"JARDIM BOTÂNICO LISBOA"|105|166|93|90.464569|1|8136.902253|6464|19554|48629|0.162598|0.209196|-9.150310|38.717420
"JARDIM BOTÂNICO PORTO"|25|53|45|19.109675|0|52834.126879|5428|10994|24265|0.271337|0.149062|-8.642320|41.154020
"JARDIM BOTÂNICO PORTO"|25|53|45|19.109675|1|16782.664422|5428|10994|24265|0.271337|0.149062|-8.642320|41.154020
"JARDIM BRAAMCAMP FREIRE"|99|123|65|11.704812|0|36577.848107|3521|24581|59559|0.161672|0.197283|-9.140400|38.721780
"JARDIM BRAAMCAMP FREIRE"|99|123|65|11.704812|1|30892.425376|3521|24581|59559|0.161672|0.197283|-9.140400|38.721780
"JARDIM CONSTANTINO"|105|164|78|17.061195|0|491.636442|2041|4529|12701|0.104874|0.260294|-9.136940|38.731200
"JARDIM CONSTANTINO"|105|164|78|17.061195|1|9928.080489|2041|4529|12701|0.104874|0.260294|-9.136940|38.731200
"JARDIM DA BOAVISTA"|19|19|13|36.412048|0|45787.629298|4783|15352|38012|0.195123|0.196017|-8.627950|41.158060
"JARDIM DA BOAVISTA"|19|19|13|36.412048|1|17780.803014|4783|15352|38012|0.195123|0.196017|-8.627950|41.158060
"JARDIM DA CORUJEIRA"|5|7|4|15.894415|0|41882.736602|9171|19608|50713|0.158520|0.202769|-8.578620|41.157690
"JARDIM DA CORUJEIRA"|5|7|4|15.894415|1|41788.185885|9171|19608|50713|0.158520|0.202769|-8.578620|41.157690
"JARDIM DA LUZ"|0|0|0|49.334537|0|27936.088720|1804|9064|23316|0.155516|0.219163|-9.183430|38.760390
"JARDIM DA LUZ"|0|0|0|49.334537|1|6794.558127|1804|9064|23316|0.155516|0.219163|-9.183430|38.760390
"JARDIM DA RIBEIRA DAS NAUS"|72|60|43|1.495627|0|8821.912635|1553|14194|38102|0.186998|0.193139|-9.141300|38.705960
"JARDIM DA RIBEIRA DAS NAUS"|72|60|43|1.495627|1|22274.016565|1553|14194|38102|0.186998|0.193139|-9.141300|38.705960
"JARDIM DAS AMOREIRAS"|13|8|6|196.847368|0|32809.647241|2472|6729|15460|0.240815|0.163131|-9.158080|38.723130
"JARDIM DAS AMOREIRAS"|13|8|6|196.847368|1|7104.740926|2472|6729|15460|0.240815|0.163131|-9.158080|38.723130
"JARDIM DE BUCELAS"|0|1|0|5.665942|0|250.571925|2063|1893|4663|0.226678|0.174780|-9.117490|38.901020
"JARDIM DE BUCELAS"|0|1|0|5.665942|1|552.667924|2063|1893|4663|0.226678|0.174780|-9.117490|38.901020
"JARDIM DE LOPES DE MENDONÇA"|97|107|63|71.019774|0|36577.848107|3521|24581|59559|0.161672|0.197283|-9.144370|38.730360
"JARDIM DE LOPES DE MENDONÇA"|97|107|63|71.019774|1|30892.425376|3521|24581|59559|0.161672|0.197283|-9.144370|38.730360
"JARDIM DE SANTOS"|77|56|46|10.972778|0|48833.540984|1753|15298|33745|0.246259|0.169625|-9.154410|38.706900
"JARDIM DE SANTOS"|77|56|46|10.972778|1|15177.780686|1753|15298|33745|0.246259|0.169625|-9.154410|38.706900
"JARDIM DE TEÓFILO BRAGA"|16|19|13|147.554582|1|16782.664422|5428|10994|24265|0.271337|0.149062|-8.613330|41.154380
"JARDIM DE TEÓFILO BRAGA"|16|19|13|147.554582|0|52834.126879|5428|10994|24265|0.271337|0.149062|-8.613330|41.154380
"JARDIM DO ARCO DO CEGO"|91|95|62|76.067421|0|36577.848107|3521|24581|59559|0.161672|0.197283|-9.141830|38.736380
"JARDIM DO ARCO DO CEGO"|91|95|62|76.067421|1|30892.425376|3521|24581|59559|0.161672|0.197283|-9.141830|38.736380
"JARDIM DO CAMPO GRANDE"|107|191|93|280.094601|0|1617.197914|2701|7813|21033|0.099891|0.252080|-9.151720|38.754820
"JARDIM DO CAMPO GRANDE"|107|191|93|280.094601|1|4111.401123|2701|7813|21033|0.099891|0.252080|-9.151720|38.754820
"JARDIM DO CAMPO PEQUENO"|104|138|72|919.301733|0|491.636442|2041|4529|12701|0.104874|0.260294|-9.146650|38.742310
"JARDIM DO CAMPO PEQUENO"|104|138|72|919.301733|1|9928.080489|2041|4529|12701|0.104874|0.260294|-9.146650|38.742310
"JARDIM DO PALÁCIO DA BOLSA"|21|24|15|147.921407|0|52834.126879|5428|10994|24265|0.271337|0.149062|-8.614550|41.141180
"JARDIM DO PALÁCIO DA BOLSA"|21|24|15|147.921407|1|16782.664422|5428|10994|24265|0.271337|0.149062|-8.614550|41.141180
"JARDIM DO PALÁCIO DE BEAU-SÉJOUR"|1|0|1|187.430132|0|48833.540984|1753|15298|33745|0.246259|0.169625|-9.182300|38.746070
"JARDIM DO PALÁCIO DE BEAU-SÉJOUR"|1|0|1|187.430132|1|15177.780686|1753|15298|33745|0.246259|0.169625|-9.182300|38.746070
"JARDIM DO PALÁCIO DE CRISTAL"|21|28|21|289.442759|0|52834.126879|5428|10994|24265|0.271337|0.149062|-8.624690|41.148390
"JARDIM DO PALÁCIO DE CRISTAL"|21|28|21|289.442759|1|16782.664422|5428|10994|24265|0.271337|0.149062|-8.624690|41.148390
"JARDIM DO PRÍNCIPE REAL"|73|57|47|8.862216|0|36893.356166|2811|16735|36821|0.289346|0.151598|-9.148320|38.716620
"JARDIM DO PRÍNCIPE REAL"|73|57|47|8.862216|1|14666.685976|2811|16735|36821|0.289346|0.151598|-9.148320|38.716620
"JARDIM DOM LUÍS I"|101|152|73|180.201159|1|30892.425376|3521|24581|59559|0.161672|0.197283|-9.146330|38.707050
"JARDIM DOM LUÍS I"|101|152|73|180.201159|0|36577.848107|3521|24581|59559|0.161672|0.197283|-9.146330|38.707050
"JARDIM FERNANDO PESSA"|82|80|58|278.442522|0|36577.848107|3521|24581|59559|0.161672|0.197283|-9.138270|38.743590
"JARDIM FERNANDO PESSA"|82|80|58|278.442522|1|30892.425376|3521|24581|59559|0.161672|0.197283|-9.138270|38.743590
"JARDIM FRANCISCO CALDEIRA CABRAL"|2|5|1|22.317614|1|17497.825376|1775|17185|41163|0.161747|0.204917|-9.165260|38.760140
"JARDIM FRANCISCO CALDEIRA CABRAL"|2|5|1|22.317614|0|42877.741202|1775|17185|41163|0.161747|0.204917|-9.165260|38.760140
"JARDIM FRANCISCO SÁ CARNEIRO"|2|4|1|7.391078|0|94809.514222|7789|19185|44298|0.236941|0.154770|-8.592780|41.162730
