ParishCode,Parish,MF,M,F,MedianRent_per_m2,Area(Km2),Average_monthly_rental_charges,percentage_daily_car_usage,no_of_children_less_than_6_yrs,avg_commute_time,employed_or_student_res_population
110601,Ajuda,137,70,67,11.7,2.88,271.61,45.67,1060,25.48,7827
110602,Alcântara,182,94,88,10.98,5.07,308.09,42.43,959,23.72,7676
110654,Alvalade,356,179,177,11.1,2.48,381.83,49.87,591,19.94,5120
110655,Areeiro,211,106,105,10.91,8.02,410.26,,,,
110656,Arroios,379,192,187,10.94,2.77,372.8,,,,
110657,Avenidas Novas,271,135,136,11.85,3.69,421.45,,,,
110607,Beato,117,53,64,10.64,6.57,255.74,39.94,916,25.45,6520
110658,Belém,173,91,82,11.21,7.12,431.9,,,,
110608,Benfica,293,143,150,10.83,8.09,324.95,50.61,2232,24.69,19914
110659,Campo de Ourique,241,124,117,12.3,4.29,344.07,,,,
110610,Campolide,166,79,87,12.1,5.34,325.87,43.35,1018,22.2,8706
110611,Carnide,162,73,89,11.54,1.72,317.42,59.54,2098,23.1,15584
110660,Estrela,245,123,122,12.17,2.13,376.04,,,,
110618,Lumiar,482,232,250,10.24,2.99,428.16,59.73,3608,22.89,28655
110621,Marvila,320,175,145,10,10.43,212.79,38.22,2976,25.91,21385
110661,Misericórdia,108,47,61,13.4,1.65,321.15,,,,
110633,Olivais,258,128,130,10.81,4.6,330.69,,,,
110662,Parque das Nações,182,92,90,12.93,2.19,496.87,,,,
110663,Penha de França,352,165,187,11.11,5.44,330.75,37.66,751,24.44,7383
110664,Santa Clara,316,150,166,7.95,2.71,280.87,,,,
110665,Santa Maria Maior,152,76,76,12.92,3.36,273.2,,,,
110666,Santo António,115,63,52,13.83,3.01,386.26,,,,
110639,São Domingos de Benfica,326,167,159,11.57,1.49,412.61,,,,
110667,São Vicente,153,84,69,11.76,1.99,285.35,29.75,211,24.93,1912
131202,Bonfim,178,91,87,9.8,3.1,273.24,41.42,1225,20.41,12592
131203,Campanhã,302,136,166,7.87,8.04,186.95,40.5,2093,23.03,15883
131210,Paranhos,374,198,176,8.17,7.17,279.29,51.81,2333,20.64,24113
131211,Ramalde,310,144,166,8.37,5.83,303.52,58.97,2828,19.45,22781
131216,"União das freguesias de Aldoar, Foz do Douro e Nevogilde",244,118,126,9.03,6.27,387.96,,1537,,
131217,"União das freguesias de Cedofeita,  Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",305,157,148,9.13,5.43,263.75,,1973,,
131218,União das freguesias de Lordelo do Ouro e Massarelos,217,113,104,9.22,5.59,305.1,,1986,,
