;Parish;MF;M;F
170110601;Ajuda;137;70;67
170110602;Alcântara;182;94;88
170110654;Alvalade;356;179;177
170110655;Areeiro;211;106;105
170110656;Arroios;379;192;187
170110657;Avenidas Novas;271;135;136
170110607;Beato;117;53;64
170110658;Belém;173;91;82
170110608;Benfica;293;143;150
170110659;Campo de Ourique;241;124;117
170110610;Campolide;166;79;87
170110611;Carnide;162;73;89
170110660;Estrela;245;123;122
170110618;Lumiar;482;232;250
170110621;Marvila;320;175;145
170110661;Misericórdia;108;47;61
170110633;Olivais;258;128;130
170110662;Parque das Nações;182;92;90
170110663;Penha de França;352;165;187
170110664;Santa Clara;316;150;166
170110665;Santa Maria Maior;152;76;76
170110666;Santo António;115;63;52
170110639;São Domingos de Benfica;326;167;159
170110667;São Vicente;153;84;69
