,Green_Zone_name,POINT_X,POINT_Y,gz_daily_avg_demand,air_quality_index,co,no,no2,o3,so2,pm2_5,pm10,nh3
0,ESPAÇO JOGO E RECREIO HOMEM DO LEME,-8.68415,41.16001,3.728677,1,236.99,0,0.1,53.64,0.93,8.4,18.65,0
1,JARDIM AFONSO DE ALBUQUERQUE,-9.199489999999999,38.696740000000005,10.259113000000001,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
2,JARDIM ALAMEDA CIDADE UNIVERSITÁRIA,-9.15757,38.75294,47.347815999999995,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
3,JARDIM ALAMEDA DOM AFONSO HENRIQUES,-9.13207,38.73757,41.485945,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
4,JARDIM AMÁLIA RODRIGUES,-9.154589999999999,38.73062,5.768512,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
5,JARDIM AMÉLIA CARVALHEIRA,-9.15018,38.73919,57.137086,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
6,JARDIM ANTÓNIO NOBRE,-9.14454,38.71502,4.468216,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
7,JARDIM AVELAR BROTERO,-9.1843,38.70389,2.669232,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
8,JARDIM BASÍLIO TELES,-8.683069999999999,41.18237,640.4735519999999,1,236.99,0,0.1,53.64,0.93,8.4,18.65,0
9,JARDIM BENTO MARTINS,-9.18699,38.75755,13.560460999999998,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
10,JARDIM BOTÂNICO LISBOA,-9.150310000000001,38.717420000000004,90.464569,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
11,JARDIM BOTÂNICO PORTO,-8.64232,41.15402,19.109675,1,236.99,0,0.1,53.64,0.93,8.4,18.65,0
12,JARDIM BRAAMCAMP FREIRE,-9.1404,38.721779999999995,11.704811999999999,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
13,JARDIM CONSTANTINO,-9.13694,38.7312,17.061195,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
14,JARDIM DA BOAVISTA,-8.62795,41.15806,36.412048,1,236.99,0,0.1,53.64,0.93,8.4,18.65,0
15,JARDIM DA CORUJEIRA,-8.578619999999999,41.15769,15.894414999999999,1,236.99,0,0.09,51.5,0.86,8.42,19.25,0
16,JARDIM DA LUZ,-9.18343,38.76039,49.334537,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
17,JARDIM DA RIBEIRA DAS NAUS,-9.1413,38.70596,1.495627,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
18,JARDIM DAS AMOREIRAS,-9.15808,38.72313,196.847368,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
19,JARDIM DE BUCELAS,-9.11749,38.90102,5.665942,2,230.31,0,0.08,42.92,0.83,10.2,11.73,0
20,JARDIM DE LOPES DE MENDONÇA,-9.14437,38.73036,71.019774,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
21,JARDIM DE SANTOS,-9.15441,38.7069,10.972778,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
22,JARDIM DE TEÓFILO BRAGA,-8.61333,41.154379999999996,147.554582,1,236.99,0,0.1,53.64,0.93,8.4,18.65,0
23,JARDIM DO ARCO DO CEGO,-9.14183,38.73638,76.067421,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
24,JARDIM DO CAMPO GRANDE,-9.15172,38.75482,280.09460099999995,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
25,JARDIM DO CAMPO PEQUENO,-9.14665,38.742309999999996,919.301733,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
26,JARDIM DO PALÁCIO DA BOLSA,-8.61455,41.14118,147.92140700000002,1,236.99,0,0.1,53.64,0.93,8.4,18.65,0
27,JARDIM DO PALÁCIO DE BEAU-SÉJOUR,-9.1823,38.74607,187.43013200000001,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
28,JARDIM DO PALÁCIO DE CRISTAL,-8.62469,41.14839,289.44275899999997,1,236.99,0,0.1,53.64,0.93,8.4,18.65,0
29,JARDIM DO PRÍNCIPE REAL,-9.14832,38.71662,8.862216,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
30,JARDIM DOM LUÍS I,-9.14633,38.70705,180.20115900000002,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
31,JARDIM FERNANDO PESSA,-9.13827,38.743590000000005,278.442522,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
32,JARDIM FRANCISCO CALDEIRA CABRAL,-9.16526,38.76014,22.317614000000003,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
33,JARDIM FRANCISCO SÁ CARNEIRO,-8.59278,41.162729999999996,7.391078,1,236.99,0,0.09,51.5,0.86,8.42,19.25,0
34,JARDIM FUNDAÇÃO CALOUSTE GULBENKIAN,-9.15513,38.73805,1291.870084,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
35,JARDIM GARCIA DORTA,-9.09264,38.76933,15.636601999999998,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
36,JARDIM IRMÃ LÚCIA,-9.13799,38.73955,3.2868779999999997,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
37,JARDIM JOÃO FREDERICO LUDOVICE,-9.20721,38.74978,11.818563000000001,2,233.65,0,0.08,47.92,0.97,10.47,12.12,0
38,JARDIM LISBOA ANTIGA,-9.15445,38.711659999999995,2.630584,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
39,JARDIM NOVE DE ABRIL,-9.16292,38.70463,8.374656,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
40,JARDIM PAULO VALLADA,-8.59751,41.152609999999996,1029.884842,1,236.99,0,0.09,51.5,0.86,8.42,19.25,0
41,JARDIM PROF. ANTÓNIO SOUSA FRANCO,-9.16796,38.76021,400.48861,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
42,JRD. CP. VINTE E QUATRO DE AGOSTO,-8.59867,41.14934,3193.372906,1,236.99,0,0.09,51.5,0.86,8.42,19.25,0
43,MATA DE BENFICA,-9.20398,38.74836,12.466047,2,233.65,0,0.08,47.92,0.97,10.47,12.12,0
44,PARQUE DA CIDADE DE LOURES,-9.161535,38.82598,1047.505649,2,230.31,0,0.08,42.92,0.83,10.2,11.73,0
45,PARQUE DE SÃO ROQUE,-8.58962,41.15984,48.613864,1,236.99,0,0.09,51.5,0.86,8.42,19.25,0
46,PARQUE DOS ANJOS,-9.22981,38.6996,9.430307,2,233.65,0,0.08,47.92,0.97,10.47,12.12,0
47,PARQUE EDUARDO VII,-9.15269,38.72835,101.98562,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
48,PARQUE INFANTIL CONDE DE BONFIM,-9.18196,38.74581,242.79140299999997,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
49,PARQUE INFANTIL DO IPO,-9.16225,38.7398,20.681678,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
50,PARQUE INFANTIL PRAÇA DE LONDRES,-9.138539999999999,38.741279999999996,7.919183,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
51,PARQUE JOSÉ FONTANA,-9.1439,38.72961,73.778651,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
52,PARQUE RECREATIVO ALTO DA SERAFINA,-9.179160000000001,38.73467,3.47203,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
53,PARQUE URBANO DA QUINTA DA GRANJA,-9.18971,38.75181,12.260912,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
54,PARQUE URBANO DA QUINTA NOVA,-9.17687,38.798770000000005,153.690076,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
55,PARQUE URBANO DO CASTELINHO,-9.181560000000001,38.79484,215.38585,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
56,PARQUE URBANO DO SILVADO,-9.18249,38.78463,8.140077,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
57,PQ. INFA. JARD. MARQUÊS DE MARIALA,-9.14465,38.74308,39.760738,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
58,PQ. INFA. JARDIM GOMES DE AMORIM,-9.14358,38.73755,331.538318,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
59,PQ. INFANTIL AV. MARQUÊS DE TOMAR,-9.15019,38.73925,54.42452900000001,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
60,PQ. INFANTIL HOSPITAL DE SANTA MARIA,-9.159310000000001,38.74694,15.250156,1,230.31,0,0.08,46.49,0.9,9.81,11.4,0
