,Ora,C1,C2,C3,C4,C5,date_hour,day,Log_Avg,No. of Visitors,index,cluster,data_a,numero_presenze,layer_id,layer_nome,dettaglio(secondi),temp,winds,rainfall_mm,snowfall_mm,is_match,count_close,count_open,final_date,count_complaint,date,Day,Holiday,isHoliday
0,0,68.7,56.6,76.0,58.8,66.6,2018-01-01 00:00:00,0,70.25390807655218,,,,,,,,,1.0400000000000205,0.36666666666666653,-0.01,2.6,0.0,66.0,,01-01-18 00:00,0.0,01-01-18,,,0
1,1,68.3,53.6,68.2,55.7,65.4,2018-01-01 01:00:00,0,65.42470746873389,,,,,,,,,1.0900000000000318,0.5900000000000001,0.009000000000000001,2.6,0.0,6.0,,01-01-18 01:00,0.0,01-01-18,,,0
2,2,59.8,51.2,64.4,53.0,64.4,2018-01-01 02:00:00,0,61.332067950933826,,,,,,,,,1.0500000000000114,0.45,0.008000000000000002,2.2666666666666666,0.0,12.0,,01-01-18 02:00,0.0,01-01-18,,,0
3,3,67.4,47.5,67.5,48.7,61.8,2018-01-01 03:00:00,0,64.06974203317102,,,,,,,,,0.8900000000000432,0.4,0.006,2.2666666666666666,0.0,6.0,,01-01-18 03:00,0.0,01-01-18,,,0
4,4,68.0,47.6,64.5,49.0,60.5,2018-01-01 04:00:00,0,63.175181055999666,,,,,,,,,0.7300000000000182,0.78,-0.011000000000000001,2.3,0.0,,,01-01-18 04:00,0.0,01-01-18,,,0
5,5,55.4,48.3,56.7,50.3,59.5,2018-01-01 05:00:00,0,55.75299443793032,,,,,,,,,0.7800000000000296,0.5499999999999999,-0.014000000000000002,2.1333333333333333,0.0,,,01-01-18 05:00,0.0,01-01-18,,,0
6,6,57.5,52.2,53.2,55.4,58.2,2018-01-01 06:00:00,0,55.89873660692248,,,,,,,,,0.8300000000000409,0.63,-0.011000000000000001,2.1666666666666665,0.0,,6.0,01-01-18 06:00,0.0,01-01-18,,,0
7,7,51.8,59.2,66.3,62.0,57.0,2018-01-01 07:00:00,0,61.6642984799995,,,,,,,,,1.0,1.2199999999999998,-0.014000000000000002,2.333333333333333,0.0,,18.0,01-01-18 07:00,0.0,01-01-18,,,0
8,8,63.0,61.5,63.4,63.3,55.8,2018-01-01 08:00:00,0,62.10249635706401,,,,,,,,,1.2700000000000389,1.4,-0.012,2.0,0.0,,12.0,01-01-18 08:00,0.0,01-01-18,,,0
9,9,53.8,61.0,64.7,63.9,56.5,2018-01-01 09:00:00,0,61.67400666280361,,,,,,,,,1.2800000000000296,0.95,-0.012,2.433333333333333,0.0,,,01-01-18 09:00,0.0,01-01-18,,,0
10,10,57.9,60.6,64.8,62.7,58.1,2018-01-01 10:00:00,0,61.63902962033418,,,,,,,,,1.9800000000000184,0.7099999999999999,-0.012,3.333333333333333,0.0,,,01-01-18 10:00,0.0,01-01-18,,,0
