,C1,C2,C3,C4,C5,date_hour,No. of Visitors,index,cluster,data_a,numero_presenze,layer_id,layer_nome,dettaglio(secondi),temp,winds,rainfall_mm,snowfall_mm,Holiday,isHoliday,date,hour,day,Log_Avg
0,68.7,58.3,76.0,60.4,66.6,2018-01-01,,,,,,,,,1.0400000000000205,0.3666666666666665,-0.01,2.6,New year's Day,1,2018-01-01,0,1,70.29929448722149
1,68.3,58.3,68.2,60.4,65.4,2018-01-01,,,,,,,,,1.0400000000000205,0.3666666666666665,-0.01,2.6,New year's Day,1,2018-01-01,0,1,65.70722549117417
2,59.8,58.3,64.4,60.4,64.4,2018-01-01,,,,,,,,,1.0400000000000205,0.3666666666666665,-0.01,2.6,New year's Day,1,2018-01-01,0,1,62.16746922313408
3,67.4,58.3,67.5,60.4,61.8,2018-01-01,,,,,,,,,1.0400000000000205,0.3666666666666665,-0.01,2.6,New year's Day,1,2018-01-01,0,1,64.5954158231506
4,68.0,58.3,64.5,60.4,60.5,2018-01-01,,,,,,,,,1.0400000000000205,0.3666666666666665,-0.01,2.6,New year's Day,1,2018-01-01,0,1,63.81026081921752
5,55.4,58.3,56.7,60.4,59.5,2018-01-01,,,,,,,,,1.0400000000000205,0.3666666666666665,-0.01,2.6,New year's Day,1,2018-01-01,0,1,58.423950473487984
6,57.5,58.3,53.2,60.4,58.2,2018-01-01,,,,,,,,,1.0400000000000205,0.3666666666666665,-0.01,2.6,New year's Day,1,2018-01-01,0,1,58.067937353304515
7,51.8,58.3,59.1,60.4,57.0,2018-01-01,,,,,,,,,1.0400000000000205,0.3666666666666665,-0.01,2.6,New year's Day,1,2018-01-01,0,1,58.112981281070255
8,63.0,58.3,59.1,60.4,55.8,2018-01-01,,,,,,,,,1.0400000000000205,0.3666666666666665,-0.01,2.6,New year's Day,1,2018-01-01,0,1,59.96585513361622
9,53.8,58.3,59.1,60.4,56.5,2018-01-01,,,,,,,,,1.0400000000000205,0.3666666666666665,-0.01,2.6,New year's Day,1,2018-01-01,0,1,58.15837791832788
10,57.9,58.3,59.1,60.4,58.1,2018-01-01,,,,,,,,,1.0400000000000205,0.3666666666666665,-0.01,2.6,New year's Day,1,2018-01-01,0,1,58.86224530352722
11,59.4,58.3,59.1,60.4,60.7,2018-01-01,,,,,,,,,1.0400000000000205,0.3666666666666665,-0.01,2.6,New year's Day,1,2018-01-01,0,1,59.667284866132846
12,58.9,58.3,59.1,60.4,62.0,2018-01-01,,,,,,,,,1.0400000000000205,0.3666666666666665,-0.01,2.6,New year's Day,1,2018-01-01,0,1,59.953308183332446
13,58.5,58.3,59.1,60.4,61.4,2018-01-01,,,,,,,,,1.0400000000000205,0.3666666666666665,-0.01,2.6,New year's Day,1,2018-01-01,0,1,59.7069284753296
14,57.7,58.3,59.1,60.4,59.6,2018-01-01,,,,,,,,,1.0400000000000205,0.3666666666666665,-0.01,2.6,New year's Day,1,2018-01-01,0,1,59.12354523511517
15,57.5,58.3,59.1,60.4,61.0,2018-01-01,,,,,,,,,1.0400000000000205,0.3666666666666665,-0.01,2.6,New year's Day,1,2018-01-01,0,1,59.451393838130706
16,64.2,58.3,59.1,60.4,62.2,2018-01-01,,,,,,,,,1.0400000000000205,0.3666666666666665,-0.01,2.6,New year's Day,1,2018-01-01,0,1,61.38318274816014
17,60.4,58.3,59.1,60.4,62.4,2018-01-01,,,,,,,,,1.0400000000000205,0.3666666666666665,-0.01,2.6,New year's Day,1,2018-01-01,0,1,60.35002896215531
18,60.7,58.3,59.1,60.4,61.7,2018-01-01,,,,,,,,,1.0400000000000205,0.3666666666666665,-0.01,2.6,New year's Day,1,2018-01-01,0,1,60.20311355041925
19,60.0,58.3,59.1,60.4,62.2,2018-01-01,,,,,,,,,1.0400000000000205,0.3666666666666665,-0.01,2.6,New year's Day,1,2018-01-01,0,1,60.207737158326566
20,59.4,58.3,59.1,60.4,60.8,2018-01-01,,,,,,,,,1.0400000000000205,0.3666666666666665,-0.01,2.6,New year's Day,1,2018-01-01,0,1,59.6928725567171
21,57.8,58.3,57.9,60.4,59.6,2018-01-01,,,,,,,,,1.0400000000000205,0.3666666666666665,-0.01,2.6,New year's Day,1,2018-01-01,0,1,58.92509389500174
22,58.2,58.3,57.7,60.4,59.0,2018-01-01,,,,,,,,,1.0400000000000205,0.3666666666666665,-0.01,2.6,New year's Day,1,2018-01-01,0,1,58.82686899543223
23,56.5,58.3,57.5,60.4,59.0,2018-01-01,,,,,,,,,1.0400000000000205,0.3666666666666665,-0.01,2.6,New year's Day,1,2018-01-01,0,1,58.544171005213165
24,55.5,58.3,56.2,60.4,56.4,2018-02-01,,,,,,,,,3.1000000000000227,0.6666666666666666,-0.01,3.1,,0,2018-02-01,0,1,57.7535697271864
25,59.2,58.3,54.7,60.4,52.7,2018-02-01,,,,,,,,,3.1000000000000227,0.6666666666666666,-0.01,3.1,,0,2018-02-01,0,1,57.903773033783956
26,46.8,58.3,51.0,60.4,51.9,2018-02-01,,,,,,,,,3.1000000000000227,0.6666666666666666,-0.01,3.1,,0,2018-02-01,0,1,56.23497053752378
27,47.2,58.3,51.1,60.4,48.7,2018-02-01,,,,,,,,,3.1000000000000227,0.6666666666666666,-0.01,3.1,,0,2018-02-01,0,1,56.080974959393004
28,47.5,58.3,51.3,60.4,51.0,2018-02-01,,,,,,,,,3.1000000000000227,0.6666666666666666,-0.01,3.1,,0,2018-02-01,0,1,56.210898576121906
29,47.9,58.3,50.9,60.4,56.1,2018-02-01,,,,,,,,,3.1000000000000227,0.6666666666666666,-0.01,3.1,,0,2018-02-01,0,1,56.747927916594925
30,58.9,58.3,55.3,60.4,58.7,2018-02-01,,,,,,,,,3.1000000000000227,0.6666666666666666,-0.01,3.1,,0,2018-02-01,0,1,58.60812498303886
31,65.5,58.3,59.1,60.4,62.2,2018-02-01,,,,,,,,,3.1000000000000227,0.6666666666666666,-0.01,3.1,,0,2018-02-01,0,1,61.92740940648967
32,65.2,58.3,59.1,60.4,63.8,2018-02-01,,,,,,,,,3.1000000000000227,0.6666666666666666,-0.01,3.1,,0,2018-02-01,0,1,62.19874438685555
33,67.8,58.3,59.1,60.4,63.3,2018-02-01,,,,,,,,,3.1000000000000227,0.6666666666666666,-0.01,3.1,,0,2018-02-01,0,1,63.323960237545364
34,59.7,58.3,59.1,60.4,65.0,2018-02-01,,,,,,,,,3.1000000000000227,0.6666666666666666,-0.01,3.1,,0,2018-02-01,0,1,61.258665042156004
35,61.9,58.3,59.1,60.4,64.7,2018-02-01,,,,,,,,,3.1000000000000227,0.6666666666666666,-0.01,3.1,,0,2018-02-01,0,1,61.513954433393124
36,60.7,58.3,59.1,60.4,64.4,2018-02-01,,,,,,,,,3.1000000000000227,0.6666666666666666,-0.01,3.1,,0,2018-02-01,0,1,61.14912280463507
37,60.9,58.3,59.1,60.4,62.5,2018-02-01,,,,,,,,,3.1000000000000227,0.6666666666666666,-0.01,3.1,,0,2018-02-01,0,1,60.487477893231876
38,59.1,58.3,59.1,60.4,63.0,2018-02-01,,,,,,,,,3.1000000000000227,0.6666666666666666,-0.01,3.1,,0,2018-02-01,0,1,60.328994321589526
39,60.8,58.3,59.1,60.4,63.6,2018-02-01,,,,,,,,,3.1000000000000227,0.6666666666666666,-0.01,3.1,,0,2018-02-01,0,1,60.84828115367795
40,60.5,58.3,59.1,60.4,63.8,2018-02-01,,,,,,,,,3.1000000000000227,0.6666666666666666,-0.01,3.1,,0,2018-02-01,0,1,60.86804083205909
41,60.4,58.3,59.1,60.4,63.8,2018-02-01,,,,,,,,,3.1000000000000227,0.6666666666666666,-0.01,3.1,,0,2018-02-01,0,1,60.84983773253391
42,60.0,58.3,59.1,60.4,62.7,2018-02-01,,,,,,,,,3.1000000000000227,0.6666666666666666,-0.01,3.1,,0,2018-02-01,0,1,60.37225546380246
43,62.0,58.3,59.1,60.4,63.0,2018-02-01,,,,,,,,,3.1000000000000227,0.6666666666666666,-0.01,3.1,,0,2018-02-01,0,1,60.91001622139827
44,59.9,58.3,59.1,60.4,61.3,2018-02-01,,,,,,,,,3.1000000000000227,0.6666666666666666,-0.01,3.1,,0,2018-02-01,0,1,59.92252260520238
45,58.5,58.3,67.1,60.4,61.6,2018-02-01,,,,,,,,,3.1000000000000227,0.6666666666666666,-0.01,3.1,,0,2018-02-01,0,1,62.57897373766199
46,56.5,58.3,59.8,60.4,59.9,2018-02-01,,,,,,,,,3.1000000000000227,0.6666666666666666,-0.01,3.1,,0,2018-02-01,0,1,59.19232377715037
47,57.1,58.3,58.7,60.4,59.8,2018-02-01,,,,,,,,,3.1000000000000227,0.6666666666666666,-0.01,3.1,,0,2018-02-01,0,1,59.011012993648954
48,56.0,58.3,59.9,60.4,58.3,2018-03-01,,,,,,,,,2.7700000000000387,0.13333333333333333,-0.008333333333333333,3.0,,0,2018-03-01,0,1,58.83546577567923
