,C1,C2,C3,C4,C5,date_hour,No. of Visitors,index,cluster,data_a,numero_presenze,layer_id,layer_nome,dettaglio(secondi),temp,winds,rainfall_mm,snowfall_mm,Holiday,isHoliday,date,hour,day,Log_Avg
0,68.7,56.6,76.0,58.8,66.6,2018-01-01 00:00:00,,,,,,,,,1.0400000000000205,0.3666666666666665,-0.01,2.6,New year's Day,1,2018-01-01,0,0,70.25390807655218
1,68.3,53.4,68.2,55.4,65.4,2018-01-01 01:00:00,,,,,,,,,1.0900000000000318,0.5900000000000001,0.009000000000000001,2.6,New year's Day,1,2018-01-01,1,0,65.41595361248432
2,59.8,51.2,64.4,53.3,64.4,2018-01-01 02:00:00,,,,,,,,,1.0500000000000114,0.45,0.008000000000000002,2.2666666666666666,New year's Day,1,2018-01-01,2,0,61.341179142115216
3,67.4,47.2,67.5,48.4,61.8,2018-01-01 03:00:00,,,,,,,,,0.8900000000000432,0.4,0.006,2.2666666666666666,New year's Day,1,2018-01-01,3,0,64.06678011532193
4,68.0,47.7,64.5,48.9,60.5,2018-01-01 04:00:00,,,,,,,,,0.7300000000000182,0.78,-0.011,2.3,New year's Day,1,2018-01-01,4,0,63.174985482278785
5,55.4,49.0,56.7,50.4,59.5,2018-01-01 05:00:00,,,,,,,,,0.7800000000000296,0.5499999999999999,-0.014000000000000002,2.1333333333333333,New year's Day,1,2018-01-01,5,0,55.78594190653532
6,57.5,53.1,53.2,55.8,58.2,2018-01-01 06:00:00,,,,,,,,,0.8300000000000409,0.63,-0.011,2.1666666666666665,New year's Day,1,2018-01-01,6,0,56.05591085618674
7,51.8,59.2,66.3,61.2,57.0,2018-01-01 07:00:00,,,,,,,,,1.0,1.2199999999999998,-0.014000000000000002,2.333333333333333,New year's Day,1,2018-01-01,7,0,61.50348598205299
8,63.0,62.1,63.4,65.4,55.8,2018-01-01 08:00:00,,,,,,,,,1.2700000000000389,1.4,-0.012,2.0,New year's Day,1,2018-01-01,8,0,62.856649438648816
9,53.8,61.5,64.7,63.9,56.5,2018-01-01 09:00:00,,,,,,,,,1.2800000000000296,0.95,-0.012,2.433333333333333,New year's Day,1,2018-01-01,9,0,61.76381998366892
10,57.9,60.9,64.8,63.8,58.1,2018-01-01 10:00:00,,,,,,,,,1.9800000000000184,0.7099999999999999,-0.012,3.333333333333333,New year's Day,1,2018-01-01,10,0,61.992779941144754
11,59.4,60.8,66.1,62.6,60.7,2018-01-01 11:00:00,,,,,,,,,2.7700000000000387,0.78,-0.013000000000000001,4.666666666666667,New year's Day,1,2018-01-01,11,0,62.620535980209766
