,C1,C2,C3,C4,C5,date_hour,No. of Visitors,index,cluster,data_a,numero_presenze,layer_id,layer_nome,dettaglio(secondi),winds,rainfall_mm,snowfall_mm
0,"68,7",,"76,0",,"66,6",01-01-18 00:00,,,,,,,,,0.36666666666666653,-0.01,2.6
1,"68,3",,"68,2",,"65,4",01-01-18 01:00,,,,,,,,,0.5900000000000001,0.009000000000000001,2.6
2,"59,8",,"64,4",,"64,4",01-01-18 02:00,,,,,,,,,0.45,0.008000000000000002,2.2666666666666666
3,"67,4",,"67,5",,"61,8",01-01-18 03:00,,,,,,,,,0.4,0.006,2.2666666666666666
4,"68,0",,"64,5",,"60,5",01-01-18 04:00,,,,,,,,,0.78,-0.011000000000000001,2.3
5,"55,4",,"56,7",,"59,5",01-01-18 05:00,,,,,,,,,0.5499999999999999,-0.014000000000000002,2.1333333333333333
6,"57,5",,"53,2",,"58,2",01-01-18 06:00,,,,,,,,,0.63,-0.011000000000000001,2.1666666666666665
7,"51,8",,,,"57,0",01-01-18 07:00,,,,,,,,,1.2199999999999998,-0.014000000000000002,2.333333333333333
8,"63,0",,,,"55,8",01-01-18 08:00,,,,,,,,,1.4,-0.012,2.0
9,"53,8",,,,"56,5",01-01-18 09:00,,,,,,,,,0.95,-0.012,2.433333333333333
10,"57,9",,,,"58,1",01-01-18 10:00,,,,,,,,,0.7099999999999999,-0.012,3.333333333333333
11,"59,4",,,,"60,7",01-01-18 11:00,,,,,,,,,0.78,-0.013,4.666666666666667
12,"58,9",,,,"62,0",01-01-18 12:00,,,,,,,,,1.0499999999999998,-0.008,6.333333333333332
13,"58,5",,,,"61,4",01-01-18 13:00,,,,,,,,,1.4700000000000002,-0.009000000000000001,6.166666666666668
14,"57,7",,,,"59,6",01-01-18 14:00,,,,,,,,,1.5699999999999998,-0.009000000000000001,5.366666666666667
15,"57,5",,,,"61,0",01-01-18 15:00,,,,,,,,,1.02,-0.01,4.566666666666666
16,"64,2",,,,"62,2",01-01-18 16:00,,,,,,,,,0.85,-0.009000000000000001,3.8333333333333335
17,"60,4",,,,"62,4",01-01-18 17:00,,,,,,,,,0.99,-0.011000000000000001,4.066666666666666
18,"60,7",,,,"61,7",01-01-18 18:00,,,,,,,,,1.4899999999999998,-0.015000000000000003,4.133333333333334
19,"60,0",,,,"62,2",01-01-18 19:00,,,,,,,,,1.3099999999999998,-0.019,3.733333333333333
20,"59,4",,,,"60,8",01-01-18 20:00,,,,,,,,,1.5599999999999996,-0.015,3.4333333333333336
21,"57,8",,"57,9",,"59,6",01-01-18 21:00,,,,,,,,,1.09,-0.016,3.1
22,"58,2",,"57,7",,"59,0",01-01-18 22:00,,,,,,,,,0.8500000000000002,-0.016999999999999998,3.033333333333333
23,"56,5",,"57,5",,"59,0",01-01-18 23:00,,,,,,,,,0.8200000000000001,-0.019,3.1333333333333333
24,"55,5",,"56,2",,"56,4",01-02-18 00:00,,,,,,,,,0.6666666666666666,-0.01,3.1
25,"59,2",,"54,7",,"52,7",01-02-18 01:00,,,,,,,,,0.7000000000000001,-0.015,2.9333333333333336
26,"46,8",,"51,0",,"51,9",01-02-18 02:00,,,,,,,,,1.39,-0.012,2.6666666666666665
27,"47,2",,"51,1",,"48,7",01-02-18 03:00,,,,,,,,,1.1999999999999995,-0.018000000000000002,1.6333333333333335
28,"47,5",,"51,3",,"51,0",01-02-18 04:00,,,,,,,,,1.16,-0.014000000000000002,1.4666666666666668
29,"47,9",,"50,9",,"56,1",01-02-18 05:00,,,,,,,,,1.34,-0.007000000000000001,3.8333333333333335
30,"58,9",,"55,3",,"58,7",01-02-18 06:00,,,,,,,,,0.9999999999999998,0.001,3.5666666666666664
31,"65,5",,,,"62,2",01-02-18 07:00,,,,,,,,,0.69,0.004,2.8666666666666667
32,"65,2",,,,"63,8",01-02-18 08:00,,,,,,,,,0.9399999999999998,-0.003999999999999999,3.233333333333333
33,"67,8",,,,"63,3",01-02-18 09:00,,,,,,,,,0.8299999999999998,0.001,4.533333333333334
34,"59,7",,,,"65,0",01-02-18 10:00,,,,,,,,,1.58,-0.005,8.833333333333334
35,"61,9",,,,"64,7",01-02-18 11:00,,,,,,,,,2.94,-0.014000000000000002,13.133333333333333
36,"60,7",,,,"64,4",01-02-18 12:00,,,,,,,,,3.08,-0.01,14.4
37,"60,9",,,,"62,5",01-02-18 13:00,,,,,,,,,2.28,-0.007000000000000001,15.4
38,"59,1",,,,"63,0",01-02-18 14:00,,,,,,,,,3.14,-0.006999999999999999,15.5
39,"60,8",,,,"63,6",01-02-18 15:00,,,,,,,,,2.5600000000000005,-0.013,14.2
40,"60,5",,,,"63,8",01-02-18 16:00,,,,,,,,,1.29,-0.005,11.5
41,"60,4",,,,"63,8",01-02-18 17:00,,,,,,,,,0.95,-0.006,9.5
42,"60,0",,,,"62,7",01-02-18 18:00,,,,,,,,,0.51,-0.007000000000000001,7.0
43,"62,0",,,,"63,0",01-02-18 19:00,,,,,,,,,0.45,-0.008,5.766666666666667
44,"59,9",,,,"61,3",01-02-18 20:00,,,,,,,,,0.27,-0.009000000000000001,4.766666666666667
45,"58,5",,"67,1",,"61,6",01-02-18 21:00,,,,,,,,,0.5299999999999999,-0.006,5.5
46,"56,5",,"59,8",,"59,9",01-02-18 22:00,,,,,,,,,0.4,-0.017,4.5
47,"57,1",,"58,7",,"59,8",01-02-18 23:00,,,,,,,,,0.13,-0.01,3.6666666666666665
48,"56,0",,"59,9",,"58,3",01-03-18 00:00,,,,,,,,,0.13333333333333333,-0.008333333333333333,3.0
49,"54,1",,"56,7",,"56,6",01-03-18 01:00,,,,,,,,,0.56,-0.01,3.3666666666666667
50,"52,2",,"58,9",,"63,1",01-03-18 02:00,,,,,,,,,0.5599999999999999,-0.016999999999999998,3.1666666666666665
51,"47,0",,"46,6",,"61,3",01-03-18 03:00,,,,,,,,,0.51,-0.015,2.3
52,"35,0",,"46,5",,"58,1",01-03-18 04:00,,,,,,,,,0.38,-0.015000000000000003,1.8
53,,,"46,0",,"53,8",01-03-18 05:00,,,,,,,,,0.58,-0.003,1.3
54,,,"49,3",,"60,9",01-03-18 06:00,,,,,,,,,0.8099999999999998,0.006,2.1333333333333333
55,,,,,"65,0",01-03-18 07:00,,,,,,,,,0.76,0.006,1.5666666666666664
56,,,,,"64,1",01-03-18 08:00,,,,,,,,,0.9000000000000001,-0.002,2.0666666666666664
57,,,,,"65,0",01-03-18 09:00,,,,,,,,,0.99,-0.006999999999999999,4.3
58,,,,,"64,2",01-03-18 10:00,,,,,,,,,0.9,-0.005,5.7666666666666675
59,,,,,"63,6",01-03-18 11:00,,,,,,,,,1.29,-0.008,6.433333333333333
60,,,,,"64,1",01-03-18 12:00,,,,,,,,,1.7100000000000002,-0.007000000000000001,5.8
61,,,,,"64,8",01-03-18 13:00,,,,,,,,,1.45,-0.017,8.0
62,,,,,"64,3",01-03-18 14:00,,,,,,,,,1.44,-0.016,7.3
63,,,,,"64,1",01-03-18 15:00,,,,,,,,,1.43,-0.018000000000000002,6.866666666666667
64,,,,,"63,3",01-03-18 16:00,,,,,,,,,1.65,-0.015,6.1000000000000005
65,,,,,"64,0",01-03-18 17:00,,,,,,,,,1.4199999999999997,-0.014000000000000002,5.466666666666666
66,,,,,"63,5",01-03-18 18:00,,,,,,,,,1.36,-0.009000000000000001,5.3
67,,,,,"63,9",01-03-18 19:00,,,,,,,,,1.14,-0.008,5.400000000000001
68,,,,,"61,9",01-03-18 20:00,,,,,,,,,1.4600000000000004,-0.01,5.866666666666667
69,,,"57,0",,"60,2",01-03-18 21:00,,,,,,,,,1.5199999999999998,-0.007000000000000001,5.7333333333333325
70,,,"59,2",,"59,4",01-03-18 22:00,,,,,,,,,1.83,-0.01,6.9
71,,,"59,7",,"59,6",01-03-18 23:00,,,,,,,,,2.56,-0.006,8.766666666666666
72,,,"58,7",,"61,0",01-04-18 00:00,,,,,,,,,2.466666666666667,-0.0033333333333333327,10.8
73,,,"56,1",,"54,4",01-04-18 01:00,,,,,,,,,3.45,-0.009000000000000001,10.466666666666667
74,,,"53,0",,"53,4",01-04-18 02:00,,,,,,,,,3.12,-0.006999999999999999,10.766666666666666
75,,,"47,3",,"51,0",01-04-18 03:00,,,,,,,,,1.89,-0.013,9.466666666666667
76,"47,0",,"47,6",,"52,2",01-04-18 04:00,,,,,,,,,0.7999999999999999,-0.012,7.166666666666668
77,"42,3",,"47,1",,"54,1",01-04-18 05:00,,,,,,,,,0.53,-0.013,6.2
78,"59,5",,"52,8",,"59,5",01-04-18 06:00,,,,,,,,,0.5199999999999999,-0.011000000000000001,5.2
79,"64,0",,,,"61,9",01-04-18 07:00,,,,,,,,,0.66,-0.012,4.633333333333334
80,"63,0",,,,"64,2",01-04-18 08:00,,,,,,,,,0.6900000000000002,-0.012,3.9
81,"65,9",,,,"63,4",01-04-18 09:00,,,,,,,,,0.91,-0.002,6.1000000000000005
82,"58,7",,,,"64,5",01-04-18 10:00,,,,,,,,,1.02,-0.005,7.2333333333333325
83,"60,6",,,,"64,9",01-04-18 11:00,,,,,,,,,0.8800000000000001,-0.006,9.1
84,"60,9",,,,"63,9",01-04-18 12:00,,,,,,,,,1.29,-0.009000000000000001,10.766666666666666
85,"59,8",,,,"64,6",01-04-18 13:00,,,,,,,,,1.2899999999999998,-0.008,12.066666666666668
86,"59,4",,,,"64,4",01-04-18 14:00,,,,,,,,,1.1,-0.009000000000000001,12.633333333333333
87,"59,5",,,,"64,0",01-04-18 15:00,,,,,,,,,0.92,-0.005,10.566666666666668
88,"60,7",,,,"66,8",01-04-18 16:00,,,,,,,,,0.6599999999999999,-0.006,9.666666666666666
89,"61,6",,,,"64,0",01-04-18 17:00,,,,,,,,,1.02,-0.003,8.733333333333333
90,"59,7",,,,"63,5",01-04-18 18:00,,,,,,,,,1.0699999999999998,-0.004,7.833333333333332
91,"60,9",,,,"63,7",01-04-18 19:00,,,,,,,,,0.7300000000000001,-0.002,6.433333333333333
92,"59,6",,,,"62,6",01-04-18 20:00,,,,,,,,,0.58,-0.002,6.1000000000000005
93,"58,2",,"58,8",,"60,1",01-04-18 21:00,,,,,,,,,0.4900000000000001,0.001,4.433333333333334
94,"58,2",,"66,2",,"60,5",01-04-18 22:00,,,,,,,,,0.9000000000000001,-0.003,4.333333333333333
95,"58,2",,"64,5",,"61,7",01-04-18 23:00,,,,,,,,,0.62,-0.001,3.2999999999999994
96,"57,9",,"60,1",,"58,2",01-05-18 00:00,,,,,,,,,0.5499999999999999,-0.0016666666666666668,4.6
97,"58,2",,"58,7",,"56,8",01-05-18 01:00,,,,,,,,,0.4499999999999999,-0.003,4.566666666666666
98,"56,0",,"58,9",,"53,2",01-05-18 02:00,,,,,,,,,0.56,-0.003,4.466666666666667
99,"49,5",,"52,8",,"55,2",01-05-18 03:00,,,,,,,,,0.93,-0.003,4.533333333333333
100,"48,5",,"51,8",,"53,7",01-05-18 04:00,,,,,,,,,1.01,-0.003,4.533333333333333
101,"50,7",,"52,1",,"55,1",01-05-18 05:00,,,,,,,,,1.07,-0.003,4.5
102,"59,1",,"51,2",,"59,0",01-05-18 06:00,,,,,,,,,0.6399999999999999,-0.003,4.566666666666666
103,"62,0",,,,"62,7",01-05-18 07:00,,,,,,,,,0.8500000000000002,-0.001,5.066666666666666
104,"62,5",,,,"64,5",01-05-18 08:00,,,,,,,,,0.99,-0.003,4.733333333333333
105,"69,4",,,,"64,5",01-05-18 09:00,,,,,,,,,0.8099999999999999,-0.003,4.566666666666666
106,"60,4",,,,"64,0",01-05-18 10:00,,,,,,,,,0.55,-0.003,5.233333333333333
107,"62,5",,,,"64,6",01-05-18 11:00,,,,,,,,,0.7300000000000001,-0.003,5.2
108,"61,2",,,,"64,8",01-05-18 12:00,,,,,,,,,0.6499999999999999,-0.003,5.3
109,"61,4",,,,"63,7",01-05-18 13:00,,,,,,,,,0.6100000000000001,0.0,5.466666666666666
110,"63,0",,,,"64,5",01-05-18 14:00,,,,,,,,,0.93,0.0,5.3
111,"60,8",,,,"66,1",01-05-18 15:00,,,,,,,,,0.78,0.02,5.1
112,"62,1",,,,"66,8",01-05-18 16:00,,,,,,,,,1.04,0.02,4.933333333333334
113,"62,0",,,,"66,6",01-05-18 17:00,,,,,,,,,0.9,0.0,4.7
114,"61,5",,,,"66,1",01-05-18 18:00,,,,,,,,,0.8299999999999998,0.04,5.033333333333333
115,"61,9",,,,"66,2",01-05-18 19:00,,,,,,,,,0.62,0.017,5.066666666666666
116,"62,7",,,,"66,3",01-05-18 20:00,,,,,,,,,0.7,0.019,5.2
117,"60,3",,"62,4",,"65,3",01-05-18 21:00,,,,,,,,,0.36,0.02,5.266666666666667
118,"61,7",,"65,4",,"64,9",01-05-18 22:00,,,,,,,,,0.3,0.037000000000000005,5.3
119,"64,9",,"67,5",,"65,8",01-05-18 23:00,,,,,,,,,0.7899999999999999,0.037000000000000005,5.033333333333333
120,"63,6",,"67,6",,"65,2",01-06-18 00:00,,,,,,,,,0.08333333333333333,0.065,4.8
121,"61,5",,"63,4",,"63,5",01-06-18 01:00,,,,,,,,,0.28,0.017,4.933333333333334
122,"65,0",,"67,5",,"61,9",01-06-18 02:00,,,,,,,,,0.27,0.02,4.933333333333334
123,"54,0",,"59,1",,"62,4",01-06-18 03:00,,,,,,,,,0.72,0.0,5.233333333333333
124,"48,7",,"51,8",,"59,5",01-06-18 04:00,,,,,,,,,0.7999999999999999,-0.001,5.3
125,"48,8",,"49,9",,"57,2",01-06-18 05:00,,,,,,,,,0.7300000000000002,-0.002,5.2
126,"52,5",,"51,8",,"58,6",01-06-18 06:00,,,,,,,,,0.41,0.038,5.1
127,"65,2",,,,"65,9",01-06-18 07:00,,,,,,,,,0.45,0.037000000000000005,5.133333333333333
128,"61,3",,,,"62,7",01-06-18 08:00,,,,,,,,,0.4,0.02,5.166666666666667
129,"66,8",,,,"63,1",01-06-18 09:00,,,,,,,,,0.8999999999999998,-0.001,5.3
130,"61,4",,,,"63,8",01-06-18 10:00,,,,,,,,,0.85,-0.001,5.566666666666666
131,"61,6",,,,"64,8",01-06-18 11:00,,,,,,,,,0.5900000000000001,-0.003,6.266666666666667
132,"60,8",,,,"64,5",01-06-18 12:00,,,,,,,,,0.99,-0.003,7.2
133,"58,8",,,,"63,1",01-06-18 13:00,,,,,,,,,1.16,-0.003,6.933333333333334
134,"58,0",,,,"64,2",01-06-18 14:00,,,,,,,,,0.73,-0.003,7.133333333333333
135,"64,8",,,,"65,9",01-06-18 15:00,,,,,,,,,0.58,-0.003,7.2
136,"60,6",,,,"67,0",01-06-18 16:00,,,,,,,,,0.28,0.037000000000000005,6.933333333333334
137,"63,2",,,,"67,2",01-06-18 17:00,,,,,,,,,0.6500000000000001,0.019,6.633333333333333
138,"62,2",,,,"65,2",01-06-18 18:00,,,,,,,,,0.61,0.037000000000000005,6.599999999999999
139,"61,0",,,,"65,1",01-06-18 19:00,,,,,,,,,0.73,-0.001,6.666666666666668
140,"61,3",,,,"65,4",01-06-18 20:00,,,,,,,,,0.28,-0.003,6.8
141,"61,1",,"60,4",,"65,0",01-06-18 21:00,,,,,,,,,0.0,-0.003,6.633333333333333
142,"62,6",,"69,2",,"64,7",01-06-18 22:00,,,,,,,,,0.30999999999999994,0.037000000000000005,6.7333333333333325
143,"68,2",,"73,1",,"66,2",01-06-18 23:00,,,,,,,,,0.5199999999999998,-0.003,6.7
144,"67,1",,"72,4",,"66,1",01-07-18 00:00,,,,,,,,,0.21666666666666667,-0.0016666666666666668,6.8
145,"65,5",,"69,5",,"64,8",01-07-18 01:00,,,,,,,,,0.67,0.017,6.866666666666667
146,"64,7",,"69,1",,"63,2",01-07-18 02:00,,,,,,,,,0.8300000000000001,-0.003,6.866666666666667
147,"63,5",,"68,4",,"64,4",01-07-18 03:00,,,,,,,,,0.4,0.09699999999999999,6.8
148,"55,3",,"57,5",,"65,3",01-07-18 04:00,,,,,,,,,0.21,0.217,6.7666666666666675
149,"51,6",,"52,8",,"62,0",01-07-18 05:00,,,,,,,,,0.31999999999999995,0.05800000000000001,6.900000000000001
150,"51,8",,"50,9",,"61,0",01-07-18 06:00,,,,,,,,,0.5799999999999998,-0.003,6.866666666666667
151,"62,1",,,,"63,4",01-07-18 07:00,,,,,,,,,0.78,0.35700000000000004,6.900000000000001
152,"67,6",,,,"65,6",01-07-18 08:00,,,,,,,,,0.8399999999999999,0.457,7.0
153,"65,7",,,,"66,2",01-07-18 09:00,,,,,,,,,0.6,0.117,7.066666666666666
154,"61,2",,,,"66,3",01-07-18 10:00,,,,,,,,,1.0799999999999998,0.017,7.366666666666667
155,"61,1",,,,"66,9",01-07-18 11:00,,,,,,,,,1.3299999999999996,0.017,7.633333333333333
156,"62,7",,,,"68,9",01-07-18 12:00,,,,,,,,,1.49,0.056000000000000015,8.033333333333333
157,"61,6",,,,"67,3",01-07-18 13:00,,,,,,,,,2.04,0.096,8.2
158,"59,9",,,,"67,8",01-07-18 14:00,,,,,,,,,1.99,0.037000000000000005,8.2
159,"63,2",,,,"69,6",01-07-18 15:00,,,,,,,,,1.64,0.29700000000000004,8.3
160,"60,9",,,,"68,6",01-07-18 16:00,,,,,,,,,1.7799999999999998,0.04,8.4
161,"62,1",,,,"69,4",01-07-18 17:00,,,,,,,,,1.64,0.179,8.3
162,"60,8",,,,"68,7",01-07-18 18:00,,,,,,,,,2.08,0.04,8.333333333333334
163,"60,9",,,,"67,8",01-07-18 19:00,,,,,,,,,2.15,0.017,8.4
164,"60,5",,,,"66,7",01-07-18 20:00,,,,,,,,,1.66,0.017,8.4
165,"58,6",,"58,5",,"64,3",01-07-18 21:00,,,,,,,,,1.2799999999999998,-0.003,8.3
166,"57,9",,"60,1",,"62,6",01-07-18 22:00,,,,,,,,,1.57,0.017,8.2
167,"57,0",,"60,6",,"63,2",01-07-18 23:00,,,,,,,,,1.98,-0.003,8.2
168,"60,9",,"62,6",,"59,7",01-08-18 00:00,,,,,,,,,1.0,-0.0016666666666666668,8.3
169,"52,2",,"59,2",,"55,7",01-08-18 01:00,,,,,,,,,1.6900000000000002,-0.003,8.433333333333334
170,"45,6",,"50,4",,"54,6",01-08-18 02:00,,,,,,,,,1.7500000000000004,-0.003,8.566666666666666
171,"43,4",,"47,8",,"52,4",01-08-18 03:00,,,,,,,,,1.8400000000000003,-0.003,8.8
172,"38,6",,"51,3",,"53,9",01-08-18 04:00,,,,,,,,,1.5900000000000003,0.018000000000000002,8.9
173,,,"50,1",,"58,1",01-08-18 05:00,,,,,,,,,1.39,0.037000000000000005,9.0
174,,,"51,0",,"66,1",01-08-18 06:00,,,,,,,,,1.2,0.15699999999999995,9.2
