,Categoria criminologa,Sottocategoria Criminologica,Circoscrizione,Localita,Area Verde,Data,Ora
323,Convivenza Civile,Disturbi da locali,5.0,VEROLENGO/(VIA)                                                       ,,2018-01-07,
324,Convivenza Civile,Disturbi da locali,8.0,MUZIO SCEVOLA/(PIAZZA)                                                ,,2018-03-07,
325,Convivenza Civile,Disturbi da locali,7.0,ARTISTI/(VIA)                                                         ,,2018-03-07,12.24
326,Convivenza Civile,Disturbi da locali,3.0,GERMANASCA/(VIA)                                                      ,,2018-04-07,
327,Convivenza Civile,Disturbi da locali,5.0,AEROPORTO/(STRADA DELL')                                              ,,2018-04-07,
328,Convivenza Civile,Disturbi da locali,1.0,BONELLI/FRANCO (VIA)                                                  ,,2018-05-07,
329,Convivenza Civile,Disturbi da locali,8.0,VALPERGA/CALUSO (VIA)                                                 ,,2018-05-07,
330,Convivenza Civile,Disturbi da locali,4.0,SVIZZERA/(CORSO)                                                      ,,2018-06-07,
331,Convivenza Civile,Disturbi da locali,8.0,SICILIA/(CORSO)                                                       ,,2018-08-07,
332,Convivenza Civile,Disturbi da locali,1.0,MARIA VITTORIA/(VIA)                                                  ,,2018-09-07,
333,Convivenza Civile,Disturbi da locali,5.0,TRINCEE/(VIA DELLE)                                                   ,,2018-09-07,
334,Convivenza Civile,Disturbi da locali,5.0,BORSI/GIOSUE' (VIA)                                                   ,,2018-11-07,
335,Convivenza Civile,Disturbi da locali,7.0,REGIO PARCO/(CORSO)                                                   ,,2018-11-07,
336,Convivenza Civile,Disturbi da locali,1.0,S. OTTAVIO/(VIA)                                                      ,,2018-12-07,10.56
337,Convivenza Civile,Disturbi da locali,10.0,NEGARVILLE/CELESTE (VIA)                                              ,,2018-07-13,12.28
338,Convivenza Civile,Disturbi da locali,1.0,GIOVANNI DA VERAZZANO/(VIA)                                           ,,2018-07-17,
339,Convivenza Civile,Disturbi da locali,8.0,PELLICO/SILVIO (VIA)                                                  ,,2018-07-17,10.44
340,Convivenza Civile,Disturbi da locali,4.0,COSSA/PIETRO (VIA)                                                    ,,2018-07-22,
341,Convivenza Civile,Disturbi da locali,8.0,LANZA/GIOVANNI (CORSO)                                                ,,2018-07-22,
342,Convivenza Civile,Disturbi da locali,1.0,CARLO ALBERTO/(VIA)                                                   ,,2018-07-23,
343,Convivenza Civile,Disturbi da locali,1.0,CALANDRA FRATELLI/(VIA)                                               ,,2018-07-23,10.05
344,Convivenza Civile,Disturbi da locali,7.0,S. MAURIZIO/(CORSO)                                                   ,,2018-07-24,
345,Convivenza Civile,Disturbi da locali,7.0,MEISINO/(STRADA DEL)                                                  ,,2018-07-25,
346,Convivenza Civile,Disturbi da locali,1.0,MONTECUCCOLI/RAIMONDO (VIA)                                           ,,2018-07-27,
347,Convivenza Civile,Disturbi da locali,1.0,SANTAROSA/PIETRO (VIA)                                                ,,2018-08-08,
348,Convivenza Civile,Disturbi da locali,8.0,PRINCIPE TOMMASO/(VIA)                                                ,,2018-09-08,11.44
349,Convivenza Civile,Disturbi da locali,3.0,MONGINEVRO/(VIA)                                                      ,,2018-10-08,10.2
350,Convivenza Civile,Disturbi da locali,5.0,FOLIGNO/(VIA)                                                         ,,2018-10-08,10.56
351,Convivenza Civile,Disturbi da locali,2.0,SEBASTOPOLI/(CORSO)                                                   ,,2018-08-16,
352,Convivenza Civile,Disturbi da locali,2.0,MONTE LUNGO/(CORSO)                                                   ,,2018-08-17,
353,Convivenza Civile,Disturbi da locali,9.0,FLECCHIA/GIOVANNI (VIA)                                               ,,2018-08-27,
354,Convivenza Civile,Disturbi da locali,1.0,S. QUINTINO/(VIA)                                                     ,,2018-08-28,
355,Convivenza Civile,Disturbi da locali,2.0,S. RITA DA CASCIA/(PIAZZA)                                            ,,2018-08-28,
356,Convivenza Civile,Disturbi da locali,1.0,S. MARTINO/(CORSO)                                                    ,,2018-05-09,14.53
357,Convivenza Civile,Disturbi da locali,8.0,BERTHOLLET/CLAUDIO LUIGI (VIA)                                        ,,2018-06-09,9.0
358,Convivenza Civile,Disturbi da locali,1.0,MARIA VITTORIA/(VIA)                                                  ,,2018-10-09,12.46
359,Convivenza Civile,Disturbi da locali,,,,2018-10-09,10.49
360,Convivenza Civile,Disturbi da locali,7.0,MONTEMAGNO/(VIA)                                                      ,,2018-09-14,
361,Convivenza Civile,Disturbi da locali,7.0,VIGEVANO/(CORSO)                                                      ,,2018-09-14,
362,Convivenza Civile,Disturbi da locali,7.0,VIGEVANO/(CORSO)                                                      ,,2018-09-14,
363,Convivenza Civile,Disturbi da locali,1.0,DORIA/ANDREA (VIA)                                                    ,,2018-09-17,
364,Convivenza Civile,Disturbi da locali,1.0,S. MASSIMO/(VIA)                                                      ,,2018-09-19,
365,Convivenza Civile,Disturbi da locali,7.0,TORTONA/(CORSO)                                                       ,,2018-09-20,11.03
