,Sottocategoria Criminologica,Data
0,Altro,2018-07-16
1,Altro,2018-07-17
2,Altro,2018-09-14
3,Altro,2018-10-02
4,Altro,2018-11-27
8,Altro,2018-07-02
9,Altro,2018-07-03
10,Altro,2018-07-04
11,Altro,2018-07-04
12,Altro,2018-07-05
13,Altro,2018-07-05
14,Altro,2018-07-05
15,Altro,2018-07-06
16,Altro,2018-07-09
17,Altro,2018-07-09
18,Altro,2018-07-09
19,Altro,2018-07-11
20,Altro,2018-07-11
21,Altro,2018-07-11
22,Altro,2018-07-11
23,Altro,2018-07-11
24,Altro,2018-07-12
25,Altro,2018-07-12
26,Altro,2018-07-13
27,Altro,2018-07-13
28,Altro,2018-07-13
29,Altro,2018-07-13
30,Altro,2018-07-13
31,Altro,2018-07-13
32,Altro,2018-07-16
33,Altro,2018-07-17
34,Altro,2018-07-17
35,Altro,2018-07-17
36,Altro,2018-07-17
37,Altro,2018-07-17
38,Altro,2018-07-19
39,Altro,2018-07-20
40,Altro,2018-07-24
41,Altro,2018-07-24
42,Altro,2018-07-26
43,Altro,2018-07-27
44,Altro,2018-07-28
45,Altro,2018-07-30
46,Altro,2018-07-30
47,Altro,2018-07-30
48,Altro,2018-07-30
49,Altro,2018-07-31
50,Altro,2018-08-01
51,Altro,2018-08-02
52,Altro,2018-08-02
53,Altro,2018-08-03
54,Altro,2018-08-06
55,Altro,2018-08-06
56,Altro,2018-08-07
57,Altro,2018-08-07
58,Altro,2018-08-08
59,Altro,2018-08-08
60,Altro,2018-08-09
61,Altro,2018-08-10
62,Altro,2018-08-12
63,Altro,2018-08-14
64,Altro,2018-08-17
65,Altro,2018-08-20
66,Altro,2018-08-20
67,Altro,2018-08-21
68,Altro,2018-08-24
69,Altro,2018-08-27
70,Altro,2018-08-31
71,Altro,2018-08-31
72,Altro,2018-09-03
73,Altro,2018-09-05
74,Altro,2018-09-06
75,Altro,2018-09-07
76,Altro,2018-09-09
77,Altro,2018-09-10
78,Altro,2018-09-10
79,Altro,2018-09-10
80,Altro,2018-09-11
81,Altro,2018-09-13
82,Altro,2018-09-13
83,Altro,2018-09-13
84,Altro,2018-09-13
85,Altro,2018-09-13
86,Altro,2018-09-14
87,Altro,2018-09-14
88,Altro,2018-09-17
89,Altro,2018-09-17
90,Altro,2018-09-18
91,Altro,2018-09-18
92,Altro,2018-09-19
93,Altro,2018-09-24
94,Altro,2018-09-24
95,Altro,2018-09-25
96,Altro,2018-09-25
97,Altro,2018-09-26
98,Altro,2018-09-26
99,Altro,2018-09-27
100,Altro,2018-09-28
101,Altro,2018-09-28
