,Ora,C1,C2,C3,C4,C5,date_hour,day,Log_Avg,No. of Visitors,index,numero_presenze,dettaglio(secondi),temp,winds,rainfall_mm,snowfall_mm,is_match_pad,is_home_pad,count_close,count_open,final_date,count_complaint,dat_hr,n,flow_mean,flow_sd,flow_median,speed_mean,speed_sd,speed_median,date,Day,Holiday,isHoliday
0,0,68.7,56.6,76.0,58.8,66.6,2018-01-01 00:00:00,0,70.25390807655218,,,,,1.0400000000000205,0.36666666666666653,-0.01,2.6,0.0,0.0,66.0,,01-01-18 00:00,0.0,01-01-18 00:00,991.0,2297.135,1304.423,2085.0,369.392,135.967,341.945,01-01-18,,,0
1,1,68.3,53.6,68.2,55.7,65.4,2018-01-01 01:00:00,0,65.42470746873389,,,,,1.0900000000000318,0.5900000000000001,0.009000000000000001,2.6,0.0,0.0,6.0,,01-01-18 01:00,0.0,01-01-18 01:00,1163.0,4479.685999999999,2634.671,4095.0,341.4890000000001,122.81999999999998,311.755,01-01-18,,,0
2,2,59.8,51.2,64.4,53.0,64.4,2018-01-01 02:00:00,0,61.332067950933826,,,,,1.0500000000000114,0.45,0.008000000000000002,2.2666666666666666,0.0,0.0,12.0,,01-01-18 02:00,0.0,01-01-18 02:00,965.0,3796.3259999999996,2292.005,3483.0,328.0340000000001,114.294,294.73,01-01-18,,,0
3,3,67.4,47.5,67.5,48.7,61.8,2018-01-01 03:00:00,0,64.06974203317102,,,,,0.8900000000000432,0.4,0.006,2.2666666666666666,0.0,0.0,6.0,,01-01-18 03:00,0.0,01-01-18 03:00,949.0,2777.488,1622.614,2514.0,322.3640000000001,109.699,290.02,01-01-18,,,0
4,4,68.0,47.6,64.5,49.0,60.5,2018-01-01 04:00:00,0,63.175181055999666,,,,,0.7300000000000182,0.78,-0.011000000000000001,2.3,0.0,0.0,,,01-01-18 04:00,0.0,01-01-18 04:00,1074.0,1987.818,1166.373,1824.0,342.3300000000001,124.18700000000001,311.785,01-01-18,,,0
5,5,55.4,48.3,56.7,50.3,59.5,2018-01-01 05:00:00,0,55.75299443793032,,,,,0.7800000000000296,0.5499999999999999,-0.014000000000000002,2.1333333333333333,0.0,0.0,,,01-01-18 05:00,0.0,01-01-18 05:00,948.0,1358.3829999999996,780.87,1218.0,346.22,128.012,311.235,01-01-18,,,0
6,6,57.5,52.2,53.2,55.4,58.2,2018-01-01 06:00:00,0,55.89873660692248,,,,,0.8300000000000409,0.63,-0.011000000000000001,2.1666666666666665,0.0,0.0,,6.0,01-01-18 06:00,0.0,01-01-18 06:00,1043.0,1229.871,802.316,1098.0,357.907,138.817,321.5100000000001,01-01-18,,,0
7,7,51.8,59.2,66.3,62.0,57.0,2018-01-01 07:00:00,0,61.6642984799995,,,,,1.0,1.2199999999999998,-0.014000000000000002,2.333333333333333,0.0,0.0,,18.0,01-01-18 07:00,0.0,01-01-18 07:00,913.0,1018.821,592.857,924.0,353.962,139.01999999999998,316.8,01-01-18,,,0
8,8,63.0,61.5,63.4,63.3,55.8,2018-01-01 08:00:00,0,62.10249635706401,,,,,1.2700000000000389,1.4,-0.012,2.0,0.0,0.0,,12.0,01-01-18 08:00,0.0,01-01-18 08:00,593.0,1042.869,587.043,936.0,353.097,144.657,315.12,01-01-18,,,0
9,9,53.8,61.0,64.7,63.9,56.5,2018-01-01 09:00:00,0,61.67400666280361,,,,,1.2800000000000296,0.95,-0.012,2.433333333333333,0.0,0.0,,,01-01-18 09:00,0.0,01-01-18 09:00,410.0,1256.818,643.5129999999998,1149.0,307.17299999999994,104.884,274.8299999999999,01-01-18,,,0
10,10,57.9,60.6,64.8,62.7,58.1,2018-01-01 10:00:00,0,61.63902962033418,,,,,1.9800000000000184,0.7099999999999999,-0.012,3.333333333333333,0.0,0.0,,,01-01-18 10:00,0.0,01-01-18 10:00,410.0,1925.423,1002.5110000000001,1842.0,303.226,95.64299999999999,269.85,01-01-18,,,0
11,11,59.4,60.8,66.1,62.5,60.7,2018-01-01 11:00:00,0,62.600813035113525,,,,,2.7700000000000387,0.78,-0.013,4.666666666666667,0.0,0.0,,6.0,01-01-18 11:00,0.0,01-01-18 11:00,604.0,3148.5869999999995,1846.671,2856.0,320.51899999999995,111.18399999999998,291.6,01-01-18,,,0
12,12,58.9,60.9,63.8,62.5,62.0,2018-01-01 12:00:00,0,61.91368362594175,,,,,3.82000000000005,1.0499999999999998,-0.008,6.333333333333332,0.0,0.0,,72.0,01-01-18 12:00,0.0,01-01-18 12:00,837.0,4309.774,2601.084,3813.0,335.57800000000003,119.29799999999999,310.47,01-01-18,,,0
13,13,58.5,60.5,60.7,61.7,61.4,2018-01-01 13:00:00,0,60.69250207205337,,,,,4.129999999999996,1.4700000000000002,-0.009000000000000001,6.166666666666668,0.0,0.0,,,01-01-18 13:00,0.0,01-01-18 13:00,984.0,3456.6320000000005,2222.541,3030.0,351.75999999999993,132.534,317.91,01-01-18,,,0
14,14,57.7,61.0,61.5,61.8,59.6,2018-01-01 14:00:00,0,60.55827586039217,,,,,4.830000000000041,1.5699999999999998,-0.009000000000000001,5.366666666666667,0.0,0.0,24.0,,01-01-18 14:00,0.0,01-01-18 14:00,936.0,3396.574,2447.313,2958.0,346.966,129.194,315.44500000000005,01-01-18,,,0
15,15,57.5,61.0,61.7,62.2,61.0,2018-01-01 15:00:00,0,60.94742692254784,,,,,4.5200000000000395,1.02,-0.01,4.566666666666666,0.0,0.0,48.0,,01-01-18 15:00,0.0,01-01-18 15:00,884.0,4589.210999999999,3226.097,3966.0,342.61300000000006,126.05299999999998,311.66,01-01-18,,,0
16,16,64.2,61.1,60.9,62.4,62.2,2018-01-01 16:00:00,0,62.328017290363526,,,,,3.240000000000009,0.85,-0.009000000000000001,3.8333333333333335,0.0,0.0,,,01-01-18 16:00,0.0,01-01-18 16:00,951.0,5635.865,3887.861,4926.0,344.29400000000004,124.278,311.7750000000001,01-01-18,,,0
17,17,60.4,60.4,61.1,61.7,62.4,2018-01-01 17:00:00,0,61.26982605770216,,,,,2.950000000000045,0.99,-0.011000000000000001,4.066666666666666,0.0,0.0,,6.0,01-01-18 17:00,0.0,01-01-18 17:00,951.0,6081.288000000001,3941.6050000000014,5322.0,336.5900000000001,119.46199999999996,308.79000000000013,01-01-18,,,0
18,18,60.7,60.9,64.0,62.2,61.7,2018-01-01 18:00:00,0,62.071358706672726,,,,,2.2200000000000277,1.4899999999999998,-0.015000000000000003,4.133333333333334,0.0,0.0,6.0,18.0,01-01-18 18:00,0.0,01-01-18 18:00,830.0,5784.821,3759.205,5040.0,332.6790000000001,115.45499999999998,308.07,01-01-18,,,0
19,19,60.0,60.6,61.2,62.1,62.2,2018-01-01 19:00:00,0,61.30192671599903,,,,,2.010000000000048,1.3099999999999998,-0.019,3.733333333333333,0.0,0.0,6.0,84.0,01-01-18 19:00,0.0,01-01-18 19:00,769.0,5161.7970000000005,3326.811,4482.0,338.369,123.85500000000002,312.33,01-01-18,,,0
20,20,59.4,59.1,59.4,61.5,60.8,2018-01-01 20:00:00,0,60.144835486758616,,,,,1.7100000000000364,1.5599999999999996,-0.015,3.4333333333333336,0.0,0.0,,6.0,01-01-18 20:00,0.0,01-01-18 20:00,1134.0,3437.143,2350.5060000000008,3072.0,349.87299999999993,130.601,321.2800000000001,01-01-18,,,0
