dat_hr,n,flow_mean,flow_sd,flow_median,speed_mean,speed_sd,speed_median
01-01-18 00:00,991,2297.135,1304.423,2085,369.39199999999994,135.967,341.945
01-01-18 01:00,1163,4479.685999999999,2634.671,4095,341.48900000000003,122.81999999999998,311.755
01-01-18 02:00,965,3796.326,2292.0049999999997,3483,328.0340000000001,114.29400000000001,294.73
01-01-18 03:00,949,2777.488,1622.614,2514,322.36400000000003,109.69900000000001,290.02
01-01-18 04:00,1074,1987.8179999999998,1166.373,1824,342.33000000000004,124.187,311.785
01-01-18 05:00,948,1358.3829999999998,780.87,1218,346.22,128.012,311.235
01-01-18 06:00,1043,1229.8709999999999,802.316,1098,357.907,138.817,321.51000000000005
01-01-18 07:00,913,1018.8209999999999,592.857,924,353.962,139.01999999999998,316.8
01-01-18 08:00,593,1042.8690000000001,587.043,936,353.097,144.657,315.12
01-01-18 09:00,410,1256.818,643.5129999999999,1149,307.17299999999994,104.884,274.8299999999999
01-01-18 10:00,410,1925.4230000000002,1002.511,1842,303.226,95.643,269.85
01-01-18 11:00,604,3148.5869999999995,1846.671,2856,320.51899999999995,111.18399999999998,291.6
01-01-18 12:00,837,4309.774,2601.084,3813,335.578,119.298,310.46999999999997
01-01-18 13:00,984,3456.6320000000005,2222.5409999999997,3030,351.75999999999993,132.534,317.91
01-01-18 14:00,936,3396.5739999999996,2447.313,2958,346.966,129.194,315.44500000000005
01-01-18 15:00,884,4589.211,3226.0969999999998,3966,342.61300000000006,126.05299999999998,311.66
01-01-18 16:00,951,5635.865,3887.8609999999994,4926,344.294,124.27799999999999,311.77500000000003
01-01-18 17:00,951,6081.2880000000005,3941.6050000000005,5322,336.59000000000003,119.46199999999997,308.7900000000001
01-01-18 18:00,830,5784.821,3759.2050000000004,5040,332.67900000000003,115.45499999999998,308.07
01-01-18 19:00,769,5161.797,3326.8109999999997,4482,338.369,123.85500000000002,312.33
01-01-18 20:00,1134,3437.1429999999996,2350.5060000000003,3072,349.87299999999993,130.601,321.28000000000003
01-01-18 21:00,1124,2849.6459999999997,1971.471,2514,353.831,134.47799999999998,324.69
01-01-18 22:00,1161,2506.365,1665.16,2190,355.082,133.312,327.43
01-01-18 23:00,1064,1815.2260000000003,1201.5750000000003,1554,326.98300000000006,125.093,300.2850000000001
01-02-18 00:00,1087,1778.718,1029.97,1653,379.391,134.934,348.58500000000004
01-02-18 01:00,1112,849.905,572.1049999999999,756,367.03499999999997,147.295,332.15
01-02-18 02:00,1001,534.912,367.37199999999996,444,375.21400000000006,149.176,334.67999999999995
01-02-18 03:00,980,417.181,284.342,330,377.47599999999994,152.84099999999998,335.16999999999996
01-02-18 04:00,990,554.205,424.472,414,370.963,146.71800000000002,334.09000000000003
01-02-18 05:00,1002,1757.2649999999999,1397.655,1368,375.987,144.755,353.67999999999995
01-02-18 06:00,1075,3366.0850000000005,2482.2290000000003,2835,355.23500000000007,131.689,328.95
01-02-18 07:00,1029,9484.539,5908.386,8175,312.947,113.312,295.50999999999993
